name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,73,71,295,289,5,15,281,277,5,,1422,1412,7
The Last of Us,N/A,HBO,57,38,370,301,9,10,472,374,9,,3684,3158,1
Will,N/A,TNT,54,52,149,138,5,11,253,235,5,,1086,990,7
Star Trek: Picard,Paramount+,,26,3,192,20,3,6,61,4,3,,367,25,1
Poker Face,Peacock,,25,23,148,144,8,11,210,194,8,,1779,1670,1
Star Trek,N/A,NBC,24,23,123,122,1,15,72,60,1,,304,266,1
Better Call Saul,N/A,AMC,22,14,83,59,1,16,76,46,2,,360,227,1
Succession,N/A,HBO,21,19,197,188,3,9,135,98,6,,968,705,1
Murder,N/A,BBC Two,19,11,60,28,1,15,152,74,6,04-03-2023,850,397,1
Perry Mason,N/A,HBO,18,17,163,161,1,14,34,31,1,,244,231,1
STAT,N/A,ICI Radio-Canada Télé,18,0,82,0,1,14,58,1,2,,322,1,6
Sona,YouTube,,18,1,61,10,11,1,156,2,11,,683,16,1
The Mandalorian,Disney+,,17,16,147,141,2,0,60,51,2,,418,379,1
Catch,N/A,NPO 3,17,14,119,105,2,7,101,68,3,,688,484,1
The Wire,N/A,HBO,17,17,69,69,2,2,128,113,7,,749,605,1
Shrink,Seeso,,16,0,94,0,7,6,128,2,7,,1101,34,1
Shrinking,Apple TV+,,16,16,94,94,7,6,127,119,7,,1090,1044,1
Lost,N/A,jTBC,15,15,33,33,2,4,105,90,6,,503,434,1
Case,N/A,Stöð 2,14,11,78,77,1,6,108,73,4,04-03-2023,569,449,1
Severance,Apple TV+,,14,12,67,60,3,-1,179,119,9,,1364,1001,1
Breaking Bad,N/A,AMC,14,14,62,62,2,1,82,65,2,,436,358,1
Rain,MX Player,,14,10,59,41,1,5,87,51,3,,518,250,1
Wanted,N/A,SBS,14,14,43,43,1,8,102,78,5,,573,359,1
The Plot,Disney+,,13,11,91,70,1,4,102,70,2,,615,412,1
The Americans,N/A,NBC,13,13,74,74,2,1,78,65,3,,418,366,1
House,N/A,FOX,13,13,60,60,1,10,134,89,7,,631,399,1
Space,N/A,CBS,13,12,59,58,1,9,72,52,1,,429,361,1
Sort Of,CBC Gem,,13,13,48,48,1,5,90,77,3,,429,365,1
Pose,N/A,FX,13,4,44,23,1,6,116,25,5,,426,82,1
Trop,ICI Tou.tv,,13,0,31,0,1,10,55,0,1,,231,0,1
The Expecting,Quibi,,12,11,101,91,1,8,48,41,1,,404,307,1
Star Wars: Andor,Disney+,,12,0,87,0,1,7,108,0,5,,673,0,1
Black,N/A,OCN,12,11,71,70,11,-4,183,130,11,,1031,778,1
Persona,Netflix,,12,1,45,10,2,-2,129,2,7,,589,16,1
Played,N/A,CTV,12,12,42,42,2,-1,128,113,6,,696,574,1
Cross,Prime Video,,12,7,30,19,1,8,64,33,2,,290,149,1
Aile,N/A,Show TV,12,0,24,0,1,10,57,0,2,,291,0,4
Move,Netflix,,12,7,15,27,1,6,115,28,6,,254,130,1
With You,iQIYI,,12,11,11,10,1,9,45,24,1,,118,63,1
Away,Netflix,,11,11,75,75,1,4,115,88,8,04-03-2023,718,585,1
Snowfall,N/A,FX,11,11,57,57,1,8,29,28,1,,149,148,1
Halt and Catch Fire,N/A,AMC,11,11,50,50,1,8,39,33,1,,271,247,1
Strange,N/A,BBC One,11,9,48,42,1,2,76,38,2,04-03-2023,329,153,1
Trying,Apple TV+,,11,10,45,44,11,-6,172,148,11,,804,709,1
Justified,N/A,FX,11,11,35,35,1,8,49,47,2,,272,268,1
Human,Disney+ Hotstar,,11,6,33,20,1,7,50,28,1,,206,94,1
Alone,N/A,History,11,11,26,26,1,6,63,47,1,,226,167,1
Ted Lasso,Apple TV+,,10,10,83,83,1,6,119,91,8,04-03-2023,743,575,1
Ella,N/A,VTM,10,3,61,24,1,5,71,23,2,,416,106,1
The Sopranos,N/A,HBO,10,9,52,51,1,2,93,75,5,,511,421,1
Easy,Netflix,,10,10,50,50,1,3,96,80,4,,651,584,1
Station Eleven,HBO Max,,10,9,47,36,1,9,39,31,1,,204,181,1
Medic,N/A,NBC,10,4,28,13,1,8,51,24,1,,288,152,1
Chance,Hulu,,10,9,5,3,1,3,78,53,4,,391,287,1
Party Down,Lionsgate+,,9,9,130,130,0,0,46,42,1,,455,429,1
Yellowjackets,N/A,Showtime,9,6,91,76,0,0,49,27,0,,390,261,1
Believe,N/A,NBC,9,7,74,58,0,0,89,63,4,,472,341,1
Huge,N/A,Freeform,9,9,69,69,0,0,71,61,1,,431,398,1
Sent,N/A,HBO Asia,9,1,65,4,0,0,108,28,3,,578,159,1
The Glory,Netflix,,9,8,58,56,0,0,39,28,0,,205,142,1
The British,N/A,Sky Atlantic,9,9,49,49,0,0,99,83,4,14-03-2023,562,483,1
Elementary,N/A,CBS,9,9,34,34,0,0,62,51,0,,361,268,1
Rush,N/A,Network 10,9,3,31,11,0,0,68,18,2,14-03-2023,301,63,1
Deadwood,N/A,HBO,9,9,29,29,0,0,36,34,0,,179,173,1
Power,N/A,STARZ,9,3,27,3,0,0,110,51,3,,680,270,1
The Act,Hulu,,9,0,23,0,0,0,152,0,8,14-03-2023,886,0,1
Aspe,N/A,VTM,9,0,16,0,0,0,52,0,0,,279,0,1
The Righteous Gemstones,N/A,HBO,8,8,114,114,0,0,16,15,0,,210,202,1
Servant,Apple TV+,,8,7,58,55,0,0,68,63,2,,448,404,1
Family,N/A,ITV1,8,8,49,49,0,0,124,93,7,,706,503,1
Amazon,N/A,Syndication,8,7,49,44,0,0,91,73,4,,559,463,1
Loving,N/A,ABC,8,8,47,47,0,0,97,83,4,14-03-2023,676,585,1
Popular,N/A,The WB,8,8,41,41,0,0,66,48,0,,293,223,1
Home,Apple TV+,,8,5,32,27,0,0,93,36,2,,523,206,1
The One,Netflix,,8,7,25,25,0,0,82,56,4,,445,360,1
Hero,N/A,MBC,8,5,22,9,0,0,84,31,3,,461,176,1
Major,N/A,NHK,8,8,20,20,0,0,66,48,1,,300,240,1
The Watch,N/A,BBC America,7,5,74,62,0,0,30,17,0,,188,121,1
Release,Topic,,7,1,67,7,0,0,105,31,3,,645,209,1
Dude,Prime Video,,7,6,64,56,0,0,46,24,0,,256,136,1
Ghost,N/A,SBS,7,0,40,0,0,0,91,28,3,,422,117,1
Ghosts,N/A,CBS,7,7,40,40,0,0,61,53,1,,322,291,1
Norm,N/A,ABC,7,0,39,0,0,0,67,1,0,,410,1,1
Legion,N/A,FX,7,7,39,39,0,0,20,17,0,,116,104,1
Narcos,Netflix,,7,6,37,36,0,0,19,15,0,,98,78,1
Dogs,Netflix,,7,4,36,30,0,0,45,33,1,,239,191,1
Detective,N/A,Lifetime,7,7,35,35,0,0,94,78,3,,599,505,1
The Building,N/A,CBS,7,7,34,34,0,0,65,50,1,,378,279,1
rage,N/A,ABC,7,5,33,30,0,0,65,36,0,,226,153,1
The Consultant,Prime Video,,7,6,33,32,0,0,34,33,1,,203,202,8
New Worlds,N/A,Channel 4,7,7,32,32,0,0,21,20,0,,85,84,1
Sketch,N/A,jTBC,7,4,32,18,0,0,11,8,0,,40,26,1
New World,Netflix,,7,0,32,0,0,0,24,2,0,,104,8,1
Anne,N/A,ITV1,7,3,31,19,0,0,74,14,2,14-03-2023,383,105,1
Missing,N/A,BBC One,7,7,28,28,0,0,64,50,1,,290,210,1
The Missing,N/A,Discovery Channel,7,7,28,28,0,0,59,50,1,,265,210,1
Barry,N/A,HBO,7,6,25,22,0,0,61,44,2,,390,294,1
Veep,N/A,HBO,7,7,19,19,0,0,30,19,0,,100,80,1
Monster,N/A,NRK1,7,1,17,2,0,0,37,14,0,,149,49,1
Sign,N/A,TV Asahi,6,2,45,15,0,0,58,17,0,,302,84,1
Peacock,BBC iPlayer,,6,6,43,43,0,0,69,61,1,,423,393,1
The Case,N/A,BBC One,6,5,41,43,0,0,26,17,0,,107,89,1
Stella,N/A,Comedy Central,6,0,40,0,0,0,26,2,0,,163,3,1
Addict,N/A,TF1,6,0,37,0,0,0,28,3,0,,163,23,1
Billions,N/A,Showtime,6,6,33,33,0,0,12,11,0,,46,45,1
Connect,Disney+,,6,0,29,0,0,0,62,7,1,,284,28,1
Psych,N/A,USA Network,6,1,23,6,0,0,51,7,0,,261,41,1
Class,Netflix,,6,2,23,-8,0,0,68,15,0,,447,78,1
House of Cards,N/A,BBC One,6,6,22,22,0,0,16,11,0,,61,45,1
Return,N/A,SBS,6,5,20,9,0,0,35,20,0,,181,102,1
Abbott Elementary,N/A,ABC,6,6,20,20,0,0,47,38,0,,252,225,1
Treme,N/A,HBO,6,0,19,0,0,0,66,9,1,,325,33,1
Thriller,N/A,ITV1,6,5,19,13,0,0,59,38,0,,334,189,1
Evil,Paramount+,,6,5,18,12,0,0,118,72,4,,569,329,1
Beyond,N/A,Freeform,6,6,17,17,0,0,30,24,0,,160,127,1
The Games,N/A,ABC,6,6,17,17,0,0,32,29,0,,137,128,1
School,N/A,BBC Two,6,6,17,17,0,0,59,41,1,,339,258,1
Rome,N/A,HBO,6,5,16,12,0,0,35,26,0,,160,100,1
Punk,N/A,MGM+,6,5,16,15,0,0,21,15,0,,104,66,1
Cyberpunk: Edgerunners,Netflix,,6,0,16,0,0,0,18,1,0,,87,11,1
The Following,N/A,FOX,6,6,15,15,0,0,45,40,0,,202,186,1
Monsters,N/A,Syndication,6,6,15,15,0,0,14,11,0,,52,37,1
Fleabag,BBC Three,,6,6,14,14,0,0,32,23,0,,200,108,1
Fortuna,N/A,NRK1,6,0,13,0,0,0,63,0,0,,248,0,1
Twin,NRK TV,,6,5,10,8,0,0,36,31,0,,121,107,1
The Changes,N/A,BBC One,6,6,2,2,0,0,32,27,0,,116,98,1
Push,N/A,ABC,6,3,1,5,0,0,42,15,0,,184,35,1
Daisy Jones & the Six,Prime Video,,5,5,101,101,0,0,7,7,0,,121,121,7
The Platform,Netflix,,5,5,81,81,0,0,20,11,0,,138,128,1
Phenom,N/A,ABC,5,0,65,0,0,0,55,0,0,,609,0,1
Making It,N/A,NBC,5,5,57,57,0,0,16,14,0,,98,89,1
This Week,N/A,BBC One,5,3,48,36,0,0,111,71,7,,865,595,1
exception,Netflix,,5,1,43,1,0,0,22,6,0,,166,22,1
ReBoot,N/A,YTV,5,5,42,42,0,0,26,21,0,,140,114,1
Reboot,Hulu,,5,5,42,42,0,0,26,21,0,,140,114,1
Broken,Netflix,,5,5,40,40,0,0,9,7,0,,67,47,1
Broke,N/A,CBS,5,0,40,0,0,0,21,7,0,,147,74,1
Caught,N/A,CBC,5,5,34,34,0,0,50,38,0,,257,217,1
Sara,N/A,RTP2,5,1,32,1,0,0,35,2,1,,178,12,1
The Flash,N/A,CBS,5,1,30,4,0,0,15,3,0,,73,9,1
The Leftovers,N/A,HBO,5,3,28,14,0,0,73,58,2,,409,336,1
The Planets,N/A,BBC Two,5,5,27,27,0,0,7,7,0,,41,41,1
Beat,Prime Video,,5,2,27,5,0,0,34,15,0,,158,87,1
The Murders,N/A,Citytv,5,5,26,26,0,0,42,39,0,,255,239,1
House of the Dragon,N/A,HBO,5,2,26,7,0,0,50,17,1,,339,83,1
The White Lotus,N/A,HBO,5,5,24,24,0,0,107,69,5,,739,519,1
Rising,Hill.TV,,5,3,23,5,0,0,64,23,0,,364,80,1
Queen,MX Player,,5,4,23,20,0,0,23,14,0,,159,94,1
Review,N/A,Comedy Central,5,3,22,14,0,0,106,21,5,,468,131,1
The Audience,N/A,Channel 4,5,3,22,7,0,0,45,32,0,,189,134,1
Attack on Titan,N/A,NHK,5,5,19,19,0,0,18,17,0,,125,124,1
Wolf,N/A,CBS,5,5,19,19,0,0,38,35,1,,200,195,1
Cult,N/A,The CW,5,5,18,18,0,0,68,25,0,,397,190,1
Kept,N/A,VH1,5,5,18,18,0,0,67,53,1,,278,222,1
Icon,N/A,Hallmark Channel,5,3,18,6,0,0,33,23,1,,132,84,1
Drive,N/A,FOX,5,2,17,15,0,0,51,19,0,,285,143,1
Noir,N/A,TV Tokyo,5,5,15,15,0,0,12,10,0,,30,22,1
Encounter,N/A,tvN,5,1,13,6,0,0,10,2,0,,29,7,1
Friends,N/A,ABC,5,5,12,12,0,0,73,43,1,,418,223,1
The Crew,N/A,FOX,5,4,12,10,0,0,7,6,0,,52,50,1
Mani,Brat,,5,0,11,0,0,0,39,0,0,,250,0,1
Empire,N/A,CBS,5,5,10,10,0,0,44,34,1,,154,116,1
Brot,N/A,Ríkisútvarpið,5,0,9,0,0,0,74,0,1,,388,0,1
Twin Peaks,N/A,Showtime,5,5,8,8,0,0,30,28,0,,98,78,1
The Project,N/A,Network 10,5,4,7,6,0,0,26,15,0,,118,63,1
Radar,N/A,NPO 1,5,5,4,4,0,0,21,15,0,,143,76,1
