name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,88,521,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,64,615,0,0,0,0,,0,1
House,N/A,FOX,53,541,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,44,602,0,0,0,0,,0,1
Power,N/A,STARZ,38,573,0,0,0,0,,0,1
Cobra,N/A,Syndication,26,242,0,0,0,0,,0,1
COBRA,Sky Go,,26,242,0,0,0,0,,0,1
Cobra Kai,Netflix,,25,238,0,0,0,0,,0,1
Dark,Netflix,,24,127,0,0,0,0,,0,1
Sisters,N/A,Network 10,22,270,0,0,0,0,,0,1
Succession,N/A,HBO,22,114,0,0,0,0,,0,1
The Act,Hulu,,21,145,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,20,256,0,0,0,0,,0,1
The Capture,BBC iPlayer,,20,130,0,0,0,0,,0,1
Trying,Apple TV+,,20,102,0,0,0,0,,0,1
Television,N/A,ITV1,18,176,0,0,0,0,,0,1
Black,N/A,OCN,18,114,0,0,0,0,,0,1
Family,N/A,ITV1,18,88,0,0,0,0,,0,1
Game of Thrones,N/A,HBO,18,83,0,0,0,0,,0,1
Pantheon,AMC+,,16,112,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,15,160,0,0,0,0,,0,1
Dogs,Netflix,,15,135,0,0,0,0,,0,1
Reservation Dogs,Hulu,,15,135,0,0,0,0,,0,1
Severance,Apple TV+,,15,119,0,0,0,0,,0,1
Anno,N/A,NRK1,14,69,0,0,0,0,,0,1
Pose,N/A,FX,14,67,0,0,0,0,,0,1
Move,Netflix,,14,47,0,0,0,0,,0,1
Honest,N/A,ITV1,14,41,0,0,0,0,,0,1
The Sandman,Netflix,,13,150,0,0,0,0,,0,1
Loving,N/A,ABC,13,140,0,0,0,0,,0,1
Punk,N/A,EPIX,13,126,0,0,0,0,,0,1
VICE,N/A,Showtime,13,82,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,13,79,0,0,0,0,,0,1
Sona,YouTube,,13,76,0,0,0,0,,0,1
The Leftovers,N/A,HBO,13,73,0,0,0,0,,0,1
The Patient,Hulu,,13,73,0,0,0,0,,0,1
Delete,N/A,REELZ,13,32,0,0,0,0,,0,1
Cyberpunk: Edgerunners,Netflix,,12,117,0,0,0,0,,0,1
Fleabag,BBC Three,,12,77,0,0,0,0,,0,1
Away,Netflix,,11,101,0,0,0,0,,0,1
Primal,N/A,Adult Swim,11,93,0,0,0,0,,0,1
Industry,HBO Max,,11,84,0,0,0,0,,0,1
Chance,Hulu,,11,56,0,0,0,0,,0,1
Itch,N/A,ABC ME,11,52,0,0,0,0,,0,1
Stone,N/A,ABC,11,41,0,0,0,0,,0,1
Believe,N/A,NBC,10,169,0,0,0,0,,0,1
This Week,N/A,BBC One,10,145,0,0,0,0,,0,1
Case,N/A,Stöð 2,10,66,0,0,0,0,,0,1
Cult,N/A,The CW,10,58,0,0,0,0,,0,1
Alone,N/A,History,10,56,0,0,0,0,,0,1
Welcome,N/A,KBS2,10,54,0,0,0,0,,0,1
Murder,N/A,BBC Two,10,54,0,0,0,0,,0,1
Persona,Netflix,,10,49,0,0,0,0,,0,1
The Wire,N/A,HBO,10,45,0,0,0,0,,0,1
Thriller,N/A,ITV1,10,22,0,0,0,0,,0,1
The Resort,Peacock,,9,133,0,0,0,0,,0,1
The Plot,Disney+,,9,82,0,0,0,0,,0,1
Halfway,N/A,BBC Two Wales,9,80,0,0,0,0,,0,1
Black Bird,Apple TV+,,9,77,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,9,76,0,0,0,0,,0,1
Anne,N/A,ITV1,9,63,0,0,0,0,,0,1
Mental,France tv slash,,9,51,0,0,0,0,,0,1
Review,N/A,Comedy Central,9,50,0,0,0,0,,0,1
Evil,Paramount+,,9,49,0,0,0,0,,0,1
The Rig,Prime Video,,9,46,0,0,0,0,,0,1
Class,BBC Three,,9,43,0,0,0,0,,0,1
Fargo,N/A,FX,9,42,0,0,0,0,,0,1
The White Lotus,N/A,HBO,9,42,0,0,0,0,,0,1
Missing,N/A,BBC One,9,40,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,9,37,0,0,0,0,,0,1
The Expanse,Prime Video,,9,34,0,0,0,0,,0,1
Tokyo Vice,HBO Max,,9,30,0,0,0,0,,0,1
Treme,N/A,HBO,9,26,0,0,0,0,,0,1
Blind,TVING,tvN,9,26,0,0,0,0,,0,1
Sent,N/A,HBO Asia,9,15,0,0,0,0,,0,1
Atlanta,N/A,FX,8,66,0,0,0,0,,0,1
Played,N/A,CTV,8,65,0,0,0,0,,0,1
Rising,Hill.TV,,8,55,0,0,0,0,,0,1
Strange,N/A,BBC One,8,51,0,0,0,0,,0,1
Welcome to Wrexham,Hulu,FX,8,51,0,0,0,0,,0,1
Kept,N/A,VH1,8,43,0,0,0,0,,0,1
Home,Apple TV+,,8,41,0,0,0,0,,0,1
Shadow,Netflix,,8,33,0,0,0,0,,0,1
Detective,N/A,Lifetime,8,32,0,0,0,0,,0,1
Invincible,Prime Video,,8,31,0,0,0,0,,0,1
Banshee,N/A,Cinemax,8,30,0,0,0,0,,0,1
House of Drag,TVNZ+,,8,28,0,0,0,0,,0,1
rage,N/A,ABC,8,24,0,0,0,0,,0,1
Lost,N/A,jTBC,8,20,0,0,0,0,,0,1
Peaky Blinders,N/A,BBC One,8,18,0,0,0,0,,0,1
Community,Yahoo! View,,7,86,0,0,0,0,,0,1
Catch,N/A,NPO 3,7,64,0,0,0,0,,0,1
Rick and Morty,N/A,Adult Swim,7,63,0,0,0,0,,0,1
For All Mankind,Apple TV+,,7,63,0,0,0,0,,0,1
Chernobyl,N/A,HBO,7,51,0,0,0,0,,0,1
Elementary,N/A,CBS,7,46,0,0,0,0,,0,1
Release,Topic,,7,43,0,0,0,0,,0,1
Happy,N/A,NBC,7,39,0,0,0,0,,0,1
Aspe,N/A,VTM,7,37,0,0,0,0,,0,1
Stupid,N/A,BBC One,7,34,0,0,0,0,,0,1
Sort Of,CBC Gem,,7,33,0,0,0,0,,0,1
The Sopranos,N/A,HBO,7,31,0,0,0,0,,0,1
Barry,N/A,HBO,7,31,0,0,0,0,,0,1
Phenom,N/A,ABC,7,29,0,0,0,0,,0,1
School,N/A,BBC Two,7,28,0,0,0,0,,0,1
Rita,N/A,TV2,7,22,0,0,0,0,,0,1
