name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,94,551,0,0,0,0,,0,1
The Boys,Prime Video,,57,638,0,0,0,0,,0,1
Barry,N/A,HBO,43,287,0,0,0,0,,0,1
Dark,Netflix,,37,223,0,0,0,0,,0,1
The Old Man,N/A,FX,32,217,0,0,0,0,,0,1
Strange,N/A,BBC One,30,277,0,0,0,0,,0,1
For All Mankind,Apple TV+,,30,238,0,0,0,0,,0,1
Stranger Things,Netflix,,27,260,0,0,0,0,,0,1
Stranger,N/A,tvN,27,260,0,0,0,0,,0,1
Severance,Apple TV+,,24,257,0,0,0,0,,0,1
Sona,YouTube,,24,129,0,0,0,0,,0,1
Persona,Netflix,,23,110,0,0,0,0,,0,1
The Wire,N/A,HBO,23,106,0,0,0,0,,0,1
Ella,N/A,VTM,22,123,0,0,0,0,,0,1
Away,Netflix,,21,88,0,0,0,0,,0,1
Honest,N/A,ITV1,21,78,0,0,0,0,,0,1
Television,N/A,ITV1,20,142,0,0,0,0,,0,1
Lost,N/A,jTBC,20,96,0,0,0,0,,0,1
The Act,Hulu,,19,81,0,0,0,0,,0,1
Anne,N/A,ITV1,18,107,0,0,0,0,,0,1
Umbre,HBO Go,,17,99,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,16,109,0,0,0,0,,0,1
VICE,N/A,Showtime,16,50,0,0,0,0,,0,1
We Own This City,N/A,HBO,15,89,0,0,0,0,,0,1
Player,N/A,OCN,14,106,0,0,0,0,,0,1
The Great,Hulu,,14,101,0,0,0,0,,0,1
Trying,Apple TV+,,14,59,0,0,0,0,,0,1
Anno,N/A,NRK1,14,58,0,0,0,0,,0,1
Fargo,N/A,FX,14,53,0,0,0,0,,0,1
Pose,N/A,FX,14,51,0,0,0,0,,0,1
Players,Paramount+,,13,103,0,0,0,0,,0,1
Class,BBC Three,,13,82,0,0,0,0,,0,1
This Week,N/A,BBC One,13,80,0,0,0,0,,0,1
Tehran,Apple TV+,,13,58,0,0,0,0,,0,1
Hero,N/A,MBC,13,51,0,0,0,0,,0,1
Huge,N/A,FreeForm,13,40,0,0,0,0,,0,1
Traveler,N/A,jTBC,12,101,0,0,0,0,,0,1
Case,N/A,Stöð 2,12,71,0,0,0,0,,0,1
Family,N/A,ITV1,12,66,0,0,0,0,,0,1
Sort Of,CBC Gem,,12,52,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,50,0,0,0,0,,0,1
Obi-Wan Kenobi,Disney+,,11,124,0,0,0,0,,0,1
Loving,N/A,ABC,11,87,0,0,0,0,,0,1
The Americans,N/A,NBC,11,72,0,0,0,0,,0,1
Black,N/A,OCN,11,59,0,0,0,0,,0,1
Money,N/A,BBC Two,11,53,0,0,0,0,,0,1
Hack,N/A,CBS,11,43,0,0,0,0,,0,1
Hacks,HBO Max,,11,43,0,0,0,0,,0,1
Delete,N/A,REELZ,11,39,0,0,0,0,,0,1
Ms. Marvel,Disney+,,10,100,0,0,0,0,,0,1
