name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,65,487,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,52,365,0,0,0,0,,0,1
House,N/A,FOX,46,306,0,0,0,0,,0,1
Power,N/A,STARZ,33,474,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,33,461,0,0,0,0,,0,1
Dark,Netflix,,33,178,0,0,0,0,,0,1
Sisters,N/A,Network 10,29,358,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,28,356,0,0,0,0,,0,1
Monster: The Jeffrey Dahmer Story,Netflix,,26,191,0,0,0,0,,0,1
The Act,Hulu,,22,87,0,0,0,0,,0,1
Anno,N/A,NRK1,20,139,0,0,0,0,,0,1
Family,N/A,ITV1,20,83,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,19,163,0,0,0,0,,0,1
Pantheon,AMC+,,19,124,0,0,0,0,,0,1
Trying,Apple TV+,,19,120,0,0,0,0,,0,1
Lost,N/A,jTBC,18,90,0,0,0,0,,0,1
Sona,YouTube,,18,68,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,16,170,0,0,0,0,,0,1
Itch,N/A,ABC ME,16,122,0,0,0,0,,0,1
Dogs,Netflix,,16,62,0,0,0,0,,0,1
Persona,Netflix,,16,60,0,0,0,0,,0,1
Black,N/A,OCN,16,56,0,0,0,0,,0,1
Honest,N/A,ITV1,15,117,0,0,0,0,,0,1
Evil,Paramount+,,14,75,0,0,0,0,,0,1
This Week,N/A,BBC One,13,137,0,0,0,0,,0,1
Away,Netflix,,13,84,0,0,0,0,,0,1
The Wire,N/A,HBO,13,58,0,0,0,0,,0,1
Move,Netflix,,13,5,0,0,0,0,,0,1
Hero,N/A,MBC,12,117,0,0,0,0,,0,1
Psych,N/A,USA Network,12,100,0,0,0,0,,0,1
Ramy,Hulu,,12,61,0,0,0,0,,0,1
Reservation Dogs,Hulu,,12,61,0,0,0,0,,0,1
Delete,N/A,REELZ,12,48,0,0,0,0,,0,1
Home,Apple TV+,,12,36,0,0,0,0,,0,1
The Americans,N/A,NBC,11,125,0,0,0,0,,0,1
Loving,N/A,ABC,11,124,0,0,0,0,,0,1
Rain,MX Player,,11,67,0,0,0,0,,0,1
Game of Thrones,N/A,HBO,11,61,0,0,0,0,,0,1
The Capture,BBC iPlayer,,11,56,0,0,0,0,,0,1
Alone,N/A,History,11,51,0,0,0,0,,0,1
Pose,N/A,FX,11,47,0,0,0,0,,0,1
rage,N/A,ABC,10,144,0,0,0,0,,0,1
Atlanta,N/A,FX,10,105,0,0,0,0,,0,1
Detective,N/A,Lifetime,10,81,0,0,0,0,,0,1
Succession,N/A,HBO,10,78,0,0,0,0,,0,1
Person of Interest,N/A,CBS,10,68,0,0,0,0,,0,1
Rick and Morty,N/A,Adult Swim,10,57,0,0,0,0,,0,1
Chance,Hulu,,10,46,0,0,0,0,,0,1
Review,N/A,Comedy Central,10,39,0,0,0,0,,0,1
Reacher,Prime Video,,10,39,0,0,0,0,,0,1
Case,N/A,Stöð 2,10,34,0,0,0,0,,0,1
The One,Netflix,,10,29,0,0,0,0,,0,1
Popular,N/A,The WB,10,20,0,0,0,0,,0,1
Murder,N/A,BBC Two,10,5,0,0,0,0,,0,1
Mental,France tv slash,,9,63,0,0,0,0,,0,1
STEVE,N/A,Syndication,9,61,0,0,0,0,,0,1
The Patient,Hulu,,9,61,0,0,0,0,,0,1
ReBoot,N/A,YTV,9,59,0,0,0,0,,0,1
Reboot,Hulu,,9,59,0,0,0,0,,0,1
Cult,N/A,The CW,9,58,0,0,0,0,,0,1
Fringe,N/A,FOX,9,57,0,0,0,0,,0,1
Happy,N/A,NBC,9,54,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,9,54,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,9,48,0,0,0,0,,0,1
Punk,N/A,EPIX,9,48,0,0,0,0,,0,1
Cyberpunk: Edgerunners,Netflix,,9,48,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,9,44,0,0,0,0,,0,1
Thriller,N/A,ITV1,9,40,0,0,0,0,,0,1
Welcome,N/A,KBS2,9,35,0,0,0,0,,0,1
Huge,N/A,FreeForm,9,34,0,0,0,0,,0,1
Strange,N/A,BBC One,9,19,0,0,0,0,,0,1
Release,Topic,,8,104,0,0,0,0,,0,1
Elementary,N/A,CBS,8,69,0,0,0,0,,0,1
Abbott Elementary,N/A,ABC,8,69,0,0,0,0,,0,1
Legion,N/A,FX,8,59,0,0,0,0,,0,1
Supernatural,N/A,BBC One,8,49,0,0,0,0,,0,1
Believe,N/A,NBC,8,45,0,0,0,0,,0,1
Cane,N/A,CBS,8,38,0,0,0,0,,0,1
House of Drag,TVNZ+,,8,38,0,0,0,0,,0,1
Arcane,Netflix,,8,38,0,0,0,0,,0,1
Psycho,N/A,ARTE,8,36,0,0,0,0,,0,1
Kept,N/A,VH1,8,35,0,0,0,0,,0,1
Fortuna,N/A,NRK1,8,34,0,0,0,0,,0,1
The Great,Hulu,,8,33,0,0,0,0,,0,1
Kingdom,N/A,Mnet,8,27,0,0,0,0,,0,1
The Sopranos,N/A,HBO,7,59,0,0,0,0,,0,1
The Bear,Hulu,,7,55,0,0,0,0,,0,1
Star Trek,N/A,NBC,7,47,0,0,0,0,,0,1
Sent,N/A,HBO Asia,7,46,0,0,0,0,,0,1
Rising,Hill.TV,,7,43,0,0,0,0,,0,1
Easy,Netflix,,7,42,0,0,0,0,,0,1
Missing,N/A,BBC One,7,37,0,0,0,0,,0,1
Epic,N/A,Destination America,7,36,0,0,0,0,,0,1
Wanted,N/A,SBS,7,35,0,0,0,0,,0,1
The Scene,YouTube,,7,35,0,0,0,0,,0,1
Treme,N/A,HBO,7,33,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,7,31,0,0,0,0,,0,1
