name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,100,568,0,0,0,0,,0,1
Black,N/A,OCN,74,685,0,0,0,0,,0,1
The Sandman,Netflix,,48,436,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,46,555,0,0,0,0,,0,1
Black Bird,Apple TV+,,39,414,0,0,0,0,,0,1
Murder,N/A,BBC Two,29,182,0,0,0,0,,0,1
Severance,Apple TV+,,26,328,0,0,0,0,,0,1
Trying,Apple TV+,,26,212,0,0,0,0,,0,1
For All Mankind,Apple TV+,,24,263,0,0,0,0,,0,1
The Resort,Peacock,,20,179,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,20,160,0,0,0,0,,0,1
Westworld,N/A,HBO,20,134,0,0,0,0,,0,1
The Building,N/A,CBS,20,130,0,0,0,0,,0,1
Only Murders in the Building,Hulu,,20,130,0,0,0,0,,0,1
Move,Netflix,,18,40,0,0,0,0,,0,1
The Bear,Hulu,,17,159,0,0,0,0,,0,1
Dark,Netflix,,17,54,0,0,0,0,,0,1
The Rehearsal,N/A,HBO,16,185,0,0,0,0,,0,1
Delete,N/A,REELZ,16,57,0,0,0,0,,0,1
House,N/A,FOX,15,63,0,0,0,0,,0,1
The Act,Hulu,,14,97,0,0,0,0,,0,1
Catch,N/A,NPO 3,14,80,0,0,0,0,,0,1
rage,N/A,ABC,14,53,0,0,0,0,,0,1
Thriller,N/A,ITV1,13,57,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,13,42,0,0,0,0,,0,1
Television,N/A,ITV1,12,236,0,0,0,0,,0,1
Five,N/A,Fuji TV,12,83,0,0,0,0,,0,1
The Boys,Prime Video,,12,74,0,0,0,0,,0,1
Amazon,N/A,Syndication,12,61,0,0,0,0,,0,1
Persona,Netflix,,12,46,0,0,0,0,,0,1
Sona,YouTube,,12,46,0,0,0,0,,0,1
Never Have I Ever,Netflix,,11,83,0,0,0,0,,0,1
Fargo,N/A,FX,11,71,0,0,0,0,,0,1
Sent,N/A,HBO Asia,11,61,0,0,0,0,,0,1
Rain,MX Player,,11,54,0,0,0,0,,0,1
Class,BBC Three,,11,51,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,11,39,0,0,0,0,,0,1
VICE,N/A,Showtime,11,21,0,0,0,0,,0,1
Treme,N/A,HBO,10,74,0,0,0,0,,0,1
Family,N/A,ITV1,10,51,0,0,0,0,,0,1
Evil,Paramount+,,10,47,0,0,0,0,,0,1
Honest,N/A,ITV1,10,40,0,0,0,0,,0,1
Veep,N/A,HBO,10,30,0,0,0,0,,0,1
Happy,N/A,NBC,9,73,0,0,0,0,,0,1
Strange,N/A,BBC One,9,57,0,0,0,0,,0,1
Shadow,Netflix,,9,56,0,0,0,0,,0,1
This Fool,Hulu,,9,51,0,0,0,0,,0,1
Loving,N/A,ABC,9,46,0,0,0,0,,0,1
Orphan Black,N/A,Fuji TV,9,41,0,0,0,0,,0,1
Anno,N/A,NRK1,9,40,0,0,0,0,,0,1
Power,N/A,STARZ,9,29,0,0,0,0,,0,1
Brothers,N/A,Showtime,9,29,0,0,0,0,,0,1
Pose,N/A,FX,9,27,0,0,0,0,,0,1
Lost,N/A,jTBC,9,25,0,0,0,0,,0,1
The Plot,Disney+,,9,19,0,0,0,0,,0,1
True Detective,N/A,HBO,9,0,0,0,0,0,,0,1
Detective,N/A,Lifetime,9,0,0,0,0,0,,0,1
Harley Quinn,HBO Max,,8,75,0,0,0,0,,0,1
Return,N/A,SBS,8,46,0,0,0,0,,0,1
Kingdom,N/A,Mnet,8,45,0,0,0,0,,0,1
Sign,N/A,TV Asahi,8,43,0,0,0,0,,0,1
Shadows,N/A,ITV1,8,43,0,0,0,0,,0,1
Asur,Voot,,8,41,0,0,0,0,,0,1
Easy,Netflix,,8,38,0,0,0,0,,0,1
Mike,Hulu,,8,35,0,0,0,0,,0,1
Succession,N/A,HBO,8,30,0,0,0,0,,0,1
Review,N/A,Comedy Central,8,27,0,0,0,0,,0,1
Deadwood,N/A,HBO,8,9,0,0,0,0,,0,1
Pure,N/A,Channel 4,7,100,0,0,0,0,,0,1
This Week,N/A,BBC One,7,69,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,7,57,0,0,0,0,,0,1
A League of Their Own,Prime Video,,7,56,0,0,0,0,,0,1
Tonight,N/A,ITV1,7,54,0,0,0,0,,0,1
Liar,N/A,ITV1,7,54,0,0,0,0,,0,1
Primal,N/A,Adult Swim,7,54,0,0,0,0,,0,1
Chance,Hulu,,7,52,0,0,0,0,,0,1
Walker,N/A,The CW,7,48,0,0,0,0,,0,1
Dogs,Netflix,,7,46,0,0,0,0,,0,1
Reservation Dogs,Hulu,,7,46,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,7,43,0,0,0,0,,0,1
What We Do in the Shadows,N/A,FX,7,42,0,0,0,0,,0,1
Bang,N/A,S4C,7,41,0,0,0,0,,0,1
David,N/A,TNT,7,36,0,0,0,0,,0,1
Itch,N/A,ABC ME,7,34,0,0,0,0,,0,1
100%,N/A,Channel 5,7,31,0,0,0,0,,0,1
Aspe,N/A,VTM,7,30,0,0,0,0,,0,1
Money,N/A,BBC Two,7,26,0,0,0,0,,0,1
Warrior,HBO Max,,7,16,0,0,0,0,,0,1
Rome,N/A,HBO,7,10,0,0,0,0,,0,1
Hunter,N/A,CBS,6,67,0,0,0,0,,0,1
Five Days,N/A,BBC One,6,55,0,0,0,0,,0,1
Pretty Little Liars,Viu,,6,52,0,0,0,0,,0,1
Original Sin,iQIYI,,6,52,0,0,0,0,,0,1
Nathan for You,N/A,Comedy Central,6,50,0,0,0,0,,0,1
Alien,N/A,FX,6,48,0,0,0,0,,0,1
Epic,N/A,Destination America,6,46,0,0,0,0,,0,1
Sex Education,Netflix,,6,44,0,0,0,0,,0,1
Paper Girls,Prime Video,,6,43,0,0,0,0,,0,1
Fortuna,N/A,NRK1,6,40,0,0,0,0,,0,1
Blind,TVING,tvN,6,39,0,0,0,0,,0,1
Caught,N/A,CBC,6,38,0,0,0,0,,0,1
The Orville,Hulu,,6,36,0,0,0,0,,0,1
The Last Kingdom,Netflix,,6,35,0,0,0,0,,0,1
Case,N/A,Stöð 2,6,30,0,0,0,0,,0,1
Major,N/A,NHK,6,28,0,0,0,0,,0,1
Train,N/A,OCN,6,24,0,0,0,0,,0,1
Toon,KPN Presenteert,,6,22,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,6,22,0,0,0,0,,0,1
Anne,N/A,ITV1,6,18,0,0,0,0,,0,1
Release,Topic,,6,17,0,0,0,0,,0,1
Six Feet Under,N/A,HBO,6,12,0,0,0,0,,0,1
Dude,Prime Video,,6,3,0,0,0,0,,0,1
Pachinko,Apple TV+,,6,2,0,0,0,0,,0,1
MINDHUNTER,Netflix,,5,66,0,0,0,0,,0,1
The Expanse,Prime Video,,5,60,0,0,0,0,,0,1
The Americans,N/A,NBC,5,55,0,0,0,0,,0,1
Five Days at Memorial,Apple TV+,,5,50,0,0,0,0,,0,1
Human,Disney+ Hotstar,,5,50,0,0,0,0,,0,1
STEVE,N/A,Syndication,5,45,0,0,0,0,,0,1
Phenom,N/A,ABC,5,45,0,0,0,0,,0,1
College,N/A,Italia 1,5,42,0,0,0,0,,0,1
Peacock,BBC iPlayer,,5,41,0,0,0,0,,0,1
Sold,N/A,ITV1,5,39,0,0,0,0,,0,1
The Scene,YouTube,,5,39,0,0,0,0,,0,1
Guilt,BBC iPlayer,,5,39,0,0,0,0,,0,1
Twin,NRK TV,,5,38,0,0,0,0,,0,1
Mars,N/A,GTV,5,37,0,0,0,0,,0,1
MARS,N/A,National Geographic Channel,5,37,0,0,0,0,,0,1
Alone,N/A,History,5,34,0,0,0,0,,0,1
Random,YouTube,,5,32,0,0,0,0,,0,1
Atlanta,N/A,FX,5,31,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,5,31,0,0,0,0,,0,1
Gran,N/A,BBC One,5,29,0,0,0,0,,0,1
Limit,N/A,TV Tokyo,5,27,0,0,0,0,,0,1
Community,Yahoo! View,,5,26,0,0,0,0,,0,1
Rising,Hill.TV,,5,26,0,0,0,0,,0,1
The Middle,N/A,ABC,5,24,0,0,0,0,,0,1
Believe,N/A,NBC,5,23,0,0,0,0,,0,1
Cross,Prime Video,,5,23,0,0,0,0,,0,1
Away,Netflix,,5,23,0,0,0,0,,0,1
Legion,N/A,FX,5,22,0,0,0,0,,0,1
City on a Hill,N/A,Showtime,5,21,0,0,0,0,,0,1
Huge,N/A,FreeForm,5,20,0,0,0,0,,0,1
Paris,N/A,Channel 4,5,20,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,5,19,0,0,0,0,,0,1
MAID,Netflix,,5,19,0,0,0,0,,0,1
The Rig,Prime Video,,5,18,0,0,0,0,,0,1
Martin,N/A,FOX,5,17,0,0,0,0,,0,1
The Great,Hulu,,5,14,0,0,0,0,,0,1
Watchmen,N/A,HBO,5,13,0,0,0,0,,0,1
Chernobyl,N/A,HBO,5,6,0,0,0,0,,0,1
Barry,N/A,HBO,5,4,0,0,0,0,,0,1
Icon,N/A,Hallmark Channel,5,-2,0,0,0,0,,0,1
Euphoria,N/A,HOT3,5,-4,0,0,0,0,,0,1
Monk,N/A,USA Network,4,88,0,0,0,0,,0,1
The White Lotus,N/A,HBO,4,83,0,0,0,0,,0,1
Cult,N/A,The CW,4,65,0,0,0,0,,0,1
The Wire,N/A,HBO,4,52,0,0,0,0,,0,1
River,N/A,BBC One,4,49,0,0,0,0,,0,1
Chemistry,N/A,Cinemax,4,46,0,0,0,0,,0,1
Woman,N/A,NTV,4,39,0,0,0,0,,0,1
Space,N/A,CBS,4,38,0,0,0,0,,0,1
Pretty Little Liars: Original Sin,HBO Max,,4,35,0,0,0,0,,0,1
Broke,N/A,CBS,4,34,0,0,0,0,,0,1
The Leftovers,N/A,HBO,4,32,0,0,0,0,,0,1
Ella,N/A,VTM,4,31,0,0,0,0,,0,1
Invincible,Prime Video,,4,31,0,0,0,0,,0,1
Reacher,Prime Video,,4,30,0,0,0,0,,0,1
Loot,Apple TV+,,4,30,0,0,0,0,,0,1
Seinfeld,N/A,NBC,4,27,0,0,0,0,,0,1
Servant,Apple TV+,,4,26,0,0,0,0,,0,1
Grand,N/A,NBC,4,25,0,0,0,0,,0,1
Missing,N/A,BBC One,4,24,0,0,0,0,,0,1
Peaky Blinders,N/A,BBC One,4,24,0,0,0,0,,0,1
The Thick of It,N/A,BBC Four,4,24,0,0,0,0,,0,1
The Premise,Hulu,,4,24,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,4,23,0,0,0,0,,0,1
Bull,N/A,CBS,4,22,0,0,0,0,,0,1
Crash,N/A,STARZ,4,21,0,0,0,0,,0,1
Working,N/A,NBC,4,21,0,0,0,0,,0,1
Locke & Key,Netflix,,4,21,0,0,0,0,,0,1
School,N/A,BBC Two,4,20,0,0,0,0,,0,1
Dexter,N/A,Showtime,4,18,0,0,0,0,,0,1
Players,Paramount+,,4,18,0,0,0,0,,0,1
