name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,88,577,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,42,417,0,0,0,0,,0,1
Power,N/A,STARZ,39,323,0,0,0,0,,0,1
House,N/A,FOX,37,286,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,34,299,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,33,270,0,0,0,0,,0,1
Dark,Netflix,,25,132,0,0,0,0,,0,1
The Act,Hulu,,20,217,0,0,0,0,,0,1
Atlanta,N/A,FX,20,190,0,0,0,0,,0,1
Black,N/A,OCN,20,110,0,0,0,0,,0,1
The Americans,N/A,NBC,17,118,0,0,0,0,,0,1
Television,N/A,ITV1,17,77,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,15,150,0,0,0,0,,0,1
The Sopranos,N/A,HBO,15,129,0,0,0,0,,0,1
Sona,YouTube,,15,104,0,0,0,0,,0,1
Kingdom,N/A,Mnet,15,52,0,0,0,0,,0,1
Trying,Apple TV+,,15,42,0,0,0,0,,0,1
Anno,N/A,NRK1,14,88,0,0,0,0,,0,1
Midnight Mass,Netflix,,14,64,0,0,0,0,,0,1
Family,N/A,ITV1,14,54,0,0,0,0,,0,1
Honest,N/A,ITV1,14,52,0,0,0,0,,0,1
Believe,N/A,NBC,14,45,0,0,0,0,,0,1
Evil,Paramount+,,13,82,0,0,0,0,,0,1
ReBoot,N/A,YTV,12,81,0,0,0,0,,0,1
Reboot,Hulu,,12,81,0,0,0,0,,0,1
Loving,N/A,ABC,12,74,0,0,0,0,,0,1
The Plot,Disney+,,12,51,0,0,0,0,,0,1
Stone,N/A,ABC,12,39,0,0,0,0,,0,1
Delete,N/A,REELZ,12,34,0,0,0,0,,0,1
Interview with the Vampire,AMC+,,11,153,0,0,0,0,,0,1
Mr Inbetween,N/A,FX,11,73,0,0,0,0,,0,1
The Midnight Club,Netflix,,11,72,0,0,0,0,,0,1
rage,N/A,ABC,11,71,0,0,0,0,,0,1
The Expanse,Prime Video,,11,67,0,0,0,0,,0,1
Persona,Netflix,,11,66,0,0,0,0,,0,1
Lost,N/A,jTBC,11,57,0,0,0,0,,0,1
Fargo,N/A,FX,11,48,0,0,0,0,,0,1
This Week,N/A,BBC One,10,87,0,0,0,0,,0,1
Empire,N/A,CBS,10,59,0,0,0,0,,0,1
Detective,N/A,Lifetime,10,59,0,0,0,0,,0,1
Justified,N/A,FX,10,50,0,0,0,0,,0,1
Ghost,N/A,SBS,10,50,0,0,0,0,,0,1
MAID,Netflix,,10,46,0,0,0,0,,0,1
Happy,N/A,NBC,10,43,0,0,0,0,,0,1
Home,Apple TV+,,10,34,0,0,0,0,,0,1
Sisters,N/A,Network 10,9,98,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,9,98,0,0,0,0,,0,1
Wanted,N/A,SBS,9,74,0,0,0,0,,0,1
Monster: The Jeffrey Dahmer Story,Netflix,,9,66,0,0,0,0,,0,1
The Rig,Prime Video,,9,54,0,0,0,0,,0,1
Away,Netflix,,9,42,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,9,41,0,0,0,0,,0,1
Case,N/A,Stöð 2,9,38,0,0,0,0,,0,1
Succession,N/A,HBO,9,37,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,9,28,0,0,0,0,,0,1
Barry,N/A,HBO,9,23,0,0,0,0,,0,1
All In,N/A,SBS,8,63,0,0,0,0,,0,1
Pose,N/A,FX,8,58,0,0,0,0,,0,1
Elementary,N/A,CBS,8,51,0,0,0,0,,0,1
The Leftovers,N/A,HBO,8,51,0,0,0,0,,0,1
The One,Netflix,,8,50,0,0,0,0,,0,1
Five,N/A,Fuji TV,8,48,0,0,0,0,,0,1
Wolf,N/A,CBS,8,43,0,0,0,0,,0,1
Today,N/A,NBC,8,41,0,0,0,0,,0,1
Thriller,N/A,ITV1,8,39,0,0,0,0,,0,1
Sent,N/A,HBO Asia,8,38,0,0,0,0,,0,1
Spooky,N/A,ITV1,8,33,0,0,0,0,,0,1
Boardwalk Empire,N/A,HBO,8,32,0,0,0,0,,0,1
Ghosts,N/A,CBS,8,31,0,0,0,0,,0,1
With You,iQIYI,,8,27,0,0,0,0,,0,1
Derry Girls,N/A,Channel 4,7,92,0,0,0,0,,0,1
Hidden,N/A,BBC One,7,77,0,0,0,0,,0,1
The Patient,Hulu,,7,69,0,0,0,0,,0,1
Rogue,N/A,Audience Network,7,68,0,0,0,0,,0,1
The Mandalorian,Disney+,,7,60,0,0,0,0,,0,1
Rain,MX Player,,7,58,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,7,51,0,0,0,0,,0,1
Abbott Elementary,N/A,ABC,7,47,0,0,0,0,,0,1
Sign,N/A,TV Asahi,7,46,0,0,0,0,,0,1
Mad Men,N/A,AMC,7,45,0,0,0,0,,0,1
Chernobyl,N/A,HBO,7,43,0,0,0,0,,0,1
Murder,N/A,BBC Two,7,43,0,0,0,0,,0,1
Related,N/A,The WB,7,42,0,0,0,0,,0,1
Queen,MX Player,,7,42,0,0,0,0,,0,1
Alice,N/A,SBS,7,39,0,0,0,0,,0,1
Alone,N/A,History,7,36,0,0,0,0,,0,1
Release,Topic,,7,34,0,0,0,0,,0,1
Rush,N/A,Network 10,7,31,0,0,0,0,,0,1
Cult,N/A,The CW,7,29,0,0,0,0,,0,1
Huge,N/A,FreeForm,7,29,0,0,0,0,,0,1
Pantheon,AMC+,,7,29,0,0,0,0,,0,1
Drive,N/A,FOX,7,28,0,0,0,0,,0,1
Class,BBC Three,,7,28,0,0,0,0,,0,1
Catch,N/A,NPO 3,7,22,0,0,0,0,,0,1
Major,N/A,NHK,7,19,0,0,0,0,,0,1
Universe,N/A,BBC Two,6,94,0,0,0,0,,0,1
Aspe,N/A,VTM,6,63,0,0,0,0,,0,1
Anne,N/A,ITV1,6,60,0,0,0,0,,0,1
Dogs,Netflix,,6,60,0,0,0,0,,0,1
Reservation Dogs,Hulu,,6,60,0,0,0,0,,0,1
VICE,N/A,Showtime,6,59,0,0,0,0,,0,1
Bang,N/A,S4C,6,45,0,0,0,0,,0,1
Mike,Hulu,,6,45,0,0,0,0,,0,1
Person of Interest,N/A,CBS,6,43,0,0,0,0,,0,1
The Wire,N/A,HBO,6,41,0,0,0,0,,0,1
Chuck,N/A,NBC,6,39,0,0,0,0,,0,1
Phenom,N/A,ABC,6,38,0,0,0,0,,0,1
Doubt,N/A,CBS,6,37,0,0,0,0,,0,1
Puzzle,N/A,TV Asahi,6,34,0,0,0,0,,0,1
Hannibal,N/A,NBC,6,33,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,6,31,0,0,0,0,,0,1
Brothers,N/A,Showtime,6,30,0,0,0,0,,0,1
Treme,N/A,HBO,6,27,0,0,0,0,,0,1
Easy,Netflix,,6,27,0,0,0,0,,0,1
Servant,Apple TV+,,6,24,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,6,23,0,0,0,0,,0,1
Rising,Hill.TV,,6,23,0,0,0,0,,0,1
Black Sails,N/A,STARZ,6,21,0,0,0,0,,0,1
Hunter,N/A,CBS,6,21,0,0,0,0,,0,1
Industry,HBO Max,,6,20,0,0,0,0,,0,1
All That,N/A,Nickelodeon,6,19,0,0,0,0,,0,1
Itch,N/A,ABC ME,6,17,0,0,0,0,,0,1
Kings,N/A,NBC,6,16,0,0,0,0,,0,1
The Scene,YouTube,,6,14,0,0,0,0,,0,1
The Watch,N/A,BBC America,6,9,0,0,0,0,,0,1
Move,Netflix,,6,9,0,0,0,0,,0,1
Strange,N/A,BBC One,6,6,0,0,0,0,,0,1
Mine,N/A,tvN,6,5,0,0,0,0,,0,1
Cross,Prime Video,,5,94,0,0,0,0,,0,1
Dude,Prime Video,,5,88,0,0,0,0,,0,1
Welcome,N/A,KBS2,5,66,0,0,0,0,,0,1
Space,N/A,CBS,5,64,0,0,0,0,,0,1
Rome,N/A,HBO,5,45,0,0,0,0,,0,1
Brain,N/A,KBS2,5,45,0,0,0,0,,0,1
Werewolf,N/A,FOX,5,39,0,0,0,0,,0,1
True Detective,N/A,HBO,5,38,0,0,0,0,,0,1
The Resort,Peacock,,5,37,0,0,0,0,,0,1
Big Fan,N/A,ABC,5,35,0,0,0,0,,0,1
All Over the Place,N/A,CBBC,5,32,0,0,0,0,,0,1
100%,N/A,Channel 5,5,31,0,0,0,0,,0,1
The Capture,BBC iPlayer,,5,31,0,0,0,0,,0,1
Alaska Daily,N/A,ABC,5,28,0,0,0,0,,0,1
The Great,Hulu,,5,27,0,0,0,0,,0,1
Band of Brothers,N/A,HBO,5,26,0,0,0,0,,0,1
Hero,N/A,MBC,5,26,0,0,0,0,,0,1
Extra,N/A,Syndication,5,24,0,0,0,0,,0,1
Rick and Morty,N/A,Adult Swim,5,23,0,0,0,0,,0,1
The Writer,N/A,MBC Drama,5,23,0,0,0,0,,0,1
The Old Man,N/A,FX,5,22,0,0,0,0,,0,1
