name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Severance,Apple TV+,,101,1342,0,0,0,0,,0,1
Love,N/A,MBC,100,583,0,0,0,0,,0,1
VICE,N/A,Showtime,53,442,0,0,0,0,,0,1
Slow Horses,Apple TV+,,44,337,0,0,0,0,,0,1
Tokyo Vice,HBO Max,,41,383,0,0,0,0,,0,1
The Act,Hulu,,29,234,0,0,0,0,,0,1
Black,N/A,OCN,26,81,0,0,0,0,,0,1
Halo,Paramount+,,23,101,0,0,0,0,,0,1
The Dropout,Hulu,,21,106,0,0,0,0,,0,1
Trying,Apple TV+,,21,96,0,0,0,0,,0,1
Lost,N/A,jTBC,21,91,0,0,0,0,,0,1
Television,N/A,ITV1,20,242,0,0,0,0,,0,1
Minx,HBO Max,,20,182,0,0,0,0,,0,1
Pachinko,Apple TV+,,19,177,0,0,0,0,,0,1
Moon Knight,Disney+,,18,150,0,0,0,0,,0,1
Atlanta,N/A,FX,18,116,0,0,0,0,,0,1
This Week,N/A,BBC One,17,192,0,0,0,0,,0,1
Itch,N/A,ABC ME,17,75,0,0,0,0,,0,1
Delete,N/A,REELZ,17,68,0,0,0,0,,0,1
Winning Time: The Rise of the Lakers Dynasty,N/A,HBO,16,150,0,0,0,0,,0,1
Dark,Netflix,,16,140,0,0,0,0,,0,1
Loving,N/A,ABC,16,131,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,16,98,0,0,0,0,,0,1
Believe,N/A,NBC,15,123,0,0,0,0,,0,1
Barry,N/A,HBO,15,107,0,0,0,0,,0,1
Sona,YouTube,,15,100,0,0,0,0,,0,1
Anno,N/A,NRK1,15,99,0,0,0,0,,0,1
Honest,N/A,ITV1,15,65,0,0,0,0,,0,1
Cult,N/A,The CW,14,91,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,14,81,0,0,0,0,,0,1
Case,N/A,Stöð 2,14,36,0,0,0,0,,0,1
Flag,N/A,Sky PerfecTV,13,195,0,0,0,0,,0,1
Julia,N/A,LBCI,13,96,0,0,0,0,,0,1
Persona,Netflix,,13,89,0,0,0,0,,0,1
Slow Burn,N/A,EPIX,13,69,0,0,0,0,,0,1
Wanted,N/A,SBS,13,62,0,0,0,0,,0,1
Strange,N/A,BBC One,13,57,0,0,0,0,,0,1
Pose,N/A,FX,13,40,0,0,0,0,,0,1
Our Flag Means Death,HBO Max,,12,190,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,59,0,0,0,0,,0,1
Catch,N/A,NPO 3,11,110,0,0,0,0,,0,1
Today,N/A,NBC,11,100,0,0,0,0,,0,1
Move,Netflix,,11,66,0,0,0,0,,0,1
Missing,N/A,BBC One,11,53,0,0,0,0,,0,1
Huge,N/A,FreeForm,10,152,0,0,0,0,,0,1
Alone,N/A,History,10,112,0,0,0,0,,0,1
Peacemaker,HBO Max,,10,98,0,0,0,0,,0,1
Servant,Apple TV+,,10,96,0,0,0,0,,0,1
For All Mankind,Apple TV+,,10,72,0,0,0,0,,0,1
Halfway,N/A,BBC Two Wales,10,62,0,0,0,0,,0,1
The Plot,Disney+,,10,60,0,0,0,0,,0,1
Happy,N/A,NBC,10,57,0,0,0,0,,0,1
Crash,N/A,STARZ,10,56,0,0,0,0,,0,1
House,N/A,FOX,10,55,0,0,0,0,,0,1
Release,Topic,,10,53,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,10,40,0,0,0,0,,0,1
Elementary,N/A,CBS,10,39,0,0,0,0,,0,1
Abbott Elementary,N/A,ABC,10,39,0,0,0,0,,0,1
Sign,N/A,TV Asahi,9,149,0,0,0,0,,0,1
Killing Eve,AMC+,,9,126,0,0,0,0,,0,1
Rain,MX Player,,9,95,0,0,0,0,,0,1
Killing It,Peacock,,9,88,0,0,0,0,,0,1
Anne,N/A,ITV1,9,83,0,0,0,0,,0,1
Raised by Wolves,HBO Max,,9,78,0,0,0,0,,0,1
Ozark,Netflix,,9,50,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,9,39,0,0,0,0,,0,1
