name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,126,850,0,0,0,0,,0,1
Strange,N/A,BBC One,45,298,0,0,0,0,,0,1
Barry,N/A,HBO,37,339,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,30,313,0,0,0,0,,0,1
We Own This City,N/A,HBO,29,231,0,0,0,0,,0,1
Anne,N/A,ITV1,29,215,0,0,0,0,,0,1
Stranger,N/A,tvN,28,158,0,0,0,0,,0,1
Stranger Things,Netflix,,27,157,0,0,0,0,,0,1
Atlanta,N/A,FX,25,164,0,0,0,0,,0,1
Case,N/A,Stöð 2,25,155,0,0,0,0,,0,1
Halo,Paramount+,,23,143,0,0,0,0,,0,1
Severance,Apple TV+,,22,202,0,0,0,0,,0,1
Under the Banner of Heaven,Hulu,,22,187,0,0,0,0,,0,1
Delete,N/A,REELZ,21,70,0,0,0,0,,0,1
Bosch,Prime Video,,20,87,0,0,0,0,,0,1
The Act,Hulu,,19,136,0,0,0,0,,0,1
Hack,N/A,CBS,19,115,0,0,0,0,,0,1
Outer Range,Prime Video,,19,91,0,0,0,0,,0,1
Lost,N/A,jTBC,19,70,0,0,0,0,,0,1
Hacks,HBO Max,,18,113,0,0,0,0,,0,1
Night Sky,Prime Video,,18,99,0,0,0,0,,0,1
Away,Netflix,,17,145,0,0,0,0,,0,1
The Staircase,HBO Max,,17,110,0,0,0,0,,0,1
Television,N/A,ITV1,16,137,0,0,0,0,,0,1
Review,N/A,Comedy Central,16,76,0,0,0,0,,0,1
Shining Girls,Apple TV+,,16,61,0,0,0,0,,0,1
VICE,N/A,Showtime,15,121,0,0,0,0,,0,1
Dark,Netflix,,15,116,0,0,0,0,,0,1
Family,N/A,ITV1,15,86,0,0,0,0,,0,1
This Week,N/A,BBC One,15,86,0,0,0,0,,0,1
Black,N/A,OCN,14,87,0,0,0,0,,0,1
Itch,N/A,ABC ME,14,86,0,0,0,0,,0,1
Friends,N/A,ABC,14,56,0,0,0,0,,0,1
Release,Topic,,14,54,0,0,0,0,,0,1
Huge,N/A,FreeForm,14,47,0,0,0,0,,0,1
House,N/A,FOX,14,37,0,0,0,0,,0,1
"Love, Death & Robots",Netflix,,13,119,0,0,0,0,,0,1
rage,N/A,ABC,13,99,0,0,0,0,,0,1
Trying,Apple TV+,,12,105,0,0,0,0,,0,1
New Worlds,N/A,Channel 4,12,84,0,0,0,0,,0,1
New World,Netflix,,12,84,0,0,0,0,,0,1
Believe,N/A,NBC,12,61,0,0,0,0,,0,1
Sent,N/A,HBO Asia,12,59,0,0,0,0,,0,1
Happy,N/A,NBC,12,51,0,0,0,0,,0,1
Honest,N/A,ITV1,12,40,0,0,0,0,,0,1
Norm,N/A,ABC,12,35,0,0,0,0,,0,1
The Plot,Disney+,,12,26,0,0,0,0,,0,1
Star Trek,N/A,NBC,11,121,0,0,0,0,,0,1
Sona,YouTube,,11,118,0,0,0,0,,0,1
Prehistoric Planet,Apple TV+,,11,73,0,0,0,0,,0,1
Ozark,Netflix,,11,72,0,0,0,0,,0,1
The Wire,N/A,HBO,11,70,0,0,0,0,,0,1
Legacy,Youku,,11,65,0,0,0,0,,0,1
Shadow,Netflix,,11,60,0,0,0,0,,0,1
Anno,N/A,NRK1,11,53,0,0,0,0,,0,1
Lore,Prime Video,,11,50,0,0,0,0,,0,1
Easy,Netflix,,11,41,0,0,0,0,,0,1
Medic,N/A,NBC,11,31,0,0,0,0,,0,1
Persona,Netflix,,10,94,0,0,0,0,,0,1
David,N/A,TNT,10,66,0,0,0,0,,0,1
Space,N/A,CBS,10,66,0,0,0,0,,0,1
Traveler,N/A,jTBC,10,43,0,0,0,0,,0,1
Reacher,Prime Video,,10,35,0,0,0,0,,0,1
The Game,Paramount+,,10,32,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,10,31,0,0,0,0,,0,1
Catch,N/A,NPO 3,10,24,0,0,0,0,,0,1
Pachinko,Apple TV+,,9,91,0,0,0,0,,0,1
The Offer,Paramount+,,9,73,0,0,0,0,,0,1
Treme,N/A,HBO,9,52,0,0,0,0,,0,1
Rain,MX Player,,9,44,0,0,0,0,,0,1
Rush,N/A,Network 10,9,42,0,0,0,0,,0,1
Pose,N/A,FX,9,39,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,9,35,0,0,0,0,,0,1
Candy,Voot,,9,35,0,0,0,0,,0,1
Sign,N/A,TV Asahi,9,30,0,0,0,0,,0,1
The Boys,Prime Video,,9,25,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,8,94,0,0,0,0,,0,1
The Great,Hulu,,8,52,0,0,0,0,,0,1
Amazon,N/A,Syndication,8,51,0,0,0,0,,0,1
Liar,N/A,ITV1,8,50,0,0,0,0,,0,1
Winning Time: The Rise of the Lakers Dynasty,N/A,HBO,8,48,0,0,0,0,,0,1
Baby,Netflix,,8,42,0,0,0,0,,0,1
Justified,N/A,FX,8,41,0,0,0,0,,0,1
Made for Love,HBO Max,,8,39,0,0,0,0,,0,1
Romance,N/A,France 2,8,38,0,0,0,0,,0,1
Human,Disney+ Hotstar,,8,28,0,0,0,0,,0,1
The Games,N/A,ABC,8,24,0,0,0,0,,0,1
Power,N/A,STARZ,8,22,0,0,0,0,,0,1
The Essex Serpent,Apple TV+,,7,65,0,0,0,0,,0,1
Today,N/A,NBC,7,55,0,0,0,0,,0,1
Missing,N/A,BBC One,7,38,0,0,0,0,,0,1
Beat,Prime Video,,7,37,0,0,0,0,,0,1
School,N/A,BBC Two,7,34,0,0,0,0,,0,1
Fortuna,N/A,NRK1,7,32,0,0,0,0,,0,1
This Is Us,N/A,NBC,7,28,0,0,0,0,,0,1
The One,Netflix,,7,27,0,0,0,0,,0,1
Star Trek: Picard,Paramount+,,7,25,0,0,0,0,,0,1
Kingdom,N/A,Mnet,7,24,0,0,0,0,,0,1
Loving,N/A,ABC,7,22,0,0,0,0,,0,1
Legion,N/A,FX,7,20,0,0,0,0,,0,1
Home,Apple TV+,,7,20,0,0,0,0,,0,1
Played,N/A,CTV,7,19,0,0,0,0,,0,1
Kings,N/A,NBC,7,18,0,0,0,0,,0,1
Wanted,N/A,SBS,7,18,0,0,0,0,,0,1
Foundation,Apple TV+,,7,16,0,0,0,0,,0,1
Survivor,N/A,ΣΚΑΪ Τηλεόραση,7,9,0,0,0,0,,0,1
Raised by Wolves,HBO Max,,6,86,0,0,0,0,,0,1
Cross,Prime Video,,6,72,0,0,0,0,,0,1
The Dropout,Hulu,,6,63,0,0,0,0,,0,1
The Lincoln Lawyer,Netflix,,6,51,0,0,0,0,,0,1
The Wilds,Prime Video,,6,47,0,0,0,0,,0,1
Gaslit,N/A,STARZ,6,43,0,0,0,0,,0,1
Tehran,Apple TV+,,6,42,0,0,0,0,,0,1
Tonight,N/A,ITV1,6,37,0,0,0,0,,0,1
The Baby,N/A,HBO,6,37,0,0,0,0,,0,1
Trop,ICI Tou.tv,,6,36,0,0,0,0,,0,1
Train,N/A,OCN,6,34,0,0,0,0,,0,1
Released,N/A,Oprah Winfrey Network,6,28,0,0,0,0,,0,1
Mine,N/A,tvN,6,27,0,0,0,0,,0,1
Limit,N/A,TV Tokyo,6,26,0,0,0,0,,0,1
Dive,N/A,BBC Two,6,26,0,0,0,0,,0,1
Chance,Hulu,,6,25,0,0,0,0,,0,1
Alone,N/A,History,6,23,0,0,0,0,,0,1
Ella,N/A,VTM,6,23,0,0,0,0,,0,1
Soap,N/A,ABC,6,22,0,0,0,0,,0,1
Goliath,Prime Video,,6,22,0,0,0,0,,0,1
Class,BBC Three,,6,22,0,0,0,0,,0,1
Move,Netflix,,6,22,0,0,0,0,,0,1
Sketch,N/A,jTBC,6,21,0,0,0,0,,0,1
Supernatural,N/A,BBC One,6,19,0,0,0,0,,0,1
Community,Yahoo! View,,6,19,0,0,0,0,,0,1
Touch,N/A,FOX,6,19,0,0,0,0,,0,1
Hero,N/A,MBC,6,18,0,0,0,0,,0,1
Hunter,N/A,CBS,6,17,0,0,0,0,,0,1
The Case,N/A,BBC One,6,16,0,0,0,0,,0,1
Person of Interest,N/A,CBS,6,12,0,0,0,0,,0,1
Game of Thrones,N/A,HBO,6,6,0,0,0,0,,0,1
Tokyo Vice,HBO Max,,5,86,0,0,0,0,,0,1
Cult,N/A,The CW,5,54,0,0,0,0,,0,1
Sally,N/A,SVT1,5,50,0,0,0,0,,0,1
Slow Burn,N/A,EPIX,5,45,0,0,0,0,,0,1
GOLD,N/A,Fuji TV,5,44,0,0,0,0,,0,1
Pulse,Showmax,,5,40,0,0,0,0,,0,1
Aspe,N/A,VTM,5,37,0,0,0,0,,0,1
Angel,N/A,CBS,5,36,0,0,0,0,,0,1
Money,N/A,BBC Two,5,35,0,0,0,0,,0,1
Mental,France tv slash,,5,34,0,0,0,0,,0,1
Nature,N/A,PBS,5,30,0,0,0,0,,0,1
Related,N/A,The WB,5,30,0,0,0,0,,0,1
Julia,N/A,LBCI,5,30,0,0,0,0,,0,1
Brothers,N/A,Showtime,5,27,0,0,0,0,,0,1
Gentleman Jack,N/A,BBC One,5,27,0,0,0,0,,0,1
Stuck,N/A,TLC,5,27,0,0,0,0,,0,1
Faith,N/A,ITV1,5,26,0,0,0,0,,0,1
Luck,N/A,HBO,5,25,0,0,0,0,,0,1
Ares,Netflix,,5,24,0,0,0,0,,0,1
Conversations with Friends,BBC iPlayer,,5,24,0,0,0,0,,0,1
Shoresy,CraveTV,,5,24,0,0,0,0,,0,1
The Scene,YouTube,,5,21,0,0,0,0,,0,1
Camp,N/A,NBC,5,18,0,0,0,0,,0,1
The Challenge,N/A,MTV,5,18,0,0,0,0,,0,1
Murder,N/A,BBC Two,5,17,0,0,0,0,,0,1
Counterpart,N/A,STARZ,5,16,0,0,0,0,,0,1
Normal People,BBC Three,,5,16,0,0,0,0,,0,1
Taken,N/A,NBC,5,13,0,0,0,0,,0,1
Trust,N/A,BBC One,5,13,0,0,0,0,,0,1
Travelers,Netflix,,5,12,0,0,0,0,,0,1
Genius,N/A,National Geographic Channel,5,11,0,0,0,0,,0,1
Evolve,N/A,History,5,11,0,0,0,0,,0,1
Universe,N/A,BBC Two,5,11,0,0,0,0,,0,1
The 100,N/A,The CW,5,10,0,0,0,0,,0,1
Russian Doll,Netflix,,5,10,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,5,7,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,5,7,0,0,0,0,,0,1
The Expanse,Prime Video,,5,4,0,0,0,0,,0,1
Jonah,N/A,Three,5,-1,0,0,0,0,,0,1
Evil,Paramount+,,5,-3,0,0,0,0,,0,1
Succession,N/A,HBO,4,102,0,0,0,0,,0,1
Mother,N/A,tvN,4,62,0,0,0,0,,0,1
Out There,N/A,IFC,4,62,0,0,0,0,,0,1
Welcome,N/A,KBS2,4,52,0,0,0,0,,0,1
Parents,N/A,Sky Showcase,4,46,0,0,0,0,,0,1
Thriller,N/A,ITV1,4,43,0,0,0,0,,0,1
Slow Horses,Apple TV+,,4,41,0,0,0,0,,0,1
Sara,N/A,RTP2,4,40,0,0,0,0,,0,1
Ramo,N/A,Show TV,4,39,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,4,37,0,0,0,0,,0,1
Derry Girls,N/A,Channel 4,4,30,0,0,0,0,,0,1
Chemistry,N/A,Cinemax,4,29,0,0,0,0,,0,1
Moon Knight,Disney+,,4,28,0,0,0,0,,0,1
Skin,N/A,FOX,4,26,0,0,0,0,,0,1
The Thing,N/A,NBC,4,26,0,0,0,0,,0,1
Undone,Prime Video,,4,26,0,0,0,0,,0,1
Click,N/A,BBC News,4,25,0,0,0,0,,0,1
Wreck,BBC iPlayer,,4,25,0,0,0,0,,0,1
Utopia,Prime Video,,4,22,0,0,0,0,,0,1
Massive,N/A,BBC Three,4,22,0,0,0,0,,0,1
Clark,Netflix,,4,22,0,0,0,0,,0,1
