name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,91,577,0,0,0,0,,0,1
The Bear,Hulu,,70,1089,0,0,0,0,,0,1
The Boys,Prime Video,,57,466,0,0,0,0,,0,1
The Old Man,N/A,FX,33,372,0,0,0,0,,0,1
Strange,N/A,BBC One,28,144,0,0,0,0,,0,1
Umbre,HBO Go,,25,176,0,0,0,0,,0,1
Ella,N/A,VTM,25,176,0,0,0,0,,0,1
For All Mankind,Apple TV+,,24,201,0,0,0,0,,0,1
Home,Apple TV+,,23,141,0,0,0,0,,0,1
Dark,Netflix,,22,159,0,0,0,0,,0,1
Stranger Things,Netflix,,21,118,0,0,0,0,,0,1
Stranger,N/A,tvN,21,118,0,0,0,0,,0,1
Loving,N/A,ABC,20,126,0,0,0,0,,0,1
Severance,Apple TV+,,19,79,0,0,0,0,,0,1
Chef,N/A,Fuji TV,18,183,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,18,102,0,0,0,0,,0,1
Itch,N/A,ABC ME,17,138,0,0,0,0,,0,1
Review,N/A,Comedy Central,17,113,0,0,0,0,,0,1
Trying,Apple TV+,,17,79,0,0,0,0,,0,1
Honest,N/A,ITV1,15,102,0,0,0,0,,0,1
Sona,YouTube,,15,56,0,0,0,0,,0,1
Believe,N/A,NBC,14,95,0,0,0,0,,0,1
The Umbrella Academy,Netflix,,14,67,0,0,0,0,,0,1
Stone,N/A,ABC,14,60,0,0,0,0,,0,1
Shameless,N/A,Channel 4,13,190,0,0,0,0,,0,1
Murder,N/A,BBC Two,13,107,0,0,0,0,,0,1
Barry,N/A,HBO,13,78,0,0,0,0,,0,1
Evil,Paramount+,,13,69,0,0,0,0,,0,1
Amazon,N/A,Syndication,13,53,0,0,0,0,,0,1
Succession,N/A,HBO,13,51,0,0,0,0,,0,1
Persona,Netflix,,13,45,0,0,0,0,,0,1
Happy,N/A,NBC,12,77,0,0,0,0,,0,1
Anne,N/A,ITV1,12,73,0,0,0,0,,0,1
Family,N/A,ITV1,12,72,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,12,69,0,0,0,0,,0,1
Homeland,N/A,Showtime,12,55,0,0,0,0,,0,1
Delete,N/A,REELZ,12,46,0,0,0,0,,0,1
Move,Netflix,,12,46,0,0,0,0,,0,1
Westworld,N/A,HBO,11,95,0,0,0,0,,0,1
The Act,Hulu,,11,67,0,0,0,0,,0,1
Lost,N/A,jTBC,11,39,0,0,0,0,,0,1
Pose,N/A,FX,11,24,0,0,0,0,,0,1
Player,N/A,OCN,10,105,0,0,0,0,,0,1
Anno,N/A,NRK1,10,53,0,0,0,0,,0,1
Power,N/A,STARZ,10,44,0,0,0,0,,0,1
1883,Paramount+,,10,39,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,10,30,0,0,0,0,,0,1
Twin,NRK TV,,10,22,0,0,0,0,,0,1
Fortuna,N/A,NRK1,10,20,0,0,0,0,,0,1
Obi-Wan Kenobi,Disney+,,9,122,0,0,0,0,,0,1
Played,N/A,CTV,9,82,0,0,0,0,,0,1
Dark Winds,AMC+,,9,74,0,0,0,0,,0,1
Catch,N/A,NPO 3,9,56,0,0,0,0,,0,1
VICE,N/A,Showtime,9,55,0,0,0,0,,0,1
Space,N/A,CBS,9,52,0,0,0,0,,0,1
Cult,N/A,The CW,9,50,0,0,0,0,,0,1
Treme,N/A,HBO,9,43,0,0,0,0,,0,1
The Expanse,Prime Video,,9,41,0,0,0,0,,0,1
Money,N/A,BBC Two,9,38,0,0,0,0,,0,1
The Bureau,N/A,Investigation Discovery,9,33,0,0,0,0,,0,1
Norm,N/A,ABC,9,24,0,0,0,0,,0,1
Players,Paramount+,,8,103,0,0,0,0,,0,1
Hero,N/A,MBC,8,86,0,0,0,0,,0,1
The Wire,N/A,HBO,8,54,0,0,0,0,,0,1
Caught,N/A,CBC,8,54,0,0,0,0,,0,1
Ramo,N/A,Show TV,8,54,0,0,0,0,,0,1
Alone,N/A,History,8,49,0,0,0,0,,0,1
Friends,N/A,ABC,8,39,0,0,0,0,,0,1
School,N/A,BBC Two,8,36,0,0,0,0,,0,1
Case,N/A,Stöð 2,8,31,0,0,0,0,,0,1
The Middle,N/A,ABC,8,30,0,0,0,0,,0,1
