name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,79,413,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,47,397,0,0,0,0,,0,1
Black,N/A,OCN,43,460,0,0,0,0,,0,1
The Bear,Hulu,,39,524,0,0,0,0,,0,1
Dark,Netflix,,32,247,0,0,0,0,,0,1
Westworld,N/A,HBO,31,250,0,0,0,0,,0,1
Evil,Paramount+,,31,112,0,0,0,0,,0,1
The Rehearsal,N/A,HBO,29,383,0,0,0,0,,0,1
Honest,N/A,ITV1,29,157,0,0,0,0,,0,1
Severance,Apple TV+,,25,327,0,0,0,0,,0,1
Black Bird,Apple TV+,,24,353,0,0,0,0,,0,1
The Boys,Prime Video,,24,243,0,0,0,0,,0,1
Family,N/A,ITV1,24,135,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,24,125,0,0,0,0,,0,1
Murder,N/A,BBC Two,23,219,0,0,0,0,,0,1
Strange,N/A,BBC One,22,128,0,0,0,0,,0,1
The Americans,N/A,NBC,21,119,0,0,0,0,,0,1
Resident Evil,Netflix,,21,80,0,0,0,0,,0,1
VICE,N/A,Showtime,20,56,0,0,0,0,,0,1
Detective,N/A,Lifetime,19,115,0,0,0,0,,0,1
The Act,Hulu,,19,92,0,0,0,0,,0,1
Barry,N/A,HBO,18,260,0,0,0,0,,0,1
The Old Man,N/A,FX,18,193,0,0,0,0,,0,1
Happy,N/A,NBC,18,76,0,0,0,0,,0,1
Trying,Apple TV+,,18,68,0,0,0,0,,0,1
Shadow,Netflix,,17,120,0,0,0,0,,0,1
Sona,YouTube,,17,70,0,0,0,0,,0,1
Nathan for You,N/A,Comedy Central,16,240,0,0,0,0,,0,1
Delete,N/A,REELZ,16,92,0,0,0,0,,0,1
Stranger,N/A,tvN,16,89,0,0,0,0,,0,1
Persona,Netflix,,16,69,0,0,0,0,,0,1
Pose,N/A,FX,16,23,0,0,0,0,,0,1
The Building,N/A,CBS,15,173,0,0,0,0,,0,1
Only Murders in the Building,Hulu,,15,173,0,0,0,0,,0,1
Shadows,N/A,ITV1,15,107,0,0,0,0,,0,1
Away,Netflix,,15,78,0,0,0,0,,0,1
Player,N/A,OCN,14,100,0,0,0,0,,0,1
Stranger Things,Netflix,,14,84,0,0,0,0,,0,1
Move,Netflix,,14,59,0,0,0,0,,0,1
True Detective,N/A,HBO,13,97,0,0,0,0,,0,1
Players,Paramount+,,13,96,0,0,0,0,,0,1
What We Do in the Shadows,N/A,FX,13,85,0,0,0,0,,0,1
Itch,N/A,ABC ME,13,67,0,0,0,0,,0,1
Television,N/A,ITV1,12,149,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,12,141,0,0,0,0,,0,1
Believe,N/A,NBC,12,80,0,0,0,0,,0,1
Ozark,Netflix,,12,78,0,0,0,0,,0,1
Anne,N/A,ITV1,12,57,0,0,0,0,,0,1
