name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,105,697,0,0,0,0,,0,1
Strange,N/A,BBC One,75,512,0,0,0,0,,0,1
Stranger,N/A,tvN,66,433,0,0,0,0,,0,1
Stranger Things,Netflix,,64,430,0,0,0,0,,0,1
The Boys,Prime Video,,63,538,0,0,0,0,,0,1
The Bear,Hulu,,54,576,0,0,0,0,,0,1
Dark,Netflix,,35,167,0,0,0,0,,0,1
For All Mankind,Apple TV+,,31,239,0,0,0,0,,0,1
The Old Man,N/A,FX,29,335,0,0,0,0,,0,1
Black,N/A,OCN,28,137,0,0,0,0,,0,1
Ella,N/A,VTM,27,244,0,0,0,0,,0,1
Severance,Apple TV+,,27,219,0,0,0,0,,0,1
Umbre,HBO Go,,26,230,0,0,0,0,,0,1
Murder,N/A,BBC Two,25,359,0,0,0,0,,0,1
Home,Apple TV+,,24,107,0,0,0,0,,0,1
Westworld,N/A,HBO,23,103,0,0,0,0,,0,1
Sona,YouTube,,22,83,0,0,0,0,,0,1
Barry,N/A,HBO,21,186,0,0,0,0,,0,1
The Building,N/A,CBS,20,340,0,0,0,0,,0,1
Trying,Apple TV+,,20,97,0,0,0,0,,0,1
Persona,Netflix,,20,76,0,0,0,0,,0,1
Stone,N/A,ABC,20,66,0,0,0,0,,0,1
Review,N/A,Comedy Central,20,64,0,0,0,0,,0,1
Only Murders in the Building,Hulu,,19,318,0,0,0,0,,0,1
The Act,Hulu,,19,111,0,0,0,0,,0,1
Loving,N/A,ABC,16,104,0,0,0,0,,0,1
Family,N/A,ITV1,16,98,0,0,0,0,,0,1
Happy,N/A,NBC,15,128,0,0,0,0,,0,1
Honest,N/A,ITV1,15,80,0,0,0,0,,0,1
The Terminal List,Prime Video,,15,56,0,0,0,0,,0,1
Itch,N/A,ABC ME,15,42,0,0,0,0,,0,1
Rain,MX Player,,14,77,0,0,0,0,,0,1
Amazon,N/A,Syndication,14,61,0,0,0,0,,0,1
Lost,N/A,jTBC,14,55,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,14,55,0,0,0,0,,0,1
Anno,N/A,NRK1,14,51,0,0,0,0,,0,1
Evil,Paramount+,,14,42,0,0,0,0,,0,1
Television,N/A,ITV1,13,187,0,0,0,0,,0,1
This Week,N/A,BBC One,13,122,0,0,0,0,,0,1
Away,Netflix,,13,106,0,0,0,0,,0,1
Star Trek,N/A,NBC,13,88,0,0,0,0,,0,1
Release,Topic,,13,56,0,0,0,0,,0,1
Game of Thrones,N/A,HBO,13,52,0,0,0,0,,0,1
Homeland,N/A,Showtime,13,23,0,0,0,0,,0,1
Hero,N/A,MBC,12,83,0,0,0,0,,0,1
Sign,N/A,TV Asahi,12,76,0,0,0,0,,0,1
Kings,N/A,NBC,12,62,0,0,0,0,,0,1
Dude,Prime Video,,12,55,0,0,0,0,,0,1
Anne,N/A,ITV1,12,41,0,0,0,0,,0,1
Delete,N/A,REELZ,12,35,0,0,0,0,,0,1
VICE,N/A,Showtime,12,27,0,0,0,0,,0,1
rage,N/A,ABC,11,87,0,0,0,0,,0,1
Station Eleven,HBO Max,,11,87,0,0,0,0,,0,1
The Orville,Hulu,,11,71,0,0,0,0,,0,1
Case,N/A,Stöð 2,11,69,0,0,0,0,,0,1
Catch,N/A,NPO 3,11,59,0,0,0,0,,0,1
Veep,N/A,HBO,11,48,0,0,0,0,,0,1
Pose,N/A,FX,11,48,0,0,0,0,,0,1
Power,N/A,STARZ,11,47,0,0,0,0,,0,1
The Americans,N/A,NBC,11,33,0,0,0,0,,0,1
The Umbrella Academy,Netflix,,10,147,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,10,146,0,0,0,0,,0,1
New World,Netflix,,10,88,0,0,0,0,,0,1
Ms. Marvel,Disney+,,10,62,0,0,0,0,,0,1
Epic,N/A,Destination America,10,59,0,0,0,0,,0,1
Thriller,N/A,ITV1,10,45,0,0,0,0,,0,1
