name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,89,885,0,0,0,0,,0,1
Dark,Netflix,,35,170,0,0,0,0,,0,1
The White Lotus,N/A,HBO,29,343,0,0,0,0,,0,1
The Act,Hulu,,21,109,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,20,166,0,0,0,0,,0,1
1899,Netflix,,17,76,0,0,0,0,,0,1
The Bear,Hulu,,16,215,0,0,0,0,,0,1
Sona,YouTube,,15,132,0,0,0,0,,0,1
Black,N/A,OCN,15,101,0,0,0,0,,0,1
Honest,N/A,ITV1,15,94,0,0,0,0,,0,1
The Recruit,Netflix,,13,116,0,0,0,0,,0,1
Away,Netflix,,13,97,0,0,0,0,,0,1
Review,N/A,Comedy Central,13,49,0,0,0,0,,0,1
Succession,N/A,HBO,13,42,0,0,0,0,,0,1
Anne,N/A,ITV1,12,201,0,0,0,0,,0,1
Persona,Netflix,,12,121,0,0,0,0,,0,1
Wednesday,Netflix,,12,48,0,0,0,0,,0,1
The Rig,Prime Video,,11,125,0,0,0,0,,0,1
Willow,Disney+,,11,106,0,0,0,0,,0,1
Believe,N/A,NBC,11,53,0,0,0,0,,0,1
rage,N/A,ABC,11,49,0,0,0,0,,0,1
House,N/A,FOX,11,31,0,0,0,0,,0,1
Amazon,N/A,Syndication,11,29,0,0,0,0,,0,1
Detective,N/A,Lifetime,10,228,0,0,0,0,,0,1
Severance,Apple TV+,,10,113,0,0,0,0,,0,1
Family,N/A,ITV1,10,67,0,0,0,0,,0,1
Rising,Hill.TV,,10,55,0,0,0,0,,0,1
The Leftovers,N/A,HBO,10,52,0,0,0,0,,0,1
Trying,Apple TV+,,10,46,0,0,0,0,,0,1
Thriller,N/A,ITV1,9,116,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,9,116,0,0,0,0,,0,1
Psych,N/A,USA Network,9,96,0,0,0,0,,0,1
Treme,N/A,HBO,9,79,0,0,0,0,,0,1
Stone,N/A,ABC,9,78,0,0,0,0,,0,1
Case,N/A,Stöð 2,9,71,0,0,0,0,,0,1
Asur,Voot,,9,53,0,0,0,0,,0,1
Hero,N/A,MBC,9,48,0,0,0,0,,0,1
Fleishman is in Trouble,Hulu,,9,48,0,0,0,0,,0,1
Cult,N/A,The CW,9,42,0,0,0,0,,0,1
The Wire,N/A,HBO,9,37,0,0,0,0,,0,1
Slow Horses,Apple TV+,,9,27,0,0,0,0,,0,1
Anno,N/A,NRK1,9,26,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,9,22,0,0,0,0,,0,1
Itch,N/A,ABC ME,8,126,0,0,0,0,,0,1
Alone,N/A,History,8,115,0,0,0,0,,0,1
Let the Right One In,Showtime on Demand,Showtime,8,115,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,8,70,0,0,0,0,,0,1
His Dark Materials,BBC iPlayer,,8,39,0,0,0,0,,0,1
Sign,N/A,TV Asahi,8,36,0,0,0,0,,0,1
Easy,Netflix,,8,33,0,0,0,0,,0,1
Mad Men,N/A,AMC,8,28,0,0,0,0,,0,1
The Plot,Disney+,,8,24,0,0,0,0,,0,1
Liar,N/A,ITV1,7,123,0,0,0,0,,0,1
Chernobyl,N/A,HBO,7,116,0,0,0,0,,0,1
Space,N/A,CBS,7,90,0,0,0,0,,0,1
Happy,N/A,NBC,7,83,0,0,0,0,,0,1
This Week,N/A,BBC One,7,56,0,0,0,0,,0,1
VICE,N/A,Showtime,7,44,0,0,0,0,,0,1
Lost,N/A,jTBC,7,42,0,0,0,0,,0,1
Tulsa King,Paramount+,,7,42,0,0,0,0,,0,1
Today,N/A,NBC,7,38,0,0,0,0,,0,1
Release,Topic,,7,35,0,0,0,0,,0,1
1923,Paramount+,,7,30,0,0,0,0,,0,1
The Rook,N/A,STARZ,7,27,0,0,0,0,,0,1
The Rookie,N/A,ABC,7,27,0,0,0,0,,0,1
Home,Apple TV+,,7,24,0,0,0,0,,0,1
Move,Netflix,,7,19,0,0,0,0,,0,1
Murder,N/A,BBC Two,7,18,0,0,0,0,,0,1
