name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,114,716,0,0,0,0,,0,1
The Sandman,Netflix,,93,856,0,0,0,0,,0,1
Black,N/A,OCN,73,673,0,0,0,0,,0,1
Dark,Netflix,,36,280,0,0,0,0,,0,1
Black Bird,Apple TV+,,34,372,0,0,0,0,,0,1
Murder,N/A,BBC Two,29,185,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,27,328,0,0,0,0,,0,1
Severance,Apple TV+,,27,318,0,0,0,0,,0,1
The Rehearsal,N/A,HBO,24,285,0,0,0,0,,0,1
Westworld,N/A,HBO,24,175,0,0,0,0,,0,1
For All Mankind,Apple TV+,,24,162,0,0,0,0,,0,1
Lost,N/A,jTBC,24,97,0,0,0,0,,0,1
Strange,N/A,BBC One,24,90,0,0,0,0,,0,1
Family,N/A,ITV1,22,135,0,0,0,0,,0,1
Sona,YouTube,,22,86,0,0,0,0,,0,1
Trying,Apple TV+,,20,105,0,0,0,0,,0,1
Persona,Netflix,,20,81,0,0,0,0,,0,1
Evil,Paramount+,,18,91,0,0,0,0,,0,1
The Act,Hulu,,17,193,0,0,0,0,,0,1
The Leftovers,N/A,HBO,17,72,0,0,0,0,,0,1
School,N/A,BBC Two,17,45,0,0,0,0,,0,1
Search,N/A,OCN,17,43,0,0,0,0,,0,1
Honest,N/A,ITV1,16,134,0,0,0,0,,0,1
House,N/A,FOX,16,109,0,0,0,0,,0,1
Anne,N/A,ITV1,16,86,0,0,0,0,,0,1
VICE,N/A,Showtime,16,66,0,0,0,0,,0,1
Amazon,N/A,Syndication,16,47,0,0,0,0,,0,1
Stranger,N/A,tvN,16,47,0,0,0,0,,0,1
Move,Netflix,,16,26,0,0,0,0,,0,1
Television,N/A,ITV1,15,139,0,0,0,0,,0,1
This Week,N/A,BBC One,15,109,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,15,88,0,0,0,0,,0,1
Itch,N/A,ABC ME,14,72,0,0,0,0,,0,1
Happy,N/A,NBC,14,66,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,14,65,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,14,62,0,0,0,0,,0,1
Stranger Things,Netflix,,14,45,0,0,0,0,,0,1
The Bear,Hulu,,13,197,0,0,0,0,,0,1
Paper Girls,Prime Video,,13,141,0,0,0,0,,0,1
The Building,N/A,CBS,13,126,0,0,0,0,,0,1
Only Murders in the Building,Hulu,,13,126,0,0,0,0,,0,1
Liar,N/A,ITV1,13,84,0,0,0,0,,0,1
Delete,N/A,REELZ,13,81,0,0,0,0,,0,1
Hero,N/A,MBC,13,53,0,0,0,0,,0,1
Class,BBC Three,,13,46,0,0,0,0,,0,1
Case,N/A,Stöð 2,13,32,0,0,0,0,,0,1
Hunter,N/A,CBS,12,102,0,0,0,0,,0,1
Dope,Netflix,,12,86,0,0,0,0,,0,1
Believe,N/A,NBC,12,85,0,0,0,0,,0,1
Loving,N/A,ABC,12,76,0,0,0,0,,0,1
rage,N/A,ABC,12,74,0,0,0,0,,0,1
Easy,Netflix,,12,73,0,0,0,0,,0,1
Pose,N/A,FX,12,60,0,0,0,0,,0,1
Industry,HBO Max,,12,56,0,0,0,0,,0,1
Missing,N/A,BBC One,12,55,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,52,0,0,0,0,,0,1
Home,Apple TV+,,12,34,0,0,0,0,,0,1
The Sopranos,N/A,HBO,12,31,0,0,0,0,,0,1
Sign,N/A,TV Asahi,12,28,0,0,0,0,,0,1
Rain,MX Player,,11,131,0,0,0,0,,0,1
Fargo,N/A,FX,11,93,0,0,0,0,,0,1
Away,Netflix,,11,72,0,0,0,0,,0,1
Detective,N/A,Lifetime,11,58,0,0,0,0,,0,1
Twin Peaks,N/A,Showtime,11,54,0,0,0,0,,0,1
Twin,NRK TV,,11,54,0,0,0,0,,0,1
Psych,N/A,USA Network,11,46,0,0,0,0,,0,1
Sort Of,CBC Gem,,11,42,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,11,40,0,0,0,0,,0,1
Power,N/A,STARZ,11,39,0,0,0,0,,0,1
Lucifer,Netflix,,10,73,0,0,0,0,,0,1
River,N/A,BBC One,10,58,0,0,0,0,,0,1
The One,Netflix,,10,57,0,0,0,0,,0,1
Woman,N/A,NTV,10,51,0,0,0,0,,0,1
Psycho,N/A,ARTE,10,45,0,0,0,0,,0,1
The Wire,N/A,HBO,10,44,0,0,0,0,,0,1
Utopia,Prime Video,,10,38,0,0,0,0,,0,1
Major,N/A,NHK,10,33,0,0,0,0,,0,1
Chef,N/A,Fuji TV,9,102,0,0,0,0,,0,1
Catch,N/A,NPO 3,9,86,0,0,0,0,,0,1
