name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,102,483,0,0,0,0,,0,1
Severance,Apple TV+,,55,550,0,0,0,0,,0,1
Kings,N/A,NBC,34,167,0,0,0,0,,0,1
Vikings,N/A,BBC Two,31,171,0,0,0,0,,0,1
Black,N/A,OCN,28,116,0,0,0,0,,0,1
Dark,Netflix,,24,193,0,0,0,0,,0,1
Stone,N/A,ABC,24,178,0,0,0,0,,0,1
The Act,Hulu,,23,98,0,0,0,0,,0,1
The After,Prime Video,,22,110,0,0,0,0,,0,1
Lost,N/A,jTBC,22,104,0,0,0,0,,0,1
The Afterparty,Apple TV+,,21,107,0,0,0,0,,0,1
Blind,TVING,tvN,19,94,0,0,0,0,,0,1
Kingdom,N/A,Mnet,19,81,0,0,0,0,,0,1
Trying,Apple TV+,,19,65,0,0,0,0,,0,1
Tommy,N/A,CBS,17,70,0,0,0,0,,0,1
Monk,N/A,USA Network,17,69,0,0,0,0,,0,1
Raised by Wolves,HBO Max,,16,153,0,0,0,0,,0,1
Flag,N/A,Sky PerfecTV,15,109,0,0,0,0,,0,1
Our Flag Means Death,HBO Max,,15,109,0,0,0,0,,0,1
1883,Paramount+,,15,65,0,0,0,0,,0,1
The Plot,Disney+,,14,104,0,0,0,0,,0,1
Home,Apple TV+,,14,90,0,0,0,0,,0,1
Monkey,N/A,NTV,14,63,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,14,45,0,0,0,0,,0,1
Outland,N/A,ABC,14,42,0,0,0,0,,0,1
Delete,N/A,REELZ,14,41,0,0,0,0,,0,1
Euphoria,N/A,HOT3,13,76,0,0,0,0,,0,1
The Last Kingdom,Netflix,,13,65,0,0,0,0,,0,1
The Wire,N/A,HBO,13,62,0,0,0,0,,0,1
Anno,N/A,NRK1,13,61,0,0,0,0,,0,1
Review,N/A,Comedy Central,13,60,0,0,0,0,,0,1
Peaky Blinders,N/A,BBC One,13,56,0,0,0,0,,0,1
Pam & Tommy,Hulu,,13,55,0,0,0,0,,0,1
Outlander,N/A,STARZ,13,41,0,0,0,0,,0,1
Family,N/A,ITV1,13,38,0,0,0,0,,0,1
This Week,N/A,BBC One,12,118,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,99,0,0,0,0,,0,1
Winning Time: The Rise of the Lakers Dynasty,N/A,HBO,12,85,0,0,0,0,,0,1
Servant,Apple TV+,,12,75,0,0,0,0,,0,1
Honest,N/A,ITV1,12,56,0,0,0,0,,0,1
Fringe,N/A,FOX,12,55,0,0,0,0,,0,1
The Dropout,Hulu,,12,53,0,0,0,0,,0,1
Itch,N/A,ABC ME,12,53,0,0,0,0,,0,1
Release,Topic,,12,47,0,0,0,0,,0,1
Justice,N/A,ITV1,12,43,0,0,0,0,,0,1
Wanted,N/A,SBS,12,37,0,0,0,0,,0,1
Treme,N/A,HBO,11,114,0,0,0,0,,0,1
Psych,N/A,USA Network,11,56,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,11,55,0,0,0,0,,0,1
Strange,N/A,BBC One,11,51,0,0,0,0,,0,1
Sort Of,CBC Gem,,11,45,0,0,0,0,,0,1
Return,N/A,SBS,10,104,0,0,0,0,,0,1
The Expanse,Prime Video,,10,79,0,0,0,0,,0,1
Black Mirror,Netflix,,10,56,0,0,0,0,,0,1
12 Monkeys,N/A,Syfy,10,55,0,0,0,0,,0,1
Keys,Brat,,10,55,0,0,0,0,,0,1
Diabolical,N/A,Investigation Discovery,10,54,0,0,0,0,,0,1
Psycho,N/A,ARTE,10,51,0,0,0,0,,0,1
The Boys,Prime Video,,10,50,0,0,0,0,,0,1
VICE,N/A,Showtime,10,45,0,0,0,0,,0,1
Amazon,N/A,Syndication,10,45,0,0,0,0,,0,1
Murder,N/A,BBC Two,10,42,0,0,0,0,,0,1
Killing Eve,AMC+,,10,41,0,0,0,0,,0,1
The Leftovers,N/A,HBO,10,39,0,0,0,0,,0,1
Television,N/A,ITV1,9,119,0,0,0,0,,0,1
House,N/A,FOX,9,84,0,0,0,0,,0,1
Friends,N/A,ABC,9,78,0,0,0,0,,0,1
Happy,N/A,NBC,9,76,0,0,0,0,,0,1
