name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,65,406,0,0,0,0,,0,1
Wednesday,Netflix,,38,267,0,0,0,0,,0,1
Dark,Netflix,,37,264,0,0,0,0,,0,1
The White Lotus,N/A,HBO,36,326,0,0,0,0,,0,1
1899,Netflix,,34,286,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,32,336,0,0,0,0,,0,1
Slow Horses,Apple TV+,,28,189,0,0,0,0,,0,1
The Act,Hulu,,23,163,0,0,0,0,,0,1
The Peripheral,Prime Video,,19,191,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,18,143,0,0,0,0,,0,1
Black,N/A,OCN,18,68,0,0,0,0,,0,1
Severance,Apple TV+,,17,136,0,0,0,0,,0,1
Evil,Paramount+,,16,216,0,0,0,0,,0,1
Itch,N/A,ABC ME,16,143,0,0,0,0,,0,1
Trying,Apple TV+,,16,118,0,0,0,0,,0,1
Honest,N/A,ITV1,16,96,0,0,0,0,,0,1
House,N/A,FOX,15,131,0,0,0,0,,0,1
Anno,N/A,NRK1,14,58,0,0,0,0,,0,1
The Bear,Hulu,,13,122,0,0,0,0,,0,1
The Plot,Disney+,,13,56,0,0,0,0,,0,1
Case,N/A,Stöð 2,13,20,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,12,127,0,0,0,0,,0,1
Pose,N/A,FX,12,91,0,0,0,0,,0,1
The English,BBC iPlayer,,12,89,0,0,0,0,,0,1
The Leftovers,N/A,HBO,12,80,0,0,0,0,,0,1
Power,N/A,STARZ,12,60,0,0,0,0,,0,1
Move,Netflix,,12,44,0,0,0,0,,0,1
Sona,YouTube,,12,33,0,0,0,0,,0,1
Space,N/A,CBS,12,28,0,0,0,0,,0,1
Strange,N/A,BBC One,11,109,0,0,0,0,,0,1
Rogue,N/A,Audience Network,11,80,0,0,0,0,,0,1
Amazon,N/A,Syndication,11,66,0,0,0,0,,0,1
Shadow,Netflix,,11,54,0,0,0,0,,0,1
Family,N/A,ITV1,11,52,0,0,0,0,,0,1
Interview with the Vampire,AMC+,,10,119,0,0,0,0,,0,1
Sent,N/A,HBO Asia,10,86,0,0,0,0,,0,1
Catch,N/A,NPO 3,10,71,0,0,0,0,,0,1
VICE,N/A,Showtime,10,42,0,0,0,0,,0,1
Persona,Netflix,,10,22,0,0,0,0,,0,1
Atlanta,N/A,FX,9,127,0,0,0,0,,0,1
The Devil,N/A,KBS2,9,119,0,0,0,0,,0,1
Hero,N/A,MBC,9,66,0,0,0,0,,0,1
Away,Netflix,,9,50,0,0,0,0,,0,1
Willow,Disney+,,9,38,0,0,0,0,,0,1
Tulsa King,Paramount+,,8,92,0,0,0,0,,0,1
This Week,N/A,BBC One,8,76,0,0,0,0,,0,1
Fleishman is in Trouble,Hulu,,8,67,0,0,0,0,,0,1
Thriller,N/A,ITV1,8,60,0,0,0,0,,0,1
Stranger Things,Netflix,,8,59,0,0,0,0,,0,1
Stranger,N/A,tvN,8,59,0,0,0,0,,0,1
The Capture,BBC iPlayer,,8,57,0,0,0,0,,0,1
Murder,N/A,BBC Two,8,54,0,0,0,0,,0,1
Avenue 5,N/A,HBO,8,43,0,0,0,0,,0,1
Human,Disney+ Hotstar,,8,27,0,0,0,0,,0,1
Rain,MX Player,,8,16,0,0,0,0,,0,1
The Devil's Hour,Prime Video,,7,109,0,0,0,0,,0,1
College,N/A,Italia 1,7,104,0,0,0,0,,0,1
Barry,N/A,HBO,7,85,0,0,0,0,,0,1
The Rig,Prime Video,,7,79,0,0,0,0,,0,1
Today,N/A,NBC,7,64,0,0,0,0,,0,1
Lost,N/A,jTBC,7,50,0,0,0,0,,0,1
The Americans,N/A,NBC,7,44,0,0,0,0,,0,1
Suits,N/A,Fuji TV,7,43,0,0,0,0,,0,1
Echo 3,Apple TV+,,7,43,0,0,0,0,,0,1
Echo,Disney+,,7,43,0,0,0,0,,0,1
Television,N/A,ITV1,7,43,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,7,42,0,0,0,0,,0,1
Aspe,N/A,VTM,7,41,0,0,0,0,,0,1
Norm,N/A,ABC,7,39,0,0,0,0,,0,1
Ella,N/A,VTM,7,36,0,0,0,0,,0,1
Deadwood,N/A,HBO,7,35,0,0,0,0,,0,1
Westworld,N/A,HBO,7,34,0,0,0,0,,0,1
Fortuna,N/A,NRK1,7,30,0,0,0,0,,0,1
Alone,N/A,History,7,26,0,0,0,0,,0,1
The Great,Hulu,,7,26,0,0,0,0,,0,1
Stuck,N/A,TLC,7,23,0,0,0,0,,0,1
Review,N/A,Comedy Central,7,21,0,0,0,0,,0,1
The Shield,N/A,FX,7,19,0,0,0,0,,0,1
Veep,N/A,HBO,6,95,0,0,0,0,,0,1
Succession,N/A,HBO,6,94,0,0,0,0,,0,1
Loving,N/A,ABC,6,81,0,0,0,0,,0,1
Pachinko,Apple TV+,,6,70,0,0,0,0,,0,1
The Mandalorian,Disney+,,6,55,0,0,0,0,,0,1
ReBoot,N/A,YTV,6,53,0,0,0,0,,0,1
Reboot,Hulu,,6,53,0,0,0,0,,0,1
Heroes,N/A,CCTV-8,6,52,0,0,0,0,,0,1
Coast,N/A,BBC Two,6,51,0,0,0,0,,0,1
Missing,N/A,BBC One,6,50,0,0,0,0,,0,1
Universe,N/A,BBC Two,6,45,0,0,0,0,,0,1
The One,Netflix,,6,44,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,6,42,0,0,0,0,,0,1
Sisters,N/A,Network 10,6,41,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,6,41,0,0,0,0,,0,1
Anne,N/A,ITV1,6,37,0,0,0,0,,0,1
The Boys,Prime Video,,6,36,0,0,0,0,,0,1
Tokyo Vice,HBO Max,,6,35,0,0,0,0,,0,1
