name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,87,433,0,0,0,0,,0,1
Dark,Netflix,,40,237,0,0,0,0,,0,1
Itch,N/A,ABC ME,26,135,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,26,112,0,0,0,0,,0,1
Severance,Apple TV+,,24,201,0,0,0,0,,0,1
Stone,N/A,ABC,21,80,0,0,0,0,,0,1
Alice,N/A,SBS,20,254,0,0,0,0,,0,1
Riot,N/A,FOX,19,76,0,0,0,0,,0,1
Patriot,Prime Video,,19,76,0,0,0,0,,0,1
Alice in Borderland,Netflix,,18,232,0,0,0,0,,0,1
Black,N/A,OCN,16,80,0,0,0,0,,0,1
Honest,N/A,ITV1,16,70,0,0,0,0,,0,1
The White Lotus,N/A,HBO,15,104,0,0,0,0,,0,1
Trying,Apple TV+,,15,68,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,15,61,0,0,0,0,,0,1
The Bear,Hulu,,14,127,0,0,0,0,,0,1
The Recruit,Netflix,,14,99,0,0,0,0,,0,1
Pose,N/A,FX,14,42,0,0,0,0,,0,1
Slow Horses,Apple TV+,,13,121,0,0,0,0,,0,1
House,N/A,FOX,13,88,0,0,0,0,,0,1
Murder,N/A,BBC Two,13,67,0,0,0,0,,0,1
Norm,N/A,ABC,13,56,0,0,0,0,,0,1
Anno,N/A,NRK1,13,47,0,0,0,0,,0,1
The Act,Hulu,,12,65,0,0,0,0,,0,1
Family,N/A,ITV1,12,56,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,55,0,0,0,0,,0,1
Release,Topic,,12,49,0,0,0,0,,0,1
Case,N/A,Stöð 2,12,29,0,0,0,0,,0,1
Barry,N/A,HBO,11,80,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,11,57,0,0,0,0,,0,1
Succession,N/A,HBO,11,38,0,0,0,0,,0,1
Mr Inbetween,N/A,FX,11,36,0,0,0,0,,0,1
Sent,N/A,HBO Asia,11,29,0,0,0,0,,0,1
Detective,N/A,Lifetime,11,22,0,0,0,0,,0,1
The Game,Paramount+,,10,91,0,0,0,0,,0,1
His Dark Materials,BBC iPlayer,,10,90,0,0,0,0,,0,1
Strange,N/A,BBC One,10,88,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,10,68,0,0,0,0,,0,1
Sona,YouTube,,10,64,0,0,0,0,,0,1
VICE,N/A,Showtime,10,56,0,0,0,0,,0,1
Evil,Paramount+,,10,55,0,0,0,0,,0,1
The Rig,Prime Video,,10,54,0,0,0,0,,0,1
The Leftovers,N/A,HBO,10,43,0,0,0,0,,0,1
Atlanta,N/A,FX,10,40,0,0,0,0,,0,1
The English,BBC iPlayer,,10,40,0,0,0,0,,0,1
Treason,Netflix,,10,33,0,0,0,0,,0,1
Soap,N/A,ABC,10,32,0,0,0,0,,0,1
The Expanse,Prime Video,,9,153,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,9,98,0,0,0,0,,0,1
The Witcher: Blood Origin,Netflix,,9,98,0,0,0,0,,0,1
1899,Netflix,,9,71,0,0,0,0,,0,1
The Witcher,Netflix,,9,63,0,0,0,0,,0,1
Phenom,N/A,ABC,9,62,0,0,0,0,,0,1
Persona,Netflix,,9,58,0,0,0,0,,0,1
Happy,N/A,NBC,9,42,0,0,0,0,,0,1
Psych,N/A,USA Network,9,36,0,0,0,0,,0,1
Easy,Netflix,,8,67,0,0,0,0,,0,1
Loving,N/A,ABC,8,50,0,0,0,0,,0,1
Veep,N/A,HBO,8,47,0,0,0,0,,0,1
Lost,N/A,jTBC,8,41,0,0,0,0,,0,1
The Head,HBO Max,,8,41,0,0,0,0,,0,1
Chernobyl,N/A,HBO,8,33,0,0,0,0,,0,1
The One,Netflix,,8,31,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,8,29,0,0,0,0,,0,1
rage,N/A,ABC,8,28,0,0,0,0,,0,1
Fleabag,BBC Three,,8,25,0,0,0,0,,0,1
Fargo,N/A,FX,8,23,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,8,19,0,0,0,0,,0,1
Paris,N/A,Channel 4,8,13,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,8,11,0,0,0,0,,0,1
The Games,N/A,ABC,7,87,0,0,0,0,,0,1
The Wire,N/A,HBO,7,60,0,0,0,0,,0,1
Home,Apple TV+,,7,53,0,0,0,0,,0,1
Amazon,N/A,Syndication,7,43,0,0,0,0,,0,1
Community,Yahoo! View,,7,42,0,0,0,0,,0,1
Wednesday,Netflix,,7,42,0,0,0,0,,0,1
Away,Netflix,,7,41,0,0,0,0,,0,1
Power,N/A,STARZ,7,38,0,0,0,0,,0,1
Huge,N/A,FreeForm,7,34,0,0,0,0,,0,1
Tonight,N/A,ITV1,7,34,0,0,0,0,,0,1
Shadow,Netflix,,7,32,0,0,0,0,,0,1
Review,N/A,Comedy Central,7,31,0,0,0,0,,0,1
1923,Paramount+,,7,29,0,0,0,0,,0,1
Hero,N/A,MBC,7,21,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,7,20,0,0,0,0,,0,1
True Detective,N/A,HBO,7,10,0,0,0,0,,0,1
Rising,Hill.TV,,7,9,0,0,0,0,,0,1
Today,N/A,NBC,6,101,0,0,0,0,,0,1
Squid Game,Netflix,,6,74,0,0,0,0,,0,1
Lore,Prime Video,,6,51,0,0,0,0,,0,1
Gran,N/A,BBC One,6,49,0,0,0,0,,0,1
Pachinko,Apple TV+,,6,44,0,0,0,0,,0,1
Believe,N/A,NBC,6,41,0,0,0,0,,0,1
Let the Right One In,Showtime on Demand,Showtime,6,41,0,0,0,0,,0,1
Queen,MX Player,,6,41,0,0,0,0,,0,1
Star Trek,N/A,NBC,6,38,0,0,0,0,,0,1
Problems,N/A,ABC,6,33,0,0,0,0,,0,1
Television,N/A,ITV1,6,33,0,0,0,0,,0,1
This Week,N/A,BBC One,6,32,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,6,31,0,0,0,0,,0,1
Romance,N/A,France 2,6,31,0,0,0,0,,0,1
Released,N/A,Oprah Winfrey Network,6,26,0,0,0,0,,0,1
Kept,N/A,VH1,6,25,0,0,0,0,,0,1
Catch,N/A,NPO 3,6,23,0,0,0,0,,0,1
Trop,ICI Tou.tv,,6,21,0,0,0,0,,0,1
Sort Of,CBC Gem,,6,21,0,0,0,0,,0,1
Ares,Netflix,,6,19,0,0,0,0,,0,1
The Middle,N/A,ABC,6,17,0,0,0,0,,0,1
Played,N/A,CTV,6,16,0,0,0,0,,0,1
The Writer,N/A,MBC Drama,6,15,0,0,0,0,,0,1
Industry,HBO Max,,6,13,0,0,0,0,,0,1
Wanted,N/A,SBS,6,10,0,0,0,0,,0,1
Hannibal,N/A,NBC,6,7,0,0,0,0,,0,1
Stranger,N/A,tvN,5,57,0,0,0,0,,0,1
Chuck,N/A,NBC,5,50,0,0,0,0,,0,1
Sign,N/A,TV Asahi,5,48,0,0,0,0,,0,1
Friends,N/A,ABC,5,43,0,0,0,0,,0,1
Welcome,N/A,KBS2,5,36,0,0,0,0,,0,1
The Mandalorian,Disney+,,5,33,0,0,0,0,,0,1
Universe,N/A,BBC Two,5,31,0,0,0,0,,0,1
Medic,N/A,NBC,5,30,0,0,0,0,,0,1
Cross,Prime Video,,5,30,0,0,0,0,,0,1
Radar,N/A,NPO 1,5,29,0,0,0,0,,0,1
Twin,NRK TV,,5,28,0,0,0,0,,0,1
Kings,N/A,NBC,5,27,0,0,0,0,,0,1
Player,N/A,OCN,5,26,0,0,0,0,,0,1
Elementary,N/A,CBS,5,22,0,0,0,0,,0,1
