name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,85,538,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,49,356,0,0,0,0,,0,1
Star Wars: Andor,Disney+,,49,317,0,0,0,0,,0,1
House,N/A,FOX,38,282,0,0,0,0,,0,1
Power,N/A,STARZ,37,293,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,33,259,0,0,0,0,,0,1
Black,N/A,OCN,31,139,0,0,0,0,,0,1
Dark,Netflix,,24,143,0,0,0,0,,0,1
Atlanta,N/A,FX,22,155,0,0,0,0,,0,1
The Act,Hulu,,21,199,0,0,0,0,,0,1
Monster: The Jeffrey Dahmer Story,Netflix,,21,172,0,0,0,0,,0,1
Pantheon,AMC+,,20,145,0,0,0,0,,0,1
Sisters,N/A,Network 10,19,196,0,0,0,0,,0,1
ReBoot,N/A,YTV,19,159,0,0,0,0,,0,1
Reboot,Hulu,,19,159,0,0,0,0,,0,1
Punk,N/A,EPIX,18,129,0,0,0,0,,0,1
Cyberpunk: Edgerunners,Netflix,,18,129,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,17,183,0,0,0,0,,0,1
Catch,N/A,NPO 3,17,108,0,0,0,0,,0,1
The Patient,Hulu,,17,77,0,0,0,0,,0,1
Honest,N/A,ITV1,16,136,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,16,88,0,0,0,0,,0,1
Loving,N/A,ABC,15,167,0,0,0,0,,0,1
Dogs,Netflix,,15,138,0,0,0,0,,0,1
Cane,N/A,CBS,15,70,0,0,0,0,,0,1
Arcane,Netflix,,15,70,0,0,0,0,,0,1
The Americans,N/A,NBC,15,62,0,0,0,0,,0,1
Queen,MX Player,,15,53,0,0,0,0,,0,1
Sona,YouTube,,15,43,0,0,0,0,,0,1
Reservation Dogs,Hulu,,14,137,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,14,62,0,0,0,0,,0,1
Family,N/A,ITV1,14,55,0,0,0,0,,0,1
VICE,N/A,Showtime,14,51,0,0,0,0,,0,1
Delete,N/A,REELZ,14,26,0,0,0,0,,0,1
The Leftovers,N/A,HBO,13,100,0,0,0,0,,0,1
Home,Apple TV+,,13,98,0,0,0,0,,0,1
Alien,N/A,FX,13,87,0,0,0,0,,0,1
Murder,N/A,BBC Two,13,77,0,0,0,0,,0,1
Hunter,N/A,CBS,13,69,0,0,0,0,,0,1
Move,Netflix,,13,53,0,0,0,0,,0,1
Persona,Netflix,,13,30,0,0,0,0,,0,1
The Plot,Disney+,,12,86,0,0,0,0,,0,1
The Game,Paramount+,,12,78,0,0,0,0,,0,1
Trying,Apple TV+,,12,76,0,0,0,0,,0,1
Peacock,BBC iPlayer,,12,55,0,0,0,0,,0,1
Happy,N/A,NBC,12,43,0,0,0,0,,0,1
Rick and Morty,N/A,Adult Swim,12,40,0,0,0,0,,0,1
The Wire,N/A,HBO,12,39,0,0,0,0,,0,1
rage,N/A,ABC,12,30,0,0,0,0,,0,1
Cobra,N/A,Syndication,11,90,0,0,0,0,,0,1
Cobra Kai,Netflix,,11,90,0,0,0,0,,0,1
COBRA,Sky Go,,11,90,0,0,0,0,,0,1
Resident Alien,N/A,Syfy,11,87,0,0,0,0,,0,1
This Week,N/A,BBC One,11,81,0,0,0,0,,0,1
Elementary,N/A,CBS,11,70,0,0,0,0,,0,1
Bosch,Prime Video,,11,44,0,0,0,0,,0,1
Amazon,N/A,Syndication,11,21,0,0,0,0,,0,1
