name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,116,648,0,0,0,0,,0,1
House,N/A,FOX,56,465,0,0,0,0,,0,1
House of the Dragon,N/A,HBO,48,452,0,0,0,0,,0,1
Black,N/A,OCN,36,265,0,0,0,0,,0,1
Delete,N/A,REELZ,33,70,0,0,0,0,,0,1
Murder,N/A,BBC Two,30,238,0,0,0,0,,0,1
The Sandman,Netflix,,27,313,0,0,0,0,,0,1
Severance,Apple TV+,,26,308,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,24,382,0,0,0,0,,0,1
The Rehearsal,N/A,HBO,24,200,0,0,0,0,,0,1
The Building,N/A,CBS,20,210,0,0,0,0,,0,1
Only Murders in the Building,Hulu,,19,205,0,0,0,0,,0,1
Television,N/A,ITV1,19,159,0,0,0,0,,0,1
The Wire,N/A,HBO,19,48,0,0,0,0,,0,1
Trying,Apple TV+,,18,91,0,0,0,0,,0,1
Sona,YouTube,,18,81,0,0,0,0,,0,1
She-Hulk: Attorney at Law,Disney+,,17,157,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,17,127,0,0,0,0,,0,1
Dark,Netflix,,17,97,0,0,0,0,,0,1
The Americans,N/A,NBC,16,123,0,0,0,0,,0,1
Persona,Netflix,,16,70,0,0,0,0,,0,1
Evil,Paramount+,,16,60,0,0,0,0,,0,1
Anne,N/A,ITV1,16,41,0,0,0,0,,0,1
Lost,N/A,jTBC,15,88,0,0,0,0,,0,1
Chernobyl,N/A,HBO,15,83,0,0,0,0,,0,1
Black Bird,Apple TV+,,14,154,0,0,0,0,,0,1
This Week,N/A,BBC One,14,104,0,0,0,0,,0,1
Strange,N/A,BBC One,14,102,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,14,76,0,0,0,0,,0,1
Westworld,N/A,HBO,13,103,0,0,0,0,,0,1
Shadows,N/A,ITV1,13,89,0,0,0,0,,0,1
What We Do in the Shadows,N/A,FX,13,89,0,0,0,0,,0,1
Shadow,Netflix,,13,89,0,0,0,0,,0,1
Away,Netflix,,13,74,0,0,0,0,,0,1
Anno,N/A,NRK1,13,65,0,0,0,0,,0,1
Amazon,N/A,Syndication,13,56,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,13,29,0,0,0,0,,0,1
Honest,N/A,ITV1,12,94,0,0,0,0,,0,1
Huge,N/A,FreeForm,12,78,0,0,0,0,,0,1
Sisters,N/A,Network 10,12,77,0,0,0,0,,0,1
Paper Girls,Prime Video,,12,77,0,0,0,0,,0,1
Bad Sisters,Apple TV+,,12,77,0,0,0,0,,0,1
Release,Topic,,12,71,0,0,0,0,,0,1
This Fool,Hulu,,12,71,0,0,0,0,,0,1
Move,Netflix,,12,49,0,0,0,0,,0,1
Sent,N/A,HBO Asia,12,39,0,0,0,0,,0,1
Rain,MX Player,,12,22,0,0,0,0,,0,1
The Resort,Peacock,,11,159,0,0,0,0,,0,1
Review,N/A,Comedy Central,11,64,0,0,0,0,,0,1
Power,N/A,STARZ,11,58,0,0,0,0,,0,1
Hack,N/A,CBS,11,44,0,0,0,0,,0,1
Wanted,N/A,SBS,11,19,0,0,0,0,,0,1
House of Drag,TVNZ+,,10,144,0,0,0,0,,0,1
Rising,Hill.TV,,10,68,0,0,0,0,,0,1
Stranger,N/A,tvN,10,66,0,0,0,0,,0,1
For All Mankind,Apple TV+,,10,58,0,0,0,0,,0,1
Case,N/A,Stöð 2,10,34,0,0,0,0,,0,1
Barry,N/A,HBO,10,33,0,0,0,0,,0,1
Home,Apple TV+,,10,17,0,0,0,0,,0,1
Five,N/A,Fuji TV,9,120,0,0,0,0,,0,1
Dogs,Netflix,,9,92,0,0,0,0,,0,1
The Bear,Hulu,,9,65,0,0,0,0,,0,1
Stuck,N/A,TLC,9,64,0,0,0,0,,0,1
Game of Thrones,N/A,HBO,9,49,0,0,0,0,,0,1
Human,Disney+ Hotstar,,9,40,0,0,0,0,,0,1
Castle,N/A,ABC,9,31,0,0,0,0,,0,1
Believe,N/A,NBC,9,31,0,0,0,0,,0,1
Family,N/A,ITV1,9,31,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,9,30,0,0,0,0,,0,1
Missing,N/A,BBC One,9,27,0,0,0,0,,0,1
Connect,Disney+,,9,22,0,0,0,0,,0,1
Hunter,N/A,CBS,9,21,0,0,0,0,,0,1
Slow Burn,N/A,EPIX,9,17,0,0,0,0,,0,1
Brain,N/A,KBS2,9,6,0,0,0,0,,0,1
Doubt,N/A,CBS,8,99,0,0,0,0,,0,1
Alone,N/A,History,8,93,0,0,0,0,,0,1
Today,N/A,NBC,8,78,0,0,0,0,,0,1
Epic,N/A,Destination America,8,78,0,0,0,0,,0,1
Easy,Netflix,,8,68,0,0,0,0,,0,1
Stranger Things,Netflix,,8,58,0,0,0,0,,0,1
