name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,104,599,0,0,0,0,,0,1
Outer Range,Prime Video,,42,346,0,0,0,0,,0,1
Barry,N/A,HBO,41,329,0,0,0,0,,0,1
Strange,N/A,BBC One,36,172,0,0,0,0,,0,1
Anne,N/A,ITV1,34,213,0,0,0,0,,0,1
Lost,N/A,jTBC,34,142,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,33,214,0,0,0,0,,0,1
Severance,Apple TV+,,30,190,0,0,0,0,,0,1
VICE,N/A,Showtime,28,187,0,0,0,0,,0,1
Star Trek,N/A,NBC,28,145,0,0,0,0,,0,1
Ozark,Netflix,,27,304,0,0,0,0,,0,1
Case,N/A,Stöð 2,27,194,0,0,0,0,,0,1
Moon Knight,Disney+,,27,166,0,0,0,0,,0,1
Atlanta,N/A,FX,25,157,0,0,0,0,,0,1
Dark,Netflix,,25,137,0,0,0,0,,0,1
Honest,N/A,ITV1,24,113,0,0,0,0,,0,1
Black,N/A,OCN,23,100,0,0,0,0,,0,1
The Staircase,HBO Max,,21,154,0,0,0,0,,0,1
New World,Netflix,,21,113,0,0,0,0,,0,1
The Act,Hulu,,20,182,0,0,0,0,,0,1
Under the Banner of Heaven,Hulu,,19,138,0,0,0,0,,0,1
Happy,N/A,NBC,19,114,0,0,0,0,,0,1
New Worlds,N/A,Channel 4,19,105,0,0,0,0,,0,1
Halo,Paramount+,,18,98,0,0,0,0,,0,1
Trying,Apple TV+,,18,98,0,0,0,0,,0,1
Anno,N/A,NRK1,17,100,0,0,0,0,,0,1
Sona,YouTube,,17,80,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,16,50,0,0,0,0,,0,1
Slow Horses,Apple TV+,,15,178,0,0,0,0,,0,1
We Own This City,N/A,HBO,15,155,0,0,0,0,,0,1
Amazon,N/A,Syndication,15,71,0,0,0,0,,0,1
Tokyo Vice,HBO Max,,14,149,0,0,0,0,,0,1
Television,N/A,ITV1,14,142,0,0,0,0,,0,1
Winning Time: The Rise of the Lakers Dynasty,N/A,HBO,14,104,0,0,0,0,,0,1
Sent,N/A,HBO Asia,14,49,0,0,0,0,,0,1
The Sopranos,N/A,HBO,14,23,0,0,0,0,,0,1
Shining Girls,Apple TV+,,13,114,0,0,0,0,,0,1
Flag,N/A,Sky PerfecTV,13,83,0,0,0,0,,0,1
Our Flag Means Death,HBO Max,,13,83,0,0,0,0,,0,1
Baby,Netflix,,13,63,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,13,59,0,0,0,0,,0,1
Delete,N/A,REELZ,13,51,0,0,0,0,,0,1
The Boys,Prime Video,,13,48,0,0,0,0,,0,1
Julia,N/A,LBCI,12,104,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,98,0,0,0,0,,0,1
The Wire,N/A,HBO,12,91,0,0,0,0,,0,1
Review,N/A,Comedy Central,12,77,0,0,0,0,,0,1
The Americans,N/A,NBC,12,60,0,0,0,0,,0,1
Family,N/A,ITV1,12,51,0,0,0,0,,0,1
Persona,Netflix,,12,43,0,0,0,0,,0,1
Twin Peaks,N/A,Showtime,12,23,0,0,0,0,,0,1
Twin,NRK TV,,12,23,0,0,0,0,,0,1
The Wilds,Prime Video,,11,81,0,0,0,0,,0,1
Murder,N/A,BBC Two,11,81,0,0,0,0,,0,1
Star Trek: Picard,Paramount+,,11,75,0,0,0,0,,0,1
Huge,N/A,FreeForm,11,66,0,0,0,0,,0,1
The Plot,Disney+,,11,65,0,0,0,0,,0,1
Popular,N/A,The WB,11,52,0,0,0,0,,0,1
House,N/A,FOX,11,45,0,0,0,0,,0,1
Psych,N/A,USA Network,11,36,0,0,0,0,,0,1
Dexter,N/A,Showtime,11,16,0,0,0,0,,0,1
Easy,Netflix,,10,92,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,10,68,0,0,0,0,,0,1
Undone,Prime Video,,10,45,0,0,0,0,,0,1
Stranger,N/A,tvN,10,44,0,0,0,0,,0,1
Sort Of,CBC Gem,,10,42,0,0,0,0,,0,1
Phenom,N/A,ABC,10,36,0,0,0,0,,0,1
The Leftovers,N/A,HBO,10,23,0,0,0,0,,0,1
Mr. Robot,N/A,USA Network,9,164,0,0,0,0,,0,1
Clark,Netflix,,9,79,0,0,0,0,,0,1
David,N/A,TNT,9,60,0,0,0,0,,0,1
Loving,N/A,ABC,9,56,0,0,0,0,,0,1
The Baby,N/A,HBO,9,50,0,0,0,0,,0,1
Away,Netflix,,9,43,0,0,0,0,,0,1
