name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,98,548,0,0,0,0,,0,1
Reacher,Prime Video,,43,319,0,0,0,0,,0,1
Stone,N/A,ABC,36,251,0,0,0,0,,0,1
Dark,Netflix,,23,135,0,0,0,0,,0,1
1883,Paramount+,,23,111,0,0,0,0,,0,1
Anna,N/A,Sky Atlantic,22,116,0,0,0,0,,0,1
Black,N/A,OCN,22,97,0,0,0,0,,0,1
Peacemaker,HBO Max,,21,197,0,0,0,0,,0,1
Detective,N/A,Lifetime,21,82,0,0,0,0,,0,1
Murder,N/A,BBC Two,19,111,0,0,0,0,,0,1
Thriller,N/A,ITV1,19,100,0,0,0,0,,0,1
Raised by Wolves,HBO Max,,19,93,0,0,0,0,,0,1
Television,N/A,ITV1,18,196,0,0,0,0,,0,1
Loving,N/A,ABC,17,171,0,0,0,0,,0,1
Tommy,N/A,CBS,17,166,0,0,0,0,,0,1
Amazon,N/A,Syndication,17,96,0,0,0,0,,0,1
Euphoria,N/A,HOT3,16,129,0,0,0,0,,0,1
Trying,Apple TV+,,16,64,0,0,0,0,,0,1
Delete,N/A,REELZ,16,31,0,0,0,0,,0,1
Inventing Anna,Netflix,,15,95,0,0,0,0,,0,1
Itch,N/A,ABC ME,15,72,0,0,0,0,,0,1
Review,N/A,Comedy Central,15,59,0,0,0,0,,0,1
Shadow,Netflix,,14,71,0,0,0,0,,0,1
Move,Netflix,,14,42,0,0,0,0,,0,1
Superstore,N/A,NBC,14,33,0,0,0,0,,0,1
Pam & Tommy,Hulu,,13,140,0,0,0,0,,0,1
Honest,N/A,ITV1,13,75,0,0,0,0,,0,1
Release,Topic,,13,70,0,0,0,0,,0,1
Rising,Hill.TV,,13,68,0,0,0,0,,0,1
The After,Prime Video,,12,93,0,0,0,0,,0,1
Ozark,Netflix,,12,88,0,0,0,0,,0,1
The Act,Hulu,,12,85,0,0,0,0,,0,1
VICE,N/A,Showtime,12,51,0,0,0,0,,0,1
The Americans,N/A,NBC,12,46,0,0,0,0,,0,1
Rain,MX Player,,12,44,0,0,0,0,,0,1
Barry,N/A,HBO,12,37,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,11,181,0,0,0,0,,0,1
Succession,N/A,HBO,11,158,0,0,0,0,,0,1
Caught,N/A,CBC,11,138,0,0,0,0,,0,1
House,N/A,FOX,11,69,0,0,0,0,,0,1
Snowfall,N/A,FX,11,59,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,11,47,0,0,0,0,,0,1
Kings,N/A,NBC,11,45,0,0,0,0,,0,1
Class,BBC Three,,11,43,0,0,0,0,,0,1
Elementary,N/A,CBS,10,118,0,0,0,0,,0,1
The Middle,N/A,ABC,10,85,0,0,0,0,,0,1
Norm,N/A,ABC,10,73,0,0,0,0,,0,1
Wanted,N/A,SBS,10,53,0,0,0,0,,0,1
Sunny,Apple TV+,,10,40,0,0,0,0,,0,1
Sona,YouTube,,10,29,0,0,0,0,,0,1
Dangerous,MX Player,,10,18,0,0,0,0,,0,1
Station Eleven,HBO Max,,9,171,0,0,0,0,,0,1
Abbott Elementary,N/A,ABC,9,115,0,0,0,0,,0,1
Archive 81,Netflix,,9,89,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,9,88,0,0,0,0,,0,1
The Afterparty,Apple TV+,,9,74,0,0,0,0,,0,1
Easy,Netflix,,9,72,0,0,0,0,,0,1
The Gilded Age,N/A,HBO,9,71,0,0,0,0,,0,1
Family,N/A,ITV1,9,63,0,0,0,0,,0,1
This Week,N/A,BBC One,9,59,0,0,0,0,,0,1
Lost,N/A,jTBC,9,56,0,0,0,0,,0,1
Chance,Hulu,,9,39,0,0,0,0,,0,1
Train,N/A,OCN,9,36,0,0,0,0,,0,1
Foundation,Apple TV+,,9,32,0,0,0,0,,0,1
Persona,Netflix,,9,28,0,0,0,0,,0,1
Strike,BBC iPlayer,,9,26,0,0,0,0,,0,1
Perry Mason,N/A,HBO,9,21,0,0,0,0,,0,1
Most Dangerous Game,The Roku Channel,,9,17,0,0,0,0,,0,1
Halfway,N/A,BBC Two Wales,8,72,0,0,0,0,,0,1
The Good Place,N/A,NBC,8,60,0,0,0,0,,0,1
Cross,Prime Video,,8,48,0,0,0,0,,0,1
Gran,N/A,BBC One,8,42,0,0,0,0,,0,1
30 Rock,N/A,NBC,8,34,0,0,0,0,,0,1
The Rig,Prime Video,,8,34,0,0,0,0,,0,1
Anno,N/A,NRK1,8,33,0,0,0,0,,0,1
Hannibal,N/A,NBC,8,32,0,0,0,0,,0,1
Sort Of,CBC Gem,,8,32,0,0,0,0,,0,1
The Plot,Disney+,,8,31,0,0,0,0,,0,1
Away,Netflix,,8,29,0,0,0,0,,0,1
Penny Dreadful,N/A,Showtime,8,25,0,0,0,0,,0,1
Friends,N/A,ABC,8,25,0,0,0,0,,0,1
Hunter,N/A,CBS,8,22,0,0,0,0,,0,1
Toon,KPN Presenteert,,8,22,0,0,0,0,,0,1
The Fugitive,Quibi,,8,16,0,0,0,0,,0,1
Santo,Netflix,,8,14,0,0,0,0,,0,1
Casual,Hulu,,8,11,0,0,0,0,,0,1
Today,N/A,NBC,7,61,0,0,0,0,,0,1
Faith,N/A,ITV1,7,46,0,0,0,0,,0,1
Noir,N/A,TV Tokyo,7,43,0,0,0,0,,0,1
David,N/A,TNT,7,42,0,0,0,0,,0,1
Justified,N/A,FX,7,37,0,0,0,0,,0,1
Vice Principals,N/A,HBO,7,34,0,0,0,0,,0,1
Alien,N/A,FX,7,32,0,0,0,0,,0,1
Servant,Apple TV+,,7,29,0,0,0,0,,0,1
Cheer,Netflix,,7,27,0,0,0,0,,0,1
Bang,N/A,S4C,7,24,0,0,0,0,,0,1
Peacock,BBC iPlayer,,7,22,0,0,0,0,,0,1
Banshee,N/A,Cinemax,7,21,0,0,0,0,,0,1
Anne,N/A,ITV1,7,20,0,0,0,0,,0,1
Aspe,N/A,VTM,7,12,0,0,0,0,,0,1
Huge,N/A,FreeForm,7,7,0,0,0,0,,0,1
Midnight Mass,Netflix,,6,67,0,0,0,0,,0,1
Medic,N/A,NBC,6,57,0,0,0,0,,0,1
Murderville,Netflix,,6,56,0,0,0,0,,0,1
Woman,N/A,NTV,6,55,0,0,0,0,,0,1
Mr Inbetween,N/A,FX,6,47,0,0,0,0,,0,1
The Wire,N/A,HBO,6,45,0,0,0,0,,0,1
The Scene,YouTube,,6,42,0,0,0,0,,0,1
Case,N/A,Stöð 2,6,36,0,0,0,0,,0,1
Sent,N/A,HBO Asia,6,36,0,0,0,0,,0,1
Billions,N/A,Showtime,6,30,0,0,0,0,,0,1
100%,N/A,Channel 5,6,28,0,0,0,0,,0,1
The Leftovers,N/A,HBO,6,25,0,0,0,0,,0,1
Resident Alien,N/A,Syfy,6,25,0,0,0,0,,0,1
Community,Yahoo! View,,6,23,0,0,0,0,,0,1
Bad Guys,N/A,OCN,6,22,0,0,0,0,,0,1
Bad Guy,N/A,SBS,6,22,0,0,0,0,,0,1
Vikings,N/A,BBC Two,6,21,0,0,0,0,,0,1
Dude,Prime Video,,6,20,0,0,0,0,,0,1
Space,N/A,CBS,6,18,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,6,17,0,0,0,0,,0,1
Thea,N/A,ABC,6,13,0,0,0,0,,0,1
Scorpion,N/A,CBS,6,11,0,0,0,0,,0,1
Trop,ICI Tou.tv,,6,8,0,0,0,0,,0,1
Potter,N/A,BBC One,6,8,0,0,0,0,,0,1
Hero,N/A,MBC,6,7,0,0,0,0,,0,1
Stupid,N/A,BBC One,6,-15,0,0,0,0,,0,1
Better Call Saul,N/A,AMC,5,68,0,0,0,0,,0,1
Somebody,N/A,Mnet,5,56,0,0,0,0,,0,1
Suspense,N/A,BBC One,5,35,0,0,0,0,,0,1
River,N/A,BBC One,5,32,0,0,0,0,,0,1
Blind,TVING,tvN,5,32,0,0,0,0,,0,1
Sign,N/A,TV Asahi,5,31,0,0,0,0,,0,1
The Righteous Gemstones,N/A,HBO,5,29,0,0,0,0,,0,1
Preach,N/A,Lifetime,5,28,0,0,0,0,,0,1
Bert,N/A,SVT1,5,28,0,0,0,0,,0,1
Home,Apple TV+,,5,27,0,0,0,0,,0,1
Stephen,N/A,ITV1,5,27,0,0,0,0,,0,1
Grand,N/A,NBC,5,25,0,0,0,0,,0,1
Dexter,N/A,Showtime,5,24,0,0,0,0,,0,1
Believe,N/A,NBC,5,24,0,0,0,0,,0,1
Treme,N/A,HBO,5,24,0,0,0,0,,0,1
Ella,N/A,VTM,5,24,0,0,0,0,,0,1
Fringe,N/A,FOX,5,22,0,0,0,0,,0,1
Taken,N/A,NBC,5,22,0,0,0,0,,0,1
Working,N/A,NBC,5,22,0,0,0,0,,0,1
This is Going to Hurt,BBC iPlayer,,5,22,0,0,0,0,,0,1
The Nevers,HBO Max,HBO,5,22,0,0,0,0,,0,1
Mother,N/A,tvN,5,20,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,5,19,0,0,0,0,,0,1
The Mandalorian,Disney+,,5,18,0,0,0,0,,0,1
Happy,N/A,NBC,5,17,0,0,0,0,,0,1
Fortuna,N/A,NRK1,5,15,0,0,0,0,,0,1
Warrior,HBO Max,,5,13,0,0,0,0,,0,1
The Big Bang Theory,N/A,CBS,5,11,0,0,0,0,,0,1
Pose,N/A,FX,5,11,0,0,0,0,,0,1
The Writer,N/A,MBC Drama,5,11,0,0,0,0,,0,1
Human,Disney+ Hotstar,,5,11,0,0,0,0,,0,1
With You,iQIYI,,5,8,0,0,0,0,,0,1
The Girl Before,BBC iPlayer,,5,8,0,0,0,0,,0,1
Angel,N/A,CBS,5,7,0,0,0,0,,0,1
Skin,N/A,FOX,5,-2,0,0,0,0,,0,1
Missing,N/A,BBC One,4,47,0,0,0,0,,0,1
Rush,N/A,Network 10,4,47,0,0,0,0,,0,1
Cult,N/A,The CW,4,42,0,0,0,0,,0,1
Soundtrack,Netflix,,4,42,0,0,0,0,,0,1
Lore,Prime Video,,4,38,0,0,0,0,,0,1
Single Drunk Female,N/A,FreeForm,4,38,0,0,0,0,,0,1
Julia,N/A,LBCI,4,36,0,0,0,0,,0,1
Catch,N/A,NPO 3,4,35,0,0,0,0,,0,1
For All Mankind,Apple TV+,,4,30,0,0,0,0,,0,1
Random,YouTube,,4,28,0,0,0,0,,0,1
Doubt,N/A,CBS,4,26,0,0,0,0,,0,1
Fleabag,BBC Three,,4,25,0,0,0,0,,0,1
Ghost,N/A,SBS,4,24,0,0,0,0,,0,1
Ghosts,N/A,CBS,4,24,0,0,0,0,,0,1
Black Sails,N/A,STARZ,4,23,0,0,0,0,,0,1
Twin,NRK TV,,4,23,0,0,0,0,,0,1
Ramo,N/A,Show TV,4,23,0,0,0,0,,0,1
Mayo,N/A,BBC One,4,21,0,0,0,0,,0,1
Moon Knight,Disney+,,4,21,0,0,0,0,,0,1
Mayor of Kingstown,Paramount+,,4,21,0,0,0,0,,0,1
South Park,N/A,Comedy Central,4,20,0,0,0,0,,0,1
All of Us,N/A,The CW,4,20,0,0,0,0,,0,1
Radar,N/A,NPO 1,4,20,0,0,0,0,,0,1
Hawkeye,Disney+,,4,20,0,0,0,0,,0,1
Evil,Paramount+,,4,20,0,0,0,0,,0,1
All of Us Are Dead,Netflix,,4,20,0,0,0,0,,0,1
Chuck,N/A,NBC,4,19,0,0,0,0,,0,1
The Shadow Line,N/A,BBC Two,4,18,0,0,0,0,,0,1
Underground,N/A,WGN America,4,18,0,0,0,0,,0,1
Soap,N/A,ABC,4,16,0,0,0,0,,0,1
Friday Night Lights,N/A,NBC,4,15,0,0,0,0,,0,1
rage,N/A,ABC,4,15,0,0,0,0,,0,1
The Premise,Hulu,,4,15,0,0,0,0,,0,1
True Detective,N/A,HBO,4,14,0,0,0,0,,0,1
Fargo,N/A,FX,4,14,0,0,0,0,,0,1
Parenthood,N/A,NBC,4,14,0,0,0,0,,0,1
Schitt's Creek,N/A,CBC,4,14,0,0,0,0,,0,1
Burning Love,Yahoo! View,,4,14,0,0,0,0,,0,1
Pure,N/A,Channel 4,4,14,0,0,0,0,,0,1
Burning,N/A,Dragon TV,4,14,0,0,0,0,,0,1
Kingdom,N/A,Mnet,4,13,0,0,0,0,,0,1
MINDHUNTER,Netflix,,4,13,0,0,0,0,,0,1
Player,N/A,OCN,4,13,0,0,0,0,,0,1
Liar,N/A,ITV1,4,12,0,0,0,0,,0,1
Cold,go90,,4,12,0,0,0,0,,0,1
In From the Cold,Netflix,,4,12,0,0,0,0,,0,1
The Expanse,Prime Video,,4,11,0,0,0,0,,0,1
Mars,N/A,GTV,4,11,0,0,0,0,,0,1
MARS,N/A,National Geographic Channel,4,11,0,0,0,0,,0,1
The Class,N/A,CBS,4,10,0,0,0,0,,0,1
Reign,N/A,The CW,4,9,0,0,0,0,,0,1
Medium,N/A,CBS,4,9,0,0,0,0,,0,1
Search,N/A,OCN,4,9,0,0,0,0,,0,1
Shadow and Bone,Netflix,,4,9,0,0,0,0,,0,1
Scrubs,N/A,ABC,4,8,0,0,0,0,,0,1
Cheers,N/A,Telecinco,4,8,0,0,0,0,,0,1
The Shield,N/A,FX,4,8,0,0,0,0,,0,1
Voice,N/A,OCN,4,8,0,0,0,0,,0,1
American Auto,N/A,NBC,4,8,0,0,0,0,,0,1
Hanna,Prime Video,,4,7,0,0,0,0,,0,1
Kept,N/A,VH1,4,6,0,0,0,0,,0,1
Released,N/A,Oprah Winfrey Network,4,5,0,0,0,0,,0,1
All American,N/A,The CW,4,5,0,0,0,0,,0,1
Smith,N/A,CBS,4,2,0,0,0,0,,0,1
Bel-Air,Peacock,,4,-3,0,0,0,0,,0,1
Threads,go90,,4,-10,0,0,0,0,,0,1
GOLD,N/A,Fuji TV,3,51,0,0,0,0,,0,1
Somebody Somewhere,N/A,HBO,3,39,0,0,0,0,,0,1
Troy,N/A,E4,3,37,0,0,0,0,,0,1
Physical,Apple TV+,,3,37,0,0,0,0,,0,1
The Window,Streamz,,3,37,0,0,0,0,,0,1
Eyes,N/A,ABC,3,32,0,0,0,0,,0,1
Money,N/A,BBC Two,3,31,0,0,0,0,,0,1
Holy Shit,Prime Video,,3,31,0,0,0,0,,0,1
Legend,N/A,UPN,3,30,0,0,0,0,,0,1
Growing Up,Disney+,,3,30,0,0,0,0,,0,1
Attack on Titan,N/A,NHK,3,29,0,0,0,0,,0,1
The Book of Boba Fett,Disney+,,3,29,0,0,0,0,,0,1
Gomorra,N/A,Sky Atlantic,3,26,0,0,0,0,,0,1
The 100,N/A,The CW,3,25,0,0,0,0,,0,1
The Game,Paramount+,,3,25,0,0,0,0,,0,1
Snowpiercer,N/A,TNT,3,25,0,0,0,0,,0,1
Good Job,N/A,ENA,3,24,0,0,0,0,,0,1
Black Comedy,N/A,ABC,3,23,0,0,0,0,,0,1
Stella,N/A,Comedy Central,3,22,0,0,0,0,,0,1
Isabel,TV 2 Play,,3,22,0,0,0,0,,0,1
Kim's Convenience,N/A,CBC,3,22,0,0,0,0,,0,1
As We See It,Prime Video,,3,22,0,0,0,0,,0,1
Get Back,N/A,BBC One,3,21,0,0,0,0,,0,1
Ares,Netflix,,3,20,0,0,0,0,,0,1
Equal,HBO Max,,3,20,0,0,0,0,,0,1
The OA,Netflix,,3,19,0,0,0,0,,0,1
The After Party,N/A,Nickelodeon,3,19,0,0,0,0,,0,1
Marc,N/A,ITV1,3,19,0,0,0,0,,0,1
All In,N/A,SBS,3,18,0,0,0,0,,0,1
Slow Burn,N/A,EPIX,3,18,0,0,0,0,,0,1
Seinfeld,N/A,NBC,3,17,0,0,0,0,,0,1
New Blood,N/A,BBC One,3,17,0,0,0,0,,0,1
Tonight,N/A,ITV1,3,17,0,0,0,0,,0,1
Phenom,N/A,ABC,3,17,0,0,0,0,,0,1
Grant,N/A,History,3,17,0,0,0,0,,0,1
Icon,N/A,Hallmark Channel,3,17,0,0,0,0,,0,1
Broadchurch,N/A,ITV1,3,16,0,0,0,0,,0,1
The Office,Shahid,,3,16,0,0,0,0,,0,1
Hunters,Prime Video,,3,16,0,0,0,0,,0,1
Limit,N/A,TV Tokyo,3,16,0,0,0,0,,0,1
Beat,Prime Video,,3,16,0,0,0,0,,0,1
In the Beginning,N/A,CBS,3,15,0,0,0,0,,0,1
The Line,Apple TV+,,3,14,0,0,0,0,,0,1
The White Lotus,N/A,HBO,3,14,0,0,0,0,,0,1
Curb Your Enthusiasm,N/A,HBO,3,13,0,0,0,0,,0,1
Catastrophe,N/A,Super Écran,3,13,0,0,0,0,,0,1
The Bad Guy,Prime Video,,3,13,0,0,0,0,,0,1
The Sopranos,N/A,HBO,3,12,0,0,0,0,,0,1
Batman,N/A,ABC,3,12,0,0,0,0,,0,1
Drive,N/A,FOX,3,11,0,0,0,0,,0,1
Titans,HBO Max,,3,11,0,0,0,0,,0,1
Get Shorty,N/A,EPIX,3,11,0,0,0,0,,0,1
Over the Top,N/A,ABC,3,11,0,0,0,0,,0,1
Sunday,N/A,See,3,11,0,0,0,0,,0,1
Veep,N/A,HBO,3,10,0,0,0,0,,0,1
