name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,91,464,0,0,0,0,,0,1
Station Eleven,HBO Max,,48,353,0,0,0,0,,0,1
Cobra,N/A,Syndication,42,265,0,0,0,0,,0,1
COBRA,Sky Go,,42,265,0,0,0,0,,0,1
Cobra Kai,Netflix,,40,257,0,0,0,0,,0,1
Itch,N/A,ABC ME,38,226,0,0,0,0,,0,1
Succession,N/A,HBO,35,238,0,0,0,0,,0,1
Stone,N/A,ABC,32,152,0,0,0,0,,0,1
1883,Paramount+,,30,158,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,28,147,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,24,297,0,0,0,0,,0,1
Delete,N/A,REELZ,24,76,0,0,0,0,,0,1
Dexter,N/A,Showtime,21,178,0,0,0,0,,0,1
The Witcher,Netflix,,21,124,0,0,0,0,,0,1
The Expanse,Prime Video,,20,111,0,0,0,0,,0,1
Kings,N/A,NBC,18,111,0,0,0,0,,0,1
Evil,Paramount+,,18,93,0,0,0,0,,0,1
Amazon,N/A,Syndication,17,68,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,16,135,0,0,0,0,,0,1
Release,Topic,,16,56,0,0,0,0,,0,1
The Act,Hulu,,16,46,0,0,0,0,,0,1
Trying,Apple TV+,,15,72,0,0,0,0,,0,1
Dark,Netflix,,15,71,0,0,0,0,,0,1
Cane,N/A,CBS,14,87,0,0,0,0,,0,1
Arcane,Netflix,,14,87,0,0,0,0,,0,1
Television,N/A,ITV1,14,81,0,0,0,0,,0,1
Mayo,N/A,BBC One,13,99,0,0,0,0,,0,1
Black,N/A,OCN,13,54,0,0,0,0,,0,1
rage,N/A,ABC,13,49,0,0,0,0,,0,1
Sona,YouTube,,13,49,0,0,0,0,,0,1
Rain,MX Player,,13,39,0,0,0,0,,0,1
Sent,N/A,HBO Asia,12,141,0,0,0,0,,0,1
New Blood,N/A,BBC One,12,115,0,0,0,0,,0,1
Hawkeye,Disney+,,12,90,0,0,0,0,,0,1
Anno,N/A,NRK1,12,79,0,0,0,0,,0,1
Mayor of Kingstown,Paramount+,,11,84,0,0,0,0,,0,1
Rising,Hill.TV,,11,73,0,0,0,0,,0,1
Halfway,N/A,BBC Two Wales,11,61,0,0,0,0,,0,1
Reign,N/A,The CW,11,54,0,0,0,0,,0,1
Hero,N/A,MBC,11,53,0,0,0,0,,0,1
The Great,Hulu,,11,52,0,0,0,0,,0,1
House,N/A,FOX,11,45,0,0,0,0,,0,1
Believe,N/A,NBC,11,45,0,0,0,0,,0,1
Persona,Netflix,,11,42,0,0,0,0,,0,1
Catch,N/A,NPO 3,11,39,0,0,0,0,,0,1
Family,N/A,ITV1,11,33,0,0,0,0,,0,1
The Leftovers,N/A,HBO,11,30,0,0,0,0,,0,1
Loving,N/A,ABC,10,82,0,0,0,0,,0,1
Today,N/A,NBC,10,76,0,0,0,0,,0,1
Harry,N/A,ABC,10,70,0,0,0,0,,0,1
Return,N/A,SBS,10,59,0,0,0,0,,0,1
Dope,Netflix,,10,56,0,0,0,0,,0,1
Dopesick,Hulu,,10,56,0,0,0,0,,0,1
Breaking Bad,N/A,AMC,10,47,0,0,0,0,,0,1
Honest,N/A,ITV1,10,46,0,0,0,0,,0,1
Space,N/A,CBS,10,43,0,0,0,0,,0,1
Detective,N/A,Lifetime,10,39,0,0,0,0,,0,1
Norm,N/A,ABC,10,31,0,0,0,0,,0,1
Home,Apple TV+,,10,31,0,0,0,0,,0,1
Review,N/A,Comedy Central,10,30,0,0,0,0,,0,1
The Americans,N/A,NBC,9,91,0,0,0,0,,0,1
The Tourist,BBC iPlayer,,9,68,0,0,0,0,,0,1
Lore,Prime Video,,9,60,0,0,0,0,,0,1
Kept,N/A,VH1,9,59,0,0,0,0,,0,1
The Mandalorian,Disney+,,9,58,0,0,0,0,,0,1
Thriller,N/A,ITV1,9,53,0,0,0,0,,0,1
Anne,N/A,ITV1,9,51,0,0,0,0,,0,1
Sort Of,CBC Gem,,9,42,0,0,0,0,,0,1
The Lord of the Rings: The Rings of Power,Prime Video,,9,32,0,0,0,0,,0,1
Fargo,N/A,FX,9,31,0,0,0,0,,0,1
Brot,N/A,Ríkisútvarpið,9,31,0,0,0,0,,0,1
Released,N/A,Oprah Winfrey Network,9,30,0,0,0,0,,0,1
Lost,N/A,jTBC,9,28,0,0,0,0,,0,1
Away,Netflix,,9,19,0,0,0,0,,0,1
Queen,MX Player,,8,70,0,0,0,0,,0,1
Mare of Easttown,N/A,HBO,8,65,0,0,0,0,,0,1
The Book of Boba Fett,Disney+,,8,59,0,0,0,0,,0,1
Class,BBC Three,,8,50,0,0,0,0,,0,1
This Week,N/A,BBC One,8,49,0,0,0,0,,0,1
Player,N/A,OCN,8,42,0,0,0,0,,0,1
Dogs,Netflix,,8,41,0,0,0,0,,0,1
The Plot,Disney+,,8,40,0,0,0,0,,0,1
VICE,N/A,Showtime,8,37,0,0,0,0,,0,1
Wanted,N/A,SBS,8,35,0,0,0,0,,0,1
Huge,N/A,FreeForm,8,19,0,0,0,0,,0,1
Pose,N/A,FX,8,16,0,0,0,0,,0,1
Happy,N/A,NBC,7,85,0,0,0,0,,0,1
Rita,N/A,TV2,7,48,0,0,0,0,,0,1
Easy,Netflix,,7,46,0,0,0,0,,0,1
Out There,N/A,IFC,7,45,0,0,0,0,,0,1
Working,N/A,NBC,7,43,0,0,0,0,,0,1
