,mentions,score,streaming,network
Gone,3,34,N/A,Investigation Discovery
Sisters,5,33,N/A,Network 10
Ares,3,33,Netflix,
Punch,2,33,N/A,SBS
Search,5,32,N/A,OCN
Stuck,4,32,N/A,TLC
Bad Sisters,4,32,Apple TV+,
The Mandalorian,2,32,Disney+,
Cheers,1,32,N/A,Telecinco
The Night Manager,1,32,N/A,BBC One
Cheer,1,32,Netflix,
Threads,1,32,go90,
Buried,1,32,N/A,Showtime
School,8,31,N/A,BBC Two
Halfway,5,31,N/A,BBC Two Wales
Deadwood,4,31,N/A,HBO
Remote,4,31,N/A,NTV
Mike,4,31,Hulu,
rage,7,30,N/A,ABC
Stella,4,30,N/A,Comedy Central
Related,3,30,N/A,The WB
The Edge,3,30,N/A,FOX
ALEX,3,30,Viaplay,
Tokyo Vice,3,30,HBO Max,
Brain,3,29,N/A,KBS2
Pantheon,3,29,AMC+,
Sold,2,29,N/A,ITV
On the Edge,2,29,N/A,Channel 4
Sable,1,29,N/A,ABC
Artful,1,29,N/A,BYU Television
Blind,8,28,TVING,tvN
Suspect,4,28,N/A,Channel 4
Mary,3,28,N/A,CBS
Avatar: The Last Airbender,1,28,Netflix,
Luck,1,28,N/A,HBO
Troy,1,28,N/A,E4
MichaeLA,1,28,N/A,HLN
I May Destroy You,1,28,BBC iPlayer,
Killing It,1,28,Peacock,
Es-Es,1,28,N/A,ATV
Rogue,9,27,N/A,Audience Network
Devs,6,27,Hulu,
Manifest,4,27,Netflix,
100%,4,27,N/A,Channel 5
Barry,3,27,N/A,HBO
Kings,1,27,N/A,NBC
Flesh,1,27,Eros Now,
Multifaceted,1,27,N/A,OSN
Action Pack,1,27,Netflix,
Released,8,26,N/A,Oprah Winfrey Network
The One,8,26,Netflix,
Detective,6,26,N/A,Lifetime
Missing,5,26,N/A,BBC One
High Hopes,3,26,N/A,BBC One Wales
Toon,3,26,KPN Presenteert,
Dive,3,26,N/A,BBC Two
Bizarre,2,26,N/A,CTV
Explained,2,26,Netflix,
Take Me,2,26,N/A,ITV
Icon,2,26,N/A,Hallmark Channel
Bling,2,26,N/A,ITV
Succession,6,25,N/A,HBO
Tulsa King,6,25,Paramount+,
The Audience,5,25,N/A,Channel 4
Critical,2,25,N/A,Sky Showcase
The View,4,24,N/A,ABC
Star Trek,3,24,N/A,NBC
Camp,3,24,N/A,NBC
Paris,3,24,N/A,CBS
