name,streaming,network,mentions,score,consecutive,gain,total top,last date
Love,N/A,MBC,76,591,4,12,4,
Dark,Netflix,,42,356,4,5,4,
The White Lotus,N/A,HBO,41,510,4,5,4,
Wednesday,Netflix,,29,203,4,-9,4,
1899,Netflix,,26,196,4,-8,4,
Slow Horses,Apple TV+,,19,198,2,-9,2,
Power,N/A,STARZ,15,177,2,2,2,
The Lord of the Rings: The Rings of Power,Prime Video,,15,175,1,9,1,
Black,N/A,OCN,15,99,4,-3,4,
Trying,Apple TV+,,15,83,4,-1,4,
Lost,N/A,jTBC,15,51,1,7,1,03-12-2022
Murder,N/A,BBC Two,14,83,1,6,1,
Family,N/A,ITV1,13,61,4,2,4,
Honest,N/A,ITV1,12,158,4,-3,4,
Severance,Apple TV+,,12,139,4,-5,4,
Sona,YouTube,,12,96,3,1,3,
Pose,N/A,FX,12,90,3,0,3,
Happy,N/A,NBC,12,65,1,8,1,03-12-2022
Home,Apple TV+,,12,52,1,8,1,
The Leftovers,N/A,HBO,11,90,3,-1,3,
Caught,N/A,CBC,11,83,1,7,1,
The Rig,Prime Video,,11,76,1,4,1,03-12-2022
Willow,Disney+,,11,55,1,4,1,
College,N/A,Italia 1,10,139,1,3,1,03-12-2022
House,N/A,FOX,10,126,3,-5,3,
Anno,N/A,NRK1,10,97,2,-4,2,
The Act,Hulu,,10,73,4,-12,4,
Money,N/A,BBC Two,10,46,1,8,1,
Mike,Hulu,,9,129,0,0,0,
Persona,Netflix,,9,75,0,0,0,
Television,N/A,ITV1,9,73,0,0,0,
Anne,N/A,ITV1,9,72,0,0,0,
The Peripheral,Prime Video,,9,62,0,0,0,09-12-2022
Amazon,N/A,Syndication,9,59,0,0,0,09-12-2022
Believe,N/A,NBC,9,51,0,0,0,
Rain,MX Player,,9,37,0,0,0,
Sign,N/A,TV Asahi,9,32,0,0,0,
The Americans,N/A,NBC,8,81,0,0,0,
Let the Right One In,Showtime on Demand,Showtime,8,69,0,0,0,
Elementary,N/A,CBS,8,67,0,0,0,
Star Wars: Andor,Disney+,,8,52,0,0,0,09-12-2022
The English,BBC iPlayer,,8,49,0,0,0,09-12-2022
David,N/A,TNT,8,48,0,0,0,
The Wire,N/A,HBO,8,44,0,0,0,
Trop,ICI Tou.tv,,8,44,0,0,0,
VICE,N/A,Showtime,8,43,0,0,0,09-12-2022
Harry,N/A,ABC,8,42,0,0,0,
Rising,Hill.TV,,8,36,0,0,0,
Loving,N/A,ABC,8,35,0,0,0,
School,N/A,BBC Two,8,35,0,0,0,
Sent,N/A,HBO Asia,7,95,0,0,0,09-12-2022
Survivor,N/A,ΣΚΑΪ Τηλεόραση,7,89,0,0,0,
This Week,N/A,BBC One,7,80,0,0,0,
Easy,Netflix,,7,74,0,0,0,
His Dark Materials,BBC iPlayer,,7,68,0,0,0,
Five,N/A,Fuji TV,7,52,0,0,0,
Over the Top,N/A,ABC,7,46,0,0,0,
Faith,N/A,ITV1,7,45,0,0,0,
Huge,N/A,FreeForm,7,41,0,0,0,
Halfway,N/A,BBC Two Wales,7,38,0,0,0,
Itch,N/A,ABC ME,7,31,0,0,0,09-12-2022
Mythic Quest,Apple TV+,,7,30,0,0,0,
Move,Netflix,,7,25,0,0,0,09-12-2022
Anna,N/A,Sky Atlantic,7,23,0,0,0,
Go On,N/A,NBC,7,17,0,0,0,
House of the Dragon,N/A,HBO,6,95,0,0,0,09-12-2022
The Bear,Hulu,,6,74,0,0,0,09-12-2022
Sisters,N/A,Network 10,6,58,0,0,0,
Bad Sisters,Apple TV+,,6,58,0,0,0,
Ted Lasso,Apple TV+,,6,57,0,0,0,
Abbott Elementary,N/A,ABC,6,55,0,0,0,
Kingdom,N/A,Mnet,6,48,0,0,0,
Gossip Girl,HBO Max,,6,45,0,0,0,
Gossip,N/A,Showtime,6,45,0,0,0,
Extra,N/A,Syndication,6,42,0,0,0,
Gomorra,N/A,Sky Atlantic,6,39,0,0,0,
Thriller,N/A,ITV1,6,37,0,0,0,
rage,N/A,ABC,6,36,0,0,0,
All In,N/A,SBS,6,33,0,0,0,
Release,Topic,,6,31,0,0,0,
Stone,N/A,ABC,6,30,0,0,0,
Welcome,N/A,KBS2,6,30,0,0,0,
Related,N/A,The WB,6,29,0,0,0,
Epic,N/A,Destination America,6,29,0,0,0,
Midnight Mass,Netflix,,6,26,0,0,0,
Played,N/A,CTV,6,25,0,0,0,
Flag,N/A,Sky PerfecTV,6,20,0,0,0,
Cult,N/A,The CW,6,19,0,0,0,
Paris,N/A,Channel 4,6,19,0,0,0,
Away,Netflix,,6,11,0,0,0,
Catch,N/A,NPO 3,5,66,0,0,0,09-12-2022
GOLD,N/A,Fuji TV,5,65,0,0,0,
Wanted,N/A,SBS,5,48,0,0,0,
Interview with the Vampire,AMC+,,5,47,0,0,0,09-12-2022
Monk,N/A,USA Network,5,42,0,0,0,
12 Monkeys,N/A,Syfy,5,42,0,0,0,
Monkey,N/A,NTV,5,42,0,0,0,
Keys,Brat,,5,42,0,0,0,
The Stand,Paramount+,,5,40,0,0,0,
Gate,N/A,Tokyo MX,5,38,0,0,0,
The Building,N/A,CBS,5,36,0,0,0,
Return,N/A,SBS,5,36,0,0,0,
Shadow,Netflix,,5,34,0,0,0,
The Sandman,Netflix,,5,32,0,0,0,
Woman,N/A,NTV,5,30,0,0,0,
Out There,N/A,IFC,5,30,0,0,0,
With You,iQIYI,,5,29,0,0,0,
Yellowstone,N/A,Paramount Network,5,28,0,0,0,
Alone,N/A,History,5,27,0,0,0,
Working,N/A,NBC,5,27,0,0,0,
Dope,Netflix,,5,26,0,0,0,
Colin From Accounts,Binge,,5,23,0,0,0,
Fortuna,N/A,NRK1,5,22,0,0,0,
Sort Of,CBC Gem,,5,22,0,0,0,
Tonight,N/A,ITV1,5,21,0,0,0,
Friends,N/A,ABC,5,19,0,0,0,
Chainsaw Man,N/A,TV Tokyo,5,19,0,0,0,
Massive,N/A,BBC Three,5,18,0,0,0,
Brot,N/A,Ríkisútvarpið,5,18,0,0,0,
Missing,N/A,BBC One,5,17,0,0,0,
Psych,N/A,USA Network,5,15,0,0,0,
Alice,N/A,SBS,5,14,0,0,0,
Alice in Borderland,Netflix,,5,14,0,0,0,
The Middle,N/A,ABC,5,13,0,0,0,
Case,N/A,Stöð 2,5,12,0,0,0,09-12-2022
