name,streaming,network,mentions,score,consecutive,gain,total top,last date
Love,N/A,MBC,64,403,3,-43,3,
Wednesday,Netflix,,38,258,3,-23,3,
Dark,Netflix,,37,252,3,-17,3,
The White Lotus,N/A,HBO,36,330,3,1,3,
1899,Netflix,,34,272,3,-16,3,
Star Wars: Andor,Disney+,,32,326,3,-30,3,
Slow Horses,Apple TV+,,28,191,1,20,1,
The Act,Hulu,,22,161,3,9,3,
The Peripheral,Prime Video,,19,185,1,12,1,25-11-2022
Black,N/A,OCN,18,71,3,4,3,
House of the Dragon,N/A,HBO,17,129,2,6,2,
Severance,Apple TV+,,17,129,3,4,3,
Evil,Paramount+,,16,202,3,6,3,
Trying,Apple TV+,,16,109,3,-4,3,
Itch,N/A,ABC ME,15,137,2,-1,2,
House,N/A,FOX,15,125,2,3,2,
Honest,N/A,ITV1,15,96,3,3,3,
The Bear,Hulu,,14,125,1,8,1,25-11-2022
Anno,N/A,NRK1,14,51,1,6,1,
Power,N/A,STARZ,13,59,1,10,1,
The Plot,Disney+,,13,52,3,-1,3,
Case,N/A,Stöð 2,13,23,2,3,2,
Better Call Saul,N/A,AMC,12,122,1,8,1,
The English,BBC iPlayer,,12,86,3,-4,3,
Pose,N/A,FX,12,85,2,2,2,
The Leftovers,N/A,HBO,12,79,2,-1,2,
Move,Netflix,,12,40,1,4,1,25-11-2022
Space,N/A,CBS,12,31,1,3,1,
Strange,N/A,BBC One,11,104,1,9,1,
Amazon,N/A,Syndication,11,69,1,5,1,
Family,N/A,ITV1,11,52,3,-5,3,
Sona,YouTube,,11,37,2,1,2,
Interview with the Vampire,AMC+,,10,113,1,9,1,
Sent,N/A,HBO Asia,10,84,1,1,1,
Rogue,N/A,Audience Network,10,80,1,1,1,
Catch,N/A,NPO 3,10,68,1,8,1,
VICE,N/A,Showtime,10,44,1,3,1,
Atlanta,N/A,FX,9,120,0,0,0,
The Devil,N/A,KBS2,9,113,0,0,0,
Hero,N/A,MBC,9,64,0,0,0,03-12-2022
Away,Netflix,,9,51,0,0,0,03-12-2022
Shadow,Netflix,,9,47,0,0,0,
Persona,Netflix,,9,25,0,0,0,
Tulsa King,Paramount+,,8,85,0,0,0,03-12-2022
This Week,N/A,BBC One,8,74,0,0,0,
Lost,N/A,jTBC,8,62,0,0,0,03-12-2022
Thriller,N/A,ITV1,8,59,0,0,0,03-12-2022
The Capture,BBC iPlayer,,8,57,0,0,0,
Stranger Things,Netflix,,8,55,0,0,0,
Stranger,N/A,tvN,8,55,0,0,0,
Murder,N/A,BBC Two,8,54,0,0,0,
Avenue 5,N/A,HBO,8,45,0,0,0,03-12-2022
Human,Disney+ Hotstar,,8,27,0,0,0,
Rain,MX Player,,8,19,0,0,0,03-12-2022
College,N/A,Italia 1,7,106,0,0,0,03-12-2022
The Devil's Hour,Prime Video,,7,102,0,0,0,
Barry,N/A,HBO,7,80,0,0,0,
The Rig,Prime Video,,7,73,0,0,0,03-12-2022
Today,N/A,NBC,7,65,0,0,0,
The Americans,N/A,NBC,7,48,0,0,0,
Mr. Robot,N/A,USA Network,7,44,0,0,0,
Television,N/A,ITV1,7,44,0,0,0,03-12-2022
Echo 3,Apple TV+,,7,42,0,0,0,03-12-2022
Echo,Disney+,,7,42,0,0,0,03-12-2022
Suits,N/A,Fuji TV,7,40,0,0,0,
Norm,N/A,ABC,7,40,0,0,0,03-12-2022
Aspe,N/A,VTM,7,39,0,0,0,03-12-2022
Ella,N/A,VTM,7,39,0,0,0,
Deadwood,N/A,HBO,7,35,0,0,0,
Willow,Disney+,,7,34,0,0,0,
Westworld,N/A,HBO,7,33,0,0,0,
Fortuna,N/A,NRK1,7,31,0,0,0,
Alone,N/A,History,7,24,0,0,0,
The Great,Hulu,,7,24,0,0,0,
Stuck,N/A,TLC,7,23,0,0,0,
Review,N/A,Comedy Central,7,21,0,0,0,
The Shield,N/A,FX,7,18,0,0,0,
Succession,N/A,HBO,6,90,0,0,0,
Veep,N/A,HBO,6,88,0,0,0,
Loving,N/A,ABC,6,80,0,0,0,03-12-2022
Fleishman is in Trouble,Hulu,,6,69,0,0,0,
Pachinko,Apple TV+,,6,66,0,0,0,
ReBoot,N/A,YTV,6,55,0,0,0,
Reboot,Hulu,,6,55,0,0,0,
Coast,N/A,BBC Two,6,52,0,0,0,
Heroes,N/A,CCTV-8,6,51,0,0,0,
Missing,N/A,BBC One,6,51,0,0,0,
Universe,N/A,BBC Two,6,46,0,0,0,03-12-2022
The Lord of the Rings: The Rings of Power,Prime Video,,6,42,0,0,0,
Sisters,N/A,Network 10,6,41,0,0,0,
The One,Netflix,,6,41,0,0,0,
Bad Sisters,Apple TV+,,6,41,0,0,0,
The Boys,Prime Video,,6,37,0,0,0,
Tokyo Vice,HBO Max,,6,37,0,0,0,
Anne,N/A,ITV1,6,36,0,0,0,
The Premise,Hulu,,6,36,0,0,0,
Connect,Disney+,,6,30,0,0,0,
The Wire,N/A,HBO,6,29,0,0,0,
Release,Topic,,6,26,0,0,0,
Friends,N/A,ABC,6,20,0,0,0,
Monk,N/A,USA Network,6,18,0,0,0,
Breaking Bad,N/A,AMC,6,15,0,0,0,
Rising,Hill.TV,,6,13,0,0,0,03-12-2022
Search,N/A,OCN,6,10,0,0,0,
Huge,N/A,FreeForm,6,9,0,0,0,03-12-2022
Holy Shit,Prime Video,,5,84,0,0,0,
Gone,N/A,Investigation Discovery,5,77,0,0,0,
Liar,N/A,ITV1,5,71,0,0,0,
Queen,MX Player,,5,68,0,0,0,
Tonight,N/A,ITV1,5,67,0,0,0,
Treme,N/A,HBO,5,51,0,0,0,
SAS: Rogue Heroes,BBC iPlayer,,5,49,0,0,0,
Out There,N/A,IFC,5,43,0,0,0,
Chemistry,N/A,Cinemax,5,40,0,0,0,
Shadows,N/A,ITV1,5,40,0,0,0,
Peacemaker,HBO Max,,5,40,0,0,0,
Survivor,N/A,ΣΚΑΪ Τηλεόραση,5,39,0,0,0,
Shantaram,Apple TV+,,5,39,0,0,0,
Kingdom,N/A,Mnet,5,34,0,0,0,
School,N/A,BBC Two,5,31,0,0,0,
Let the Right One In,Showtime on Demand,Showtime,5,31,0,0,0,
Blind,TVING,tvN,5,31,0,0,0,
With You,iQIYI,,5,29,0,0,0,
Random,YouTube,,5,27,0,0,0,
Kept,N/A,VH1,5,25,0,0,0,
Welcome,N/A,KBS2,5,24,0,0,0,
Mike,Hulu,,5,24,0,0,0,
Three Pines,Prime Video,,5,23,0,0,0,
The Sopranos,N/A,HBO,5,21,0,0,0,
Sign,N/A,TV Asahi,5,20,0,0,0,
Cult,N/A,The CW,5,19,0,0,0,
Class,BBC Three,,5,19,0,0,0,
Trop,ICI Tou.tv,,5,19,0,0,0,
Evolve,N/A,History,5,12,0,0,0,
Cross,Prime Video,,5,12,0,0,0,
Romance,N/A,France 2,5,12,0,0,0,03-12-2022
Person of Interest,N/A,CBS,5,10,0,0,0,
