name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Taskmaster,N/A,RTP1,7,6,48,47,0,0,26,20,0,,143,113,1
The InBetween,N/A,NBC,7,7,45,45,0,0,88,65,2,,669,494,1
The One,Netflix,,7,7,44,44,0,0,109,77,4,,583,479,1
Sign,N/A,TV Asahi,7,3,42,20,0,0,80,27,0,,473,197,1
Ride,N/A,Hallmark Channel,7,7,40,40,0,0,19,18,1,17-04-2023,130,118,16
Florida Man,Netflix,,7,7,39,39,0,0,8,8,0,,41,41,9
Toon,KPN Presenteert,,7,6,37,36,0,0,38,25,0,,175,131,1
Game of Thrones,N/A,HBO,7,6,36,20,0,0,57,51,0,,274,229,1
Major,N/A,NHK,7,5,36,13,0,0,85,61,1,,387,299,1
Norm,N/A,ABC,7,2,30,3,0,0,102,3,0,,566,4,1
Thriller,N/A,ITV1,7,7,29,29,0,0,105,75,2,,589,385,1
Push,N/A,ABC,7,3,27,19,0,0,71,30,0,,405,143,1
Friends,N/A,ABC,7,5,26,21,0,0,109,74,2,,603,362,1
Today,N/A,NBC,7,7,25,25,0,0,93,78,0,,614,518,1
Banshee,N/A,Cinemax,7,7,24,24,0,0,71,57,1,,395,290,1
Caught,N/A,CBC,6,6,107,107,0,0,84,72,1,,531,491,1
Mr. Robot,N/A,USA Network,6,3,92,80,0,0,75,31,2,,524,289,1
The Last Kingdom,Netflix,,6,6,57,57,0,0,24,19,0,,138,122,1
The Building,N/A,CBS,6,6,53,53,0,0,92,76,1,,610,510,1
Fleabag,BBC Three,,6,5,45,29,0,0,45,34,0,,325,211,1
Catch,N/A,NPO 3,6,2,43,14,0,0,134,92,4,,932,641,1
Mr Inbetween,N/A,FX,6,5,41,34,0,0,97,40,3,,727,242,1
Home,Apple TV+,,6,2,39,29,0,0,133,57,2,,777,367,1
Return,N/A,SBS,6,4,38,29,0,0,61,36,0,,346,214,1
Feel Good,Netflix,,6,6,35,35,0,0,35,30,0,,285,256,1
Five,N/A,Fuji TV,6,6,33,33,0,0,51,40,0,,237,203,1
Atlanta,N/A,FX,6,6,31,31,0,0,59,50,1,,364,309,1
Trop,ICI Tou.tv,,6,0,31,0,0,0,75,0,1,,343,0,1
Human,Disney+ Hotstar,,6,3,31,13,0,0,73,42,1,,310,159,1
Space,N/A,CBS,6,4,30,27,0,0,99,74,1,,543,464,1
Icon,N/A,Hallmark Channel,6,3,29,13,0,0,44,30,1,,184,118,1
The Writer,N/A,MBC Drama,6,1,28,6,0,0,76,14,0,,381,107,1
Released,N/A,Oprah Winfrey Network,6,6,25,25,0,0,96,80,0,,529,460,1
Liar,N/A,ITV1,6,5,21,14,0,0,73,61,1,,335,286,1
Better Call Saul,N/A,AMC,6,5,20,16,0,0,103,64,3,,447,283,1
House,N/A,FOX,6,6,19,19,0,0,181,133,8,,850,593,1
House of the Dragon,N/A,HBO,6,3,15,5,0,0,71,27,1,,438,124,1
The Expanse,Prime Video,,6,5,14,11,0,0,89,61,1,,513,377,1
Delete,N/A,REELZ,6,0,10,0,0,0,110,2,4,,228,6,1
The Deleted,fullscreen,,6,6,10,10,0,0,98,87,3,,214,195,1
Cult,N/A,The CW,5,3,93,22,0,0,98,38,0,,615,252,1
Tiny Beautiful Things,Hulu,,5,5,83,83,0,0,10,9,0,,117,110,3
Star Wars: Andor,Disney+,,5,0,62,0,0,0,126,0,5,,806,0,1
The Expecting,Quibi,,5,5,60,60,0,0,73,66,1,,643,546,1
Treme,N/A,HBO,5,3,55,43,0,0,104,15,2,,592,88,1
Cane,N/A,CBS,5,5,54,54,0,0,32,17,0,,235,124,1
Punk,N/A,MGM+,5,4,50,37,0,0,29,22,0,,178,127,1
Switch,N/A,ITV2,5,3,47,40,0,0,33,11,0,,185,81,1
