name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,67,67,204,204,7,8,407,403,7,,1899,1889,7
Will,N/A,TNT,53,52,257,251,7,6,353,333,7,,1517,1413,7
Succession,N/A,HBO,44,41,346,328,5,16,207,165,8,,1528,1239,1
Agent,Netflix,,39,39,296,296,1,35,61,49,1,,413,340,1
The Night Agent,Netflix,,37,37,244,244,1,35,39,39,1,,255,255,1
Shrink,Seeso,,36,0,360,0,9,14,186,3,9,,1622,35,1
Shrinking,Apple TV+,,36,34,360,347,9,15,184,171,9,,1610,1499,1
Ted Lasso,Apple TV+,,36,34,266,250,3,4,187,156,10,,1219,1027,1
Sona,YouTube,,27,1,174,7,1,18,192,3,12,22-03-2023,886,23,1
Move,Netflix,,25,5,400,86,1,20,145,37,7,22-03-2023,681,235,1
Black,N/A,OCN,25,24,153,151,13,12,221,166,13,,1237,980,1
Persona,Netflix,,22,1,96,7,1,14,159,3,8,22-03-2023,713,23,1
Rabbit Hole,Paramount+,,21,19,124,115,1,21,23,19,1,,132,115,1
Trying,Apple TV+,,20,19,129,127,13,-4,216,191,13,,1017,920,1
Severance,Apple TV+,,18,16,68,46,5,6,209,146,11,,1469,1078,1
Yellowjackets,N/A,Showtime,17,16,208,203,1,11,72,49,1,,635,501,1
Class,Netflix,,16,15,263,261,2,-10,110,50,2,,872,483,1
Power,N/A,STARZ,16,13,47,36,2,2,140,71,5,,820,324,1
School,N/A,BBC Two,15,13,98,101,2,5,84,63,3,,508,421,1
STAT,N/A,ICI Radio-Canada Télé,15,1,88,3,3,5,83,2,4,,439,4,6
SWARM,Bilibili,,14,13,153,129,2,-28,59,56,2,,525,493,1
Swarm,Prime Video,,14,13,153,129,2,-28,59,56,2,,525,493,7
This Week,N/A,BBC One,14,9,83,58,2,-5,144,93,9,,1070,735,1
Extra,N/A,Syndication,14,1,72,2,2,-4,171,11,8,,1443,33,1
The Last of Us,N/A,HBO,14,11,52,61,11,-26,526,415,11,,4080,3503,1
Review,N/A,Comedy Central,14,5,50,37,2,4,130,29,7,,559,175,1
Release,Topic,,13,6,37,17,2,2,129,37,5,,740,226,1
Class of '07,Prime Video,,12,4,240,104,2,-4,28,6,2,,367,143,8
The Mandalorian,Disney+,,12,11,73,68,4,-9,93,83,4,,670,626,1
Wanted,N/A,SBS,12,12,60,60,1,5,121,97,6,22-03-2023,660,446,1
Pose,N/A,FX,12,1,27,1,3,2,138,29,7,,534,97,1
Star Trek: Picard,Paramount+,,11,0,77,0,5,-1,84,5,5,,572,41,1
Party Down,Lionsgate+,,10,9,125,121,1,2,64,59,2,,657,627,1
Riot,N/A,FOX,10,9,95,93,1,9,60,43,1,,329,294,1
Loving,N/A,ABC,10,10,91,91,2,-5,122,108,6,,878,787,1
Shadow,Netflix,,10,10,72,72,2,-12,77,45,3,,500,321,1
Rain,MX Player,,10,8,67,43,3,-1,108,67,5,,636,334,1
Amazon,N/A,Syndication,10,10,61,61,2,-12,123,105,6,,823,727,1
The Act,Hulu,,10,0,58,0,2,-3,175,0,10,,1010,0,1
