name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Black,N/A,OCN,63,61,328,326,7,43,445,361,23,,2530,2094,1
Will,N/A,TNT,57,55,245,242,19,19,970,915,19,,4920,4629,7
Better,BBC iPlayer,,48,48,254,254,19,15,1010,987,19,,5103,5022,7
Black Mirror,Netflix,,45,44,300,297,2,34,98,88,2,,665,622,1
Silo,Apple TV+,,42,42,352,352,7,0,358,342,7,,3532,3418,8
Happy,N/A,NBC,24,24,90,90,4,7,330,303,19,,1920,1725,1
The Bear,Hulu,,22,22,162,162,1,14,116,91,3,,820,690,1
Lost,N/A,jTBC,19,19,165,165,12,-3,359,336,19,,2010,1874,1
Strange,N/A,BBC One,19,18,111,109,1,12,189,120,6,,852,570,1
The Wire,N/A,HBO,19,17,53,51,1,16,238,215,10,,1221,1047,1
The Act,Hulu,,18,0,148,0,14,4,373,1,22,,2406,7,1
Move,Netflix,,18,10,50,44,1,9,264,77,12,10-06-2023,1130,411,1
Sona,YouTube,,18,1,45,3,1,11,375,5,23,10-06-2023,1906,35,1
Trying,Apple TV+,,17,17,50,50,8,6,383,356,24,,1926,1809,1
Riot,N/A,FOX,17,14,49,51,1,14,140,109,4,,720,640,1
Persona,Netflix,,17,1,43,3,1,13,315,5,17,10-06-2023,1599,35,1
Finally,N/A,MBC,16,15,174,152,5,3,151,150,8,,1314,1292,14
This Week,N/A,BBC One,16,7,124,59,5,2,319,223,19,,2753,2048,1
New World,Netflix,,16,2,92,9,1,14,64,6,1,,333,39,1
Class,Netflix,,16,10,87,63,1,8,245,133,9,10-06-2023,1723,999,1
The Other Two,Max,,15,15,93,93,1,6,87,82,2,,640,616,1
Beyond,N/A,Freeform,15,15,81,81,1,13,91,84,1,,547,513,1
The Sopranos,N/A,HBO,15,13,50,45,1,12,196,173,9,,1101,993,1
Star Trek,N/A,NBC,14,14,83,83,1,9,159,147,4,,986,948,1
New Worlds,N/A,Channel 4,14,14,83,83,1,12,56,55,1,,277,276,1
Breaking Bad,N/A,AMC,14,13,75,71,1,7,208,185,8,10-06-2023,1186,1083,1
Better Call Saul,N/A,AMC,14,10,60,43,1,11,174,111,6,10-06-2023,858,559,1
Patriot,Prime Video,,14,14,59,59,1,12,122,103,3,,657,619,1
Murder,N/A,BBC Two,14,8,58,31,1,7,243,123,8,,1427,778,1
