name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
BEEF,Netflix,,108,102,1586,1513,1,108,108,102,1,,1586,1513,16
Will,N/A,TNT,52,46,314,300,9,10,447,421,9,,2049,1931,7
Succession,N/A,HBO,48,43,669,575,7,17,286,239,10,,2582,2199,1
Better,BBC iPlayer,,45,45,251,251,9,-2,499,494,9,,2425,2411,7
The Last of Us,N/A,HBO,22,12,73,39,13,10,560,437,13,,4246,3632,1
Yellowjackets,N/A,Showtime,21,19,267,259,3,-3,117,92,3,,1261,1119,1
Ted Lasso,Apple TV+,,21,19,233,216,5,-2,231,197,12,,1681,1458,1
STEVE,N/A,Syndication,20,2,391,9,1,11,64,18,1,,648,101,1
The Act,Hulu,,19,0,113,0,4,3,210,0,12,,1235,0,1
rage,N/A,ABC,18,12,143,137,1,10,105,65,1,,514,362,1
This Week,N/A,BBC One,17,13,176,127,4,6,172,114,11,,1353,944,1
Trying,Apple TV+,,17,16,55,50,15,5,245,219,15,,1117,1015,1
Agent,Netflix,,16,12,100,80,3,-10,103,85,3,,702,601,1
Lost,N/A,jTBC,15,14,116,115,2,0,156,139,9,,737,666,1
STAT,N/A,ICI Radio-Canada Télé,15,0,108,0,5,-4,117,2,6,,704,4,6
The Mandalorian,Disney+,,14,13,165,146,6,-5,126,113,6,,1008,943,1
Perry Mason,N/A,HBO,14,14,150,150,2,-5,92,86,4,,915,860,1
The Night Agent,Netflix,,14,12,95,80,3,-8,75,71,3,,521,498,1
Barry,N/A,HBO,14,13,86,65,2,-6,112,92,4,,850,718,1
Away,Netflix,,13,13,129,129,5,3,162,134,12,,1065,929,1
Sona,YouTube,,13,0,110,0,3,-1,219,4,14,,1110,32,1
Loving,N/A,ABC,13,13,91,91,4,0,148,134,8,,1103,1012,1
Pose,N/A,FX,13,5,61,10,5,0,164,37,9,,630,112,1
Star Trek: Picard,Paramount+,,13,0,55,0,7,-2,112,7,7,,785,96,1
Persona,Netflix,,12,0,108,0,3,-2,185,4,10,,935,32,1
Ride,N/A,Hallmark Channel,12,11,90,78,1,12,12,11,1,,90,78,16
Aile,N/A,Show TV,12,0,88,0,2,1,107,0,5,,546,0,4
Shrink,Seeso,,12,0,67,0,11,-1,211,3,11,,1828,35,1
Shrinking,Apple TV+,,12,12,67,67,11,-1,209,195,11,,1816,1704,1
Case,N/A,Stöð 2,12,12,66,66,1,4,143,101,5,,782,576,1
Review,N/A,Comedy Central,12,1,41,4,1,7,147,31,8,02-04-2023,621,180,1
Easy,Netflix,,12,12,41,41,1,5,125,109,5,,818,751,1
The White Lotus,N/A,HBO,11,11,86,86,1,7,137,99,7,,912,692,1
Happy,N/A,NBC,11,11,52,52,1,3,203,176,11,,1133,938,1
Anne,N/A,ITV1,11,1,43,1,1,3,107,15,3,,527,106,1
Huge,N/A,Freeform,10,10,99,99,1,5,98,87,2,,601,566,1
The Premise,Hulu,,10,10,85,85,2,-3,119,108,5,,781,734,1
Rabbit Hole,Paramount+,,10,9,68,58,3,-5,48,43,3,,329,302,1
