name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Sent,N/A,HBO Asia,6,3,27,15,0,0,278,107,9,,1526,637,1
Crowded,N/A,NBC,6,6,26,26,0,0,79,79,3,26-07-2023,486,486,1
Patriot,Prime Video,,6,6,26,26,0,0,158,137,4,26-07-2023,977,935,1
The Crowded Room,Apple TV+,,6,6,26,26,0,0,74,71,3,26-07-2023,444,431,1
Missing,N/A,BBC One,6,6,25,25,0,0,156,141,2,,883,798,1
The Missing,N/A,Discovery Channel,6,6,25,25,0,0,151,141,2,,858,798,1
Better Call Saul,N/A,AMC,6,4,25,19,0,0,202,132,6,,1019,701,1
Fortuna,N/A,NRK1,6,0,25,0,0,0,141,0,0,,634,0,1
Move,Netflix,,6,1,24,4,0,0,305,89,13,,1283,465,1
Believe,N/A,NBC,6,6,22,22,0,0,235,203,9,,1084,944,1
Cross,Prime Video,,6,2,22,0,0,0,174,100,4,,908,477,1
Empire,N/A,CBS,6,6,21,21,0,0,126,102,2,,658,523,1
Counterpart,N/A,STARZ,6,5,18,15,0,0,61,51,1,,275,228,1
Thriller,N/A,ITV1,6,6,17,17,0,0,217,170,5,26-07-2023,1289,953,1
Aria,N/A,TV Osaka,6,1,17,-1,0,0,8,2,0,,21,0,31
Bodyguard,N/A,BBC One,6,6,16,16,0,0,53,49,0,,237,229,1
All In,N/A,SBS,5,3,64,62,0,0,117,85,1,,780,606,1
Justified: City Primeval,N/A,FX,5,5,54,54,0,0,12,11,0,,122,117,1
Black Sails,N/A,STARZ,5,5,41,41,0,0,75,61,0,,440,367,1
Hero,N/A,MBC,5,2,38,11,0,0,193,82,5,,901,355,1
Anne,N/A,ITV1,5,0,38,0,0,0,232,43,9,26-07-2023,1258,257,1
Woman,N/A,NTV,5,5,37,37,0,0,120,101,0,,600,512,1
Rain,MX Player,,5,2,36,6,0,0,256,172,13,,1504,937,1
Kirk,N/A,The WB,5,5,35,35,0,0,36,32,0,,254,227,1
Massive,N/A,BBC Three,5,4,34,29,0,0,68,49,0,,557,492,1
The Killing,Shahid,,5,5,32,32,0,0,121,115,1,,727,707,1
Treme,N/A,HBO,5,1,32,12,0,0,173,30,2,,988,160,1
Halfway,N/A,BBC Two Wales,5,5,32,32,0,0,140,132,0,,936,873,1
Succession,N/A,HBO,5,5,30,30,0,0,795,726,23,26-07-2023,7635,7119,1
Brothers,N/A,Showtime,5,5,29,29,0,0,97,87,0,,540,425,1
The Brothers,N/A,BBC One,5,5,29,29,0,0,94,87,0,,518,425,1
Brot,N/A,Ríkisútvarpið,5,0,29,0,0,0,179,0,2,,951,0,1
Fargo,N/A,FX,5,5,27,27,0,0,72,64,1,,320,274,1
2020,Shahid,,5,5,27,27,0,0,27,26,0,,119,114,6
Norm,N/A,ABC,5,0,26,0,0,0,196,8,3,,1115,45,1
The Project,N/A,Network 10,5,3,26,14,0,0,99,72,1,,650,533,1
Twisted Metal,Peacock,,5,5,25,25,0,0,9,9,0,,52,52,18
Pose,N/A,FX,5,2,24,9,0,0,297,95,13,,1252,373,1
The One,Netflix,,5,1,24,8,0,0,192,132,6,,973,767,1
Peaking,Red Bull TV,,5,5,24,24,0,0,51,47,0,,238,238,1
This Fool,Hulu,,5,5,23,23,0,0,15,13,0,,80,69,1
The Witcher,Netflix,,5,5,22,22,0,0,66,57,1,,323,277,1
Ante,N/A,NRK1,5,0,22,0,0,0,33,1,1,,135,9,28
The Diplomat,Netflix,,5,4,21,20,0,0,135,130,3,,1178,1140,1
Agent,TV2 Play,,5,3,21,11,0,0,183,153,6,,1162,996,1
Blue,Hulu,,5,3,20,11,0,0,118,83,1,,643,459,1
Big Fan,N/A,ABC,5,5,20,20,0,0,63,58,0,,319,297,1
Human,Disney+ Hotstar,,5,5,19,19,0,0,132,79,1,,585,334,1
This Week,N/A,BBC One,5,2,17,7,0,0,359,250,21,26-07-2023,3000,2193,1
Bad Guy,N/A,SBS,5,3,16,9,0,0,33,17,0,,122,68,1
The Bad Guy,Prime Video,,5,3,16,9,0,0,33,17,0,,122,68,1
Dexter,N/A,Showtime,5,5,15,15,0,0,66,59,0,,302,285,1
Popular,N/A,The WB,5,5,15,15,0,0,153,130,0,,721,613,1
Friends,N/A,ABC,5,5,14,14,0,0,189,139,3,,1063,701,1
Outlander,N/A,STARZ,5,5,11,11,0,0,23,23,0,,129,129,1
Outland,N/A,ABC,5,0,11,0,0,0,26,0,0,,143,0,1
Kept,N/A,VH1,5,4,11,10,0,0,201,173,3,,1096,949,1
