name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Succession,N/A,HBO,50,48,569,549,9,-9,395,341,12,,3836,3396,1
Will,N/A,TNT,50,46,323,251,11,-10,557,524,11,,2794,2593,7
Better,BBC iPlayer,,42,40,212,207,11,-27,610,600,11,,2995,2966,7
The Diplomat,Netflix,,38,37,416,391,1,33,45,44,1,,466,441,1
Barry,N/A,HBO,37,36,354,338,4,3,183,160,6,,1525,1360,1
BEEF,Netflix,,29,28,272,264,3,-32,198,190,3,,2501,2390,16
Ted Lasso,Apple TV+,,26,23,304,285,7,-15,298,261,14,,2440,2198,1
Yellowjackets,N/A,Showtime,22,21,253,249,5,-1,162,134,5,,1760,1598,1
The Act,Hulu,,21,0,92,0,6,2,250,1,14,,1511,7,1
Ringer,N/A,The CW,20,0,123,0,1,20,22,2,1,,134,11,1
Dead Ringers,Prime Video,,20,20,123,123,1,20,20,20,1,,123,123,1
Perry Mason,N/A,HBO,19,18,216,207,4,-3,133,125,6,,1371,1299,1
Lost,N/A,jTBC,19,19,58,58,4,6,188,171,11,,878,807,1
House,N/A,FOX,17,15,140,123,1,11,198,148,9,,990,716,1
This Week,N/A,BBC One,17,14,133,125,6,-2,208,144,13,,1736,1276,1
Sona,YouTube,,17,0,92,0,5,-6,259,4,16,,1372,32,1
Review,N/A,Comedy Central,15,4,92,16,1,6,171,36,9,17-04-2023,743,201,1
Persona,Netflix,,15,0,85,0,5,-4,219,4,12,,1170,32,1
Home,Apple TV+,,15,5,72,21,1,9,148,62,3,,849,388,1
Banshee,N/A,Cinemax,15,14,34,33,1,8,86,71,2,,429,323,1
Loving,N/A,ABC,14,14,188,188,6,-8,184,170,10,,1497,1406,1
Happy,N/A,NBC,13,13,132,132,3,3,226,199,13,,1332,1137,1
The Americans,N/A,NBC,13,12,121,117,2,2,126,110,5,,957,875,1
Finally,N/A,MBC,13,13,116,116,2,-3,45,45,2,,390,390,14
STAT,N/A,ICI Radio-Canada Télé,13,0,71,0,7,0,143,2,8,,872,4,6
Black,N/A,OCN,13,11,67,51,2,0,277,215,16,,1572,1234,1
Return,N/A,SBS,13,4,62,18,1,7,74,40,1,,408,232,1
Family,N/A,ITV1,13,13,54,54,2,-3,179,148,9,,968,765,1
Strange,N/A,BBC One,13,8,43,30,2,-1,131,77,5,,576,344,1
The Premise,Hulu,,13,11,39,33,1,4,141,128,6,17-04-2023,906,853,1
The Mandalorian,Disney+,,12,12,205,205,8,-13,163,150,8,,1413,1348,1
Shrink,Seeso,,12,0,67,0,13,1,234,3,13,,1976,35,1
Shrinking,Apple TV+,,12,11,67,52,13,1,232,217,13,,1964,1837,1
Limit,N/A,TV Tokyo,12,1,54,1,1,10,71,4,1,,336,20,1
rage,N/A,ABC,12,10,46,35,1,7,122,79,2,17-04-2023,600,435,1
Case,N/A,Stöð 2,12,11,19,16,1,4,163,120,6,17-04-2023,884,675,1
Rain,MX Player,,11,6,114,49,2,-1,149,97,8,,954,546,1
Agent,Netflix,,11,9,66,56,5,-6,131,108,5,,871,742,1
The Night Agent,Netflix,,11,9,66,56,5,-5,102,94,5,,677,639,1
Blue,Hulu,,11,7,60,43,1,6,61,40,1,,323,214,1
Evil,Paramount+,,11,10,59,50,1,7,151,100,5,,703,431,1
Kept,N/A,VH1,11,7,55,19,1,3,110,89,2,,594,491,1
Aile,N/A,Show TV,11,0,48,0,1,3,126,0,6,17-04-2023,637,0,4
School,N/A,BBC Two,11,10,42,34,1,9,101,78,4,,580,483,1
Star Trek: Picard,Paramount+,,10,1,141,7,9,-13,145,10,9,,1078,125,1
Sweet Tooth,Netflix,,10,9,54,53,1,5,18,17,1,,99,98,1
Better Call Saul,N/A,AMC,10,6,52,36,1,4,113,70,4,,499,319,1
Homeland,N/A,Showtime,10,8,51,51,1,6,60,38,1,,310,182,1
Justified,N/A,FX,10,10,48,48,1,6,89,87,3,,447,443,1
The West Wing,N/A,NBC,9,9,90,90,0,0,20,18,0,,147,140,1
Power,N/A,STARZ,9,7,89,65,0,0,189,105,7,22-04-2023,1212,556,1
Catch,N/A,NPO 3,9,6,87,73,0,0,143,98,4,,1019,714,1
Aspe,N/A,VTM,9,0,76,0,0,0,83,0,0,,468,0,1
The Last of Us,N/A,HBO,9,8,75,78,0,0,581,452,14,22-04-2023,4413,3750,1
Soap,N/A,ABC,9,4,74,22,0,0,40,26,0,,222,127,1
Thriller,N/A,ITV1,9,7,69,32,0,0,114,82,2,,658,417,1
Away,Netflix,,9,9,53,53,0,0,179,151,12,,1176,1040,1
Player,N/A,OCN,9,6,52,46,0,0,52,27,0,,300,125,1
Broadchurch,N/A,ITV1,9,9,45,45,0,0,41,30,0,,197,150,1
The Plot,Disney+,,9,9,34,34,0,0,172,134,5,22-04-2023,988,757,1
Survivor,N/A,ΣΚΑΪ Τηλεόραση,8,8,112,112,0,0,39,36,0,,268,256,1
Luck,N/A,HBO,8,0,96,0,0,0,74,10,1,,539,36,1
The British,N/A,Sky Atlantic,8,7,71,69,0,0,126,109,4,,762,681,1
Anne,N/A,ITV1,8,1,47,6,0,0,126,17,4,22-04-2023,658,125,1
Queen,MX Player,,8,6,37,28,0,0,49,32,0,,267,154,1
Wanted,N/A,SBS,8,8,36,36,0,0,153,129,7,22-04-2023,776,562,1
Cult,N/A,The CW,8,5,29,20,0,0,106,43,0,,644,272,1
Pose,N/A,FX,8,3,29,11,0,0,180,44,9,,694,130,1
Move,Netflix,,8,3,12,7,0,0,174,48,7,,784,271,1
House of Cards,N/A,BBC One,7,7,86,86,0,0,25,20,0,,156,140,1
Rabbit Hole,Paramount+,,7,7,77,77,0,0,66,60,4,22-04-2023,502,464,1
GOLD,N/A,Fuji TV,7,1,75,5,0,0,88,24,1,,555,177,1
Sort Of,CBC Gem,,7,7,72,72,0,0,137,123,4,22-04-2023,713,648,1
The Power,Prime Video,,7,7,65,65,0,0,32,31,1,22-04-2023,233,232,1
Vinland Saga,N/A,NHK,7,6,59,43,0,0,25,20,0,,208,139,1
Trying,Apple TV+,,7,7,53,53,0,0,267,241,16,22-04-2023,1286,1184,1
Gone,N/A,Investigation Discovery,7,7,45,45,0,0,68,58,0,,322,301,1
Scrubs,N/A,ABC,7,7,44,44,0,0,41,37,0,,235,221,1
Holy Shit,Prime Video,,7,7,41,41,0,0,42,34,0,,544,390,1
Castle,N/A,ABC,7,7,35,35,0,0,45,26,0,,169,96,1
Psych,N/A,USA Network,7,2,34,6,0,0,77,10,0,,417,48,1
The Answers,N/A,FX,7,7,33,33,0,0,32,30,0,,179,160,1
Huge,N/A,Freeform,7,7,30,30,0,0,115,104,3,22-04-2023,686,651,1
Popular,N/A,The WB,7,7,23,23,0,0,101,81,0,,419,342,1
Delete,N/A,REELZ,7,0,17,0,0,0,117,2,4,,245,6,1
The Deleted,fullscreen,,7,7,17,17,0,0,105,94,3,,231,212,1
The Audience,N/A,Channel 4,7,7,16,16,0,0,71,57,0,,303,237,1
Detective,N/A,Lifetime,7,7,16,16,0,0,144,125,5,,957,849,1
Supernatural,N/A,BBC One,7,7,13,13,0,0,67,56,1,,370,323,1
Sunday,N/A,See,6,4,87,67,0,0,42,32,0,,456,353,1
Mrs. Davis,Peacock,,6,6,83,83,0,0,12,12,0,,128,128,1
The Big Door Prize,Apple TV+,,6,6,73,73,0,0,37,37,2,22-04-2023,354,354,3
Class,Netflix,,6,3,67,20,0,0,139,68,2,,1070,575,1
Happy Valley,N/A,BBC One,6,6,65,65,0,0,111,95,4,,646,530,1
Treme,N/A,HBO,6,0,63,0,0,0,110,15,2,,655,88,1
DAVE,N/A,ORF 1,6,6,52,52,0,0,39,31,1,22-04-2023,199,156,1
Played,N/A,CTV,6,6,51,51,0,0,168,153,6,,983,861,1
Chance,Hulu,,6,5,46,44,0,0,113,86,5,22-04-2023,526,418,1
The Recruit,Netflix,,6,6,42,42,0,0,40,24,0,,184,106,1
Line of Duty,N/A,BBC One,6,6,39,39,0,0,34,30,0,,242,219,1
The Expanse,Prime Video,,6,6,39,39,0,0,95,67,1,,552,416,1
Brot,N/A,Ríkisútvarpið,6,0,38,0,0,0,114,0,2,22-04-2023,625,0,1
Thea,N/A,ABC,6,0,37,0,0,0,40,0,0,,249,0,1
Amazon,N/A,Syndication,6,6,36,36,0,0,151,131,7,,986,869,1
Drops of God,Apple TV+,,6,6,35,35,0,0,6,6,0,,35,35,4
Cross,Prime Video,,6,1,19,4,0,0,103,55,3,,509,247,1
Midnight Mass,Netflix,,6,6,17,17,0,0,12,10,0,,36,31,1
Bull,N/A,CBS,6,0,12,0,0,0,53,3,0,,187,2,1
Star Trek,N/A,NBC,5,5,88,88,0,0,122,110,3,22-04-2023,793,755,1
Easy,Netflix,,5,5,85,85,0,0,141,125,6,22-04-2023,967,900,1
The Great,Hulu,,5,3,82,35,0,0,104,47,2,,495,245,1
Baby,Netflix,,5,4,71,23,0,0,69,36,0,,473,249,1
Sent,N/A,HBO Asia,5,3,63,51,0,0,166,60,5,22-04-2023,940,366,1
Becoming,Disney+,,5,5,57,57,0,0,35,33,0,,263,252,1
The Other Two,HBO Max,,5,5,53,53,0,0,27,25,0,,169,163,1
Empire,N/A,CBS,5,4,52,45,0,0,76,60,1,,383,299,1
The West,N/A,PBS,5,5,51,51,0,0,18,11,0,,116,100,1
Kingdom,N/A,Mnet,5,5,44,44,0,0,57,48,0,,284,247,1
Florida Man,Netflix,,5,5,44,44,0,0,13,13,0,,85,85,9
The Challenge,N/A,MTV,5,5,42,42,0,0,26,9,0,,124,50,1
Halfway,N/A,BBC Two Wales,5,5,39,39,0,0,78,70,0,,533,470,1
Bang,N/A,S4C,5,0,37,0,0,0,63,16,0,,401,87,1
Brain,N/A,KBS2,5,1,35,2,0,0,44,32,0,,207,113,1
Caught,N/A,CBC,5,5,35,35,0,0,89,77,1,,566,526,1
Snowfall,N/A,FX,5,5,34,34,0,0,67,63,3,22-04-2023,335,317,1
Mayo,N/A,BBC One,5,0,34,0,0,0,77,0,1,,418,0,1
Working,N/A,NBC,5,5,34,34,0,0,61,52,0,,423,377,1
Mayor of Kingstown,Paramount+,,5,5,34,34,0,0,60,46,1,,372,296,1
The Watch,N/A,BBC America,5,4,32,26,0,0,50,31,0,,298,202,1
Severance,Apple TV+,,5,5,32,32,0,0,231,167,12,,1599,1204,1
The Capture,BBC iPlayer,,5,3,31,19,0,0,60,34,0,,278,174,1
