name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Working,N/A,NBC,6,6,26,26,0,0,22,13,0,,110,64,1
The Games,N/A,ABC,6,6,25,25,0,0,18,15,0,,57,48,1
Shadow,Netflix,,6,2,24,3,0,0,19,5,0,,105,16,1
Friends,N/A,ABC,6,5,20,17,0,0,34,11,0,,217,55,1
Paris,N/A,Channel 4,6,3,20,10,0,0,27,5,0,,139,24,1
Strange,N/A,BBC One,6,5,18,17,0,0,34,11,0,,123,30,1
Faith,N/A,ITV1,6,1,15,2,0,0,25,5,0,,107,20,1
The Audience,N/A,Channel 4,6,5,9,13,0,0,21,16,0,,62,61,1
Welcome,N/A,KBS2,5,4,88,87,0,0,22,11,0,,192,143,1
Halt and Catch Fire,N/A,AMC,5,5,79,79,0,0,15,9,0,,111,87,1
Medic,N/A,NBC,5,1,76,63,0,0,21,5,0,,184,73,1
Slow Burn,N/A,MGM+,5,4,49,47,0,0,20,8,0,,130,70,1
Powers,Playstation,,5,5,41,41,0,0,9,6,0,,71,43,1
Cunk on Earth,BBC iPlayer,,5,4,39,38,0,0,7,4,0,,50,38,1
His Dark Materials,BBC iPlayer,,5,5,38,38,0,0,20,12,0,,128,85,1
Connect,Disney+,,5,0,38,0,0,0,30,2,1,28-01-2023,153,10,1
Fleabag,BBC Three,,5,5,34,34,0,0,17,9,0,,137,50,1
Servant,Apple TV+,,5,5,32,32,0,0,28,24,1,,180,139,1
Aile,N/A,Show TV,5,0,31,0,0,0,13,0,0,,123,0,4
Train,N/A,OCN,5,3,30,8,0,0,15,7,0,,95,22,1
Ozark,Netflix,,5,5,29,29,0,0,12,6,0,,66,31,1
Caught,N/A,CBC,5,4,29,27,0,0,27,15,0,,128,88,1
Today,N/A,NBC,5,5,28,28,0,0,28,15,0,,154,65,1
Succession,N/A,HBO,5,5,28,28,0,0,48,16,2,,298,73,1
Gravity Falls,N/A,Disney XD,5,5,26,26,0,0,15,8,0,,42,30,1
Gravity,N/A,STARZ,5,5,26,26,0,0,15,9,0,,42,23,1
Norm,N/A,ABC,5,0,24,0,0,0,34,0,0,,172,0,1
Counterpart,N/A,STARZ,5,5,22,22,0,0,29,23,1,,118,91,1
Chemistry,N/A,Cinemax,5,5,19,19,0,0,20,15,0,,101,84,1
Popular,N/A,The WB,5,4,17,16,0,0,33,17,0,,106,50,1
Luck,N/A,HBO,5,2,15,8,0,0,12,2,0,,44,8,1
Mythic Quest,Apple TV+,,5,5,15,15,0,0,32,15,0,,189,79,1
Titans,HBO Max,,5,5,12,12,0,0,11,8,0,,37,22,1
Suspense,N/A,BBC One,5,5,12,12,0,0,15,8,0,,64,23,1
Search,N/A,OCN,5,2,10,1,0,0,22,9,0,,42,29,1
Chernobyl,N/A,HBO,5,5,10,10,0,0,13,11,0,,61,38,1
The Owl House,DisneyNOW,Disney Channel,5,4,10,7,0,0,13,7,0,,43,22,1
The Others,N/A,NBC,5,5,9,9,0,0,9,8,0,,29,15,1
The Leftovers,N/A,HBO,5,4,8,20,0,0,29,18,0,,135,90,1
Toon,KPN Presenteert,,5,3,8,6,0,0,7,3,0,,21,6,1
Deadwood,N/A,HBO,5,5,7,7,0,0,11,11,0,,17,17,1
ReBoot,N/A,YTV,5,3,6,5,0,0,13,9,0,,68,43,1
Guns,N/A,CBC,5,5,6,6,0,0,7,5,0,,11,6,1
Reboot,Hulu,,5,3,6,5,0,0,13,9,0,,68,43,1
Brain,N/A,KBS2,5,4,-14,-16,0,0,11,6,0,,16,-15,1
Tonight,N/A,ITV1,5,5,-15,-15,0,0,21,16,0,,87,62,1
