name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Will,N/A,TNT,63,59,264,239,1,63,63,59,1,,264,239,7
Better,BBC iPlayer,,52,52,202,202,1,52,52,52,1,,202,202,7
The Last of Us,N/A,HBO,44,36,319,273,5,0,290,234,5,,2348,1990,1
Poker Face,Peacock,,28,26,292,274,4,-10,136,128,4,,1198,1138,1
Trying,Apple TV+,,25,25,99,99,7,10,105,84,7,,431,354,1
Extra,N/A,Syndication,22,1,240,1,4,3,104,7,4,,896,15,1
Black,N/A,OCN,20,20,114,114,7,1,125,78,7,,712,483,1
Murder,N/A,BBC Two,20,14,49,28,3,-6,106,54,3,,557,267,1
Move,Netflix,,20,2,-2,8,3,10,79,13,4,,147,58,1
Extraordinary,Disney+,,19,17,177,167,4,2,89,82,4,,775,695,1
Mr. Robot,N/A,USA Network,17,8,77,33,1,14,34,13,1,,156,57,1
The Wire,N/A,HBO,16,14,80,63,1,7,75,61,4,04-02-2023,451,312,1
Family,N/A,ITV1,16,16,75,75,1,9,86,55,6,04-02-2023,472,269,1
Power,N/A,STARZ,15,7,125,73,3,-1,83,39,3,,496,204,1
Happy,N/A,NBC,14,14,79,79,7,0,114,88,7,,690,506,1
Dogs,Netflix,,14,13,74,72,1,9,33,24,1,,173,131,1
Friends,N/A,ABC,13,9,90,70,1,8,52,25,1,,333,151,1
The Leftovers,N/A,HBO,13,11,80,66,2,0,55,42,2,,274,215,1
Detective,N/A,Lifetime,13,11,58,53,3,1,67,51,3,,383,289,1
Shrink,Seeso,,12,0,101,0,3,-3,56,1,3,,475,11,1
Shrinking,Apple TV+,,12,9,101,83,3,-3,55,52,3,,464,446,1
Anne,N/A,ITV1,12,2,64,14,1,8,50,5,1,,266,39,1
The Americans,N/A,NBC,12,11,50,40,1,5,46,33,1,,226,174,1
Lost,N/A,jTBC,12,12,38,38,1,7,68,53,4,04-02-2023,373,304,1
Believe,N/A,NBC,11,8,65,56,1,2,67,45,4,04-02-2023,348,237,1
The British,N/A,Sky Atlantic,11,11,41,41,1,4,65,49,3,04-02-2023,389,310,1
Search,N/A,OCN,11,7,40,21,1,10,34,16,1,,83,50,1
Sona,YouTube,,11,0,37,0,7,-3,98,0,7,,392,0,1
Barry,N/A,HBO,11,11,13,13,1,3,44,30,2,,262,173,1
Reservation Dogs,Hulu,,10,9,72,70,1,6,24,18,1,,154,125,1
Icon,N/A,Hallmark Channel,10,9,62,52,1,10,25,18,1,,109,76,1
The Sopranos,N/A,HBO,10,9,59,47,3,-4,68,51,4,,376,287,1
Amazon,N/A,Syndication,10,9,55,50,1,5,60,44,3,,305,216,1
Away,Netflix,,10,9,47,34,2,-1,78,54,6,,504,375,1
Aile,N/A,Show TV,10,0,43,0,1,3,30,0,1,,199,0,4
Persona,Netflix,,10,0,36,0,3,-3,83,0,4,,351,0,1
GOLD,N/A,Fuji TV,10,3,35,18,1,2,46,7,1,,227,42,1
Sort Of,CBC Gem,,10,10,31,31,1,5,50,37,1,,286,222,1
Ted Lasso,Apple TV+,,10,9,30,23,5,-2,76,49,5,,408,247,1
Pose,N/A,FX,10,2,28,13,1,1,79,11,4,,252,35,1
Lockwood & Co.,Netflix,,9,2,69,12,0,0,48,14,2,11-02-2023,376,125,1
Delete,N/A,REELZ,9,0,36,0,0,0,57,0,3,,76,0,1
The Deleted,fullscreen,,9,9,36,36,0,0,46,35,2,,63,44,1
Wanted,N/A,SBS,9,9,27,27,0,0,72,48,4,,454,240,1
Fringe,N/A,FOX,9,9,21,21,0,0,22,17,0,,94,80,1
Catch,N/A,NPO 3,8,6,65,28,0,0,54,30,0,,342,194,1
Money,N/A,BBC Two,8,8,62,62,0,0,25,17,0,,150,110,1
This Week,N/A,BBC One,8,7,57,36,0,0,78,43,5,11-02-2023,580,355,1
Happy Valley,N/A,BBC One,8,8,47,47,0,0,64,48,3,,396,280,1
The Rig,Prime Video,,8,1,47,3,0,0,59,10,2,,336,35,1
Cult,N/A,The CW,8,6,45,29,0,0,49,14,0,,263,105,1
Easy,Netflix,,8,8,45,45,0,0,61,46,2,11-02-2023,363,299,1
Liar,N/A,ITV1,8,8,42,42,0,0,35,26,1,11-02-2023,172,133,1
The Premise,Hulu,,8,8,42,42,0,0,61,52,2,11-02-2023,349,312,1
Home,Apple TV+,,8,3,41,16,0,0,67,26,2,11-02-2023,393,151,1
Hero,N/A,MBC,8,4,34,23,0,0,68,22,3,,397,133,1
Kept,N/A,VH1,8,7,34,32,0,0,43,33,1,,191,141,1
Strike,BBC iPlayer,,8,8,30,30,0,0,23,17,0,,91,73,1
Skin,N/A,FOX,8,1,25,5,0,0,24,1,0,,72,5,1
Alone,N/A,History,8,8,24,24,0,0,42,27,0,,159,102,1
The Murders,N/A,Citytv,8,8,24,24,0,0,23,20,0,,124,108,1
The Act,Hulu,,8,0,8,0,0,0,104,0,6,11-02-2023,622,0,1
Anna,N/A,Sky Atlantic,7,7,98,98,0,0,37,24,0,,363,263,1
Clark,Netflix,,7,0,65,0,0,0,12,1,0,,76,2,1
Class,Netflix,,7,3,61,8,0,0,47,8,0,,307,44,1
Succession,N/A,HBO,7,6,56,44,0,0,76,42,3,11-02-2023,481,239,1
Warrior,HBO Max,,7,7,55,55,0,0,24,21,0,,142,113,1
Slow Horses,Apple TV+,,7,6,55,43,0,0,92,35,4,,866,352,1
Cunk on Earth,BBC iPlayer,,7,5,55,45,0,0,24,18,1,11-02-2023,203,180,1
Silicon Valley,N/A,HBO,7,7,43,43,0,0,13,11,0,,62,54,1
Loving,N/A,ABC,7,7,42,42,0,0,60,46,2,,388,297,1
Today,N/A,NBC,7,7,40,40,0,0,41,28,0,,222,133,1
The Middle,N/A,ABC,7,7,38,38,0,0,39,28,0,,231,134,1
Banshee,N/A,Cinemax,7,6,34,33,0,0,30,22,0,,172,101,1
The Writer,N/A,MBC Drama,7,1,31,10,0,0,38,9,0,,154,47,1
Evil,Paramount+,,7,6,27,17,0,0,86,47,3,11-02-2023,385,203,1
STAT,N/A,ICI Radio-Canada Télé,7,1,27,1,0,0,21,1,1,11-02-2023,94,1,6
Sent,N/A,HBO Asia,7,3,26,18,0,0,69,14,2,11-02-2023,347,70,1
Random,YouTube,,7,7,26,26,0,0,43,22,0,,150,76,1
Rush,N/A,Network 10,7,5,21,16,0,0,35,10,1,,131,33,1
Push,N/A,ABC,7,2,5,-7,0,0,25,10,0,,85,25,1
Trop,ICI Tou.tv,,7,0,-9,0,0,0,33,0,0,,116,0,1
Brot,N/A,Ríkisútvarpið,6,0,71,0,0,0,47,0,1,,280,0,1
Severance,Apple TV+,,6,6,52,52,0,0,126,70,6,11-02-2023,956,611,1
The Boys,Prime Video,,6,5,43,42,0,0,34,20,0,,241,140,1
Rome,N/A,HBO,6,5,42,13,0,0,19,12,0,,83,29,1
Cross,Prime Video,,6,5,39,39,0,0,43,19,1,,224,100,1
Review,N/A,Comedy Central,6,3,36,26,0,0,76,12,4,,333,84,1
True Detective,N/A,HBO,6,4,35,30,0,0,21,16,0,,134,103,1
Halfway,N/A,BBC Two Wales,6,6,35,35,0,0,35,27,0,,254,191,1
Baby,Netflix,,6,2,34,16,0,0,28,9,0,,132,51,1
Game of Thrones,N/A,HBO,6,6,33,33,0,0,26,21,0,,163,134,1
Release,Topic,,6,3,30,10,0,0,74,21,3,11-02-2023,398,120,1
Played,N/A,CTV,6,6,29,29,0,0,91,76,4,11-02-2023,546,424,1
The Killing,Shahid,,6,5,27,23,0,0,18,14,0,,90,76,1
Missing,N/A,BBC One,6,6,27,27,0,0,46,32,1,,201,121,1
The Missing,N/A,Discovery Channel,6,6,27,27,0,0,41,32,1,,176,121,1
Sign,N/A,TV Asahi,6,3,26,16,0,0,44,12,0,,218,44,1
Blood,N/A,Virgin Media One,6,6,25,25,0,0,51,30,2,11-02-2023,305,107,1
Case,N/A,Stöð 2,6,6,22,22,0,0,60,37,2,11-02-2023,272,184,1
Monster,N/A,NRK1,6,5,21,15,0,0,29,12,0,,129,44,1
The Plot,Disney+,,6,4,21,11,0,0,66,38,1,,342,201,1
Norm,N/A,ABC,6,0,19,0,0,0,49,1,0,,261,1,1
Utopia,Prime Video,,6,6,18,18,0,0,15,12,0,,46,38,1
Major,N/A,NHK,6,5,16,14,0,0,45,28,1,,205,149,1
The Afterparty,Apple TV+,,6,6,16,16,0,0,14,10,0,,45,28,1
Fortuna,N/A,NRK1,6,0,15,0,0,0,41,0,0,,178,0,1
The Great,Hulu,,6,2,14,6,0,0,57,22,2,,212,106,1
Space,N/A,CBS,6,6,13,13,0,0,45,28,0,,234,175,1
Medic,N/A,NBC,6,4,13,11,0,0,31,11,0,,222,102,1
Wanna,Netflix,,5,5,87,87,0,0,12,9,0,,130,122,1
Asur,Voot,,5,0,83,0,0,0,27,0,0,,146,0,1
Threads,go90,,5,5,76,76,0,0,23,14,0,,160,116,1
1899,Netflix,,5,5,69,69,0,0,37,13,1,,333,131,1
