name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Slow Burn,N/A,EPIX,7,31,0,0,9,0,,50,1
Rain,MX Player,,7,31,0,0,9,0,,60,1
The Great,Hulu,,7,30,0,0,16,0,,49,1
Connect,Disney+,,7,29,0,0,12,0,,52,1
Ghosts,N/A,CBS,7,28,0,0,8,0,,31,1
Willow,Disney+,,7,27,0,0,8,0,,32,1
Easy,Netflix,,7,25,0,0,15,0,,64,1
Skin,N/A,FOX,7,24,0,0,8,0,,25,1
Released,N/A,Oprah Winfrey Network,7,23,0,0,15,0,,56,1
Fortuna,N/A,NRK1,7,23,0,0,11,0,,35,1
rage,N/A,ABC,7,20,0,0,13,0,,26,1
Asur,Voot,,7,20,0,0,14,0,,39,1
The Americans,N/A,NBC,7,19,0,0,11,0,,39,1
Pink,YouTube,,7,18,0,0,9,0,,34,1
With You,iQIYI,,7,11,0,0,10,0,,15,1
The Expecting,Quibi,,6,87,0,0,6,0,,87,1
Brot,N/A,Ríkisútvarpið,6,73,0,0,11,0,,105,1
Rising,Hill.TV,,6,73,0,0,15,0,,136,1
Copenhagen Cowboy,Netflix,,6,46,0,0,8,0,,47,1
Hagen,N/A,CBS,6,46,0,0,6,0,,46,2
The Writer,N/A,MBC Drama,6,45,0,0,11,0,,59,1
Detective,N/A,Lifetime,6,40,0,0,12,0,,82,1
Ella,N/A,VTM,6,39,0,0,15,0,,92,1
Lost,N/A,jTBC,6,34,0,0,14,0,,67,1
Alone,N/A,History,6,33,0,0,13,0,,51,1
Black Bird,Apple TV+,,6,32,0,0,14,0,,93,1
Broadchurch,N/A,ITV1,6,31,0,0,10,0,,46,1
Bizarre,N/A,CTV,6,31,0,0,8,0,,49,1
Ramo,N/A,Show TV,6,29,0,0,11,0,,41,1
Go On,N/A,NBC,6,27,0,0,10,0,,49,1
Doom Patrol,N/A,Cartoon Network,6,27,0,0,7,0,,30,1
Drive,N/A,FOX,6,26,0,0,8,0,,31,1
Better Call Saul,N/A,AMC,6,23,0,0,14,0,,84,1
Case,N/A,Stöð 2,6,23,0,0,18,0,06-01-2023,69,1
The Mandalorian,Disney+,,6,23,0,0,7,0,,27,1
The Mosquito Coast,Apple TV+,,6,23,0,0,7,0,,29,1
Treme,N/A,HBO,6,20,0,0,13,0,,73,1
Caught,N/A,CBC,6,20,0,0,11,0,,38,1
The Head,HBO Max,,6,19,0,0,12,0,,34,1
Threads,go90,,6,18,0,0,9,0,,44,1
Bert,N/A,SVT1,6,18,0,0,7,0,,19,1
The Dragon Prince,Netflix,,6,14,0,0,8,0,,23,1
Prodigy,Quibi,,6,11,0,0,8,0,,21,1
Elementary,N/A,CBS,5,78,0,0,8,0,,83,1
Psycho,N/A,ARTE,5,60,0,0,12,0,,90,1
Catch,N/A,NPO 3,5,49,0,0,15,0,06-01-2023,76,1
Banshee,N/A,Cinemax,5,39,0,0,7,0,,70,1
The Devil's Hour,Prime Video,,5,39,0,0,12,0,,55,1
Blood,N/A,Virgin Media One,5,38,0,0,15,0,06-01-2023,110,1
Gate,N/A,Tokyo MX,5,37,0,0,9,0,,68,1
Blue,Hulu,,5,37,0,0,8,0,,54,1
GOLD,N/A,Fuji TV,5,37,0,0,10,0,,69,1
Rita,N/A,TV2,5,36,0,0,9,0,,51,1
Loving,N/A,ABC,5,36,0,0,14,0,,91,1
Welcome,N/A,KBS2,5,36,0,0,9,0,,46,1
All In,N/A,SBS,5,35,0,0,10,0,,58,1
The Glory,Netflix,,5,35,0,0,10,0,,61,1
Suspense,N/A,BBC One,5,33,0,0,7,0,,41,1
Medic,N/A,NBC,5,27,0,0,9,0,,64,1
Ozark,Netflix,,5,25,0,0,6,0,,35,1
Click,N/A,BBC News,5,24,0,0,7,0,,38,1
The Lord of the Rings: The Rings of Power,Prime Video,,5,24,0,0,8,0,,58,1
Peaky Blinders,N/A,BBC One,5,23,0,0,7,0,,56,1
Guilt,BBC iPlayer,,5,23,0,0,6,0,,25,1
The Project,N/A,Network 10,5,23,0,0,5,0,,23,1
Anne,N/A,ITV1,5,23,0,0,12,0,,78,1
Baby,Netflix,,5,23,0,0,8,0,,33,1
Locked,aha,,5,23,0,0,7,0,,29,1
The Promise,N/A,Channel 4,5,22,0,0,5,0,,22,1
Rush,N/A,Network 10,5,21,0,0,6,0,,29,1
