name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
The Last of Us,N/A,HBO,76,61,586,509,2,22,138,102,2,,1107,898,1
Played,N/A,CTV,33,33,237,237,2,15,65,51,2,,424,304,1
Happy,N/A,NBC,26,26,176,176,4,11,67,41,4,,454,270,1
Severance,Apple TV+,,24,24,148,148,4,7,93,41,4,,658,309,1
The Act,Hulu,,18,0,159,0,4,1,69,0,4,,402,0,1
Brot,N/A,Ríkisútvarpið,18,0,62,0,1,13,34,0,1,,192,0,1
Happy Valley,N/A,BBC One,17,17,110,110,2,7,42,26,2,,290,174,1
Black,N/A,OCN,16,15,60,69,4,3,69,25,4,,391,172,1
That '90s Show,Netflix,,15,3,130,42,1,12,18,3,1,,135,42,1
Away,Netflix,,15,15,70,70,4,5,48,25,4,,238,122,1
Review,N/A,Comedy Central,14,3,67,19,4,-2,57,5,4,,238,31,1
Trying,Apple TV+,,14,14,37,37,4,-1,50,29,4,,151,74,1
Sona,YouTube,,13,0,62,0,4,-4,55,0,4,,219,0,1
House,N/A,FOX,13,13,47,47,4,-7,66,30,4,,313,113,1
Evil,Paramount+,,13,11,39,35,1,5,54,19,1,14-01-2023,262,96,1
This Week,N/A,BBC One,12,12,77,77,4,2,48,20,4,,297,131,1
Extra,N/A,Syndication,12,0,73,0,1,8,23,2,1,,169,6,1
Amazon,N/A,Syndication,12,12,59,59,2,1,38,23,2,,198,114,1
Slow Horses,Apple TV+,,11,10,150,148,4,0,75,21,4,,755,261,1
Easy,Netflix,,11,11,122,122,1,2,35,20,1,,237,173,1
Sisters,N/A,Network 10,11,11,95,95,1,7,33,15,1,,287,151,1
Ted Lasso,Apple TV+,,11,8,67,57,2,1,42,17,2,,248,97,1
Extraordinary,Disney+,,11,11,63,63,1,9,16,13,1,,135,78,1
Major,N/A,NHK,11,11,46,46,1,5,31,16,1,,130,79,1
The Plot,Disney+,,11,10,46,42,1,2,42,18,1,14-01-2023,196,72,1
Hunter,N/A,CBS,11,1,32,7,2,-2,35,1,2,,158,7,1
Legend,N/A,UPN,10,9,82,69,1,6,20,13,1,,166,93,1
Poker Face,Peacock,,10,10,82,82,1,10,10,10,1,,82,82,1
The One,Netflix,,10,8,74,61,2,0,32,17,2,,180,110,1
The White Lotus,N/A,HBO,10,10,56,56,1,2,52,18,1,14-01-2023,314,130,1
Family,N/A,ITV1,10,10,49,49,4,-1,52,21,4,,325,122,1
Connect,Disney+,,10,1,43,9,1,7,25,2,1,,115,10,1
Lost,N/A,jTBC,10,10,41,41,2,-2,36,22,2,,146,79,1
Derry Girls,N/A,Channel 4,10,9,40,36,1,8,16,10,1,,76,52,1
The British,N/A,Sky Atlantic,10,9,31,29,1,4,30,15,1,14-01-2023,114,58,1
The Wire,N/A,HBO,10,10,28,28,2,-1,33,21,2,,228,106,1
Hunters,Prime Video,,10,10,25,25,2,-3,28,23,2,,83,62,1
Servant,Apple TV+,,9,9,69,69,0,0,23,19,1,20-01-2023,148,107,1
Chemistry,N/A,Cinemax,9,9,64,64,0,0,15,10,0,,82,65,1
Home,Apple TV+,,9,7,56,29,0,0,35,10,0,,199,33,1
Persona,Netflix,,9,0,51,0,0,0,43,0,1,20-01-2023,187,0,1
Power,N/A,STARZ,9,7,49,45,0,0,36,11,0,,233,69,1
Huge,N/A,FreeForm,9,9,48,48,0,0,21,13,0,,86,63,1
Cult,N/A,The CW,9,2,46,2,0,0,33,5,0,,144,41,1
Wanted,N/A,SBS,9,9,46,46,0,0,43,19,3,20-01-2023,282,68,1
The Premise,Hulu,,9,9,46,46,0,0,24,15,0,,104,67,1
Murder,N/A,BBC Two,9,4,45,15,0,0,44,12,0,,249,50,1
Elementary,N/A,CBS,9,8,43,38,0,0,22,13,0,,141,53,1
Breaking Bad,N/A,AMC,9,8,22,19,0,0,25,9,0,,101,24,1
Popular,N/A,The WB,9,7,20,14,0,0,28,13,0,,89,34,1
Brothers,N/A,Showtime,9,8,16,13,0,0,17,11,0,,114,36,1
The Brothers,N/A,BBC One,9,8,16,13,0,0,14,11,0,,92,36,1
Sent,N/A,HBO Asia,9,3,11,-6,0,0,41,5,0,,183,-1,1
Sunday,N/A,See,8,8,93,93,0,0,15,10,0,,169,116,1
Aile,N/A,Show TV,8,0,92,0,0,0,8,0,0,,92,0,4
Acapulco,Apple TV+,,8,7,90,86,0,0,26,15,0,,180,135,1
Bad Sisters,Apple TV+,,8,8,87,87,0,0,29,12,0,,266,143,1
Fleishman is in Trouble,Hulu,,8,7,81,77,0,0,33,14,0,,308,158,1
Bang,N/A,S4C,8,4,69,20,0,0,17,4,0,,110,20,1
Halfway,N/A,BBC Two Wales,8,8,63,63,0,0,21,13,0,,175,112,1
Pose,N/A,FX,8,0,58,0,0,0,51,5,3,20-01-2023,187,10,1
Abbott Elementary,N/A,ABC,8,7,52,47,0,0,17,9,0,,80,55,1
Zero,Netflix,,8,8,47,47,0,0,19,9,0,,96,56,1
Treme,N/A,HBO,8,2,46,4,0,0,30,4,0,,180,19,1
Release,Topic,,8,6,46,35,0,0,42,12,1,20-01-2023,210,65,1
The Leftovers,N/A,HBO,8,8,45,45,0,0,24,14,0,,127,70,1
The Boys,Prime Video,,8,7,45,42,0,0,22,9,0,,172,72,1
Six Feet Under,N/A,HBO,8,7,44,41,0,0,14,11,0,,78,60,1
Monk,N/A,USA Network,8,4,44,17,0,0,16,5,0,,77,19,1
Peacock,BBC iPlayer,,8,7,44,39,0,0,22,14,0,,101,71,1
Gran,N/A,BBC One,8,1,43,4,0,0,15,1,0,,68,4,1
The Expanse,Prime Video,,8,6,39,33,0,0,41,19,2,20-01-2023,256,185,1
Pachinko,Apple TV+,,8,8,39,39,0,0,22,15,0,,108,70,1
Faith,N/A,ITV1,8,1,38,10,0,0,19,4,0,,92,18,1
Detective,N/A,Lifetime,8,7,31,30,0,0,28,15,0,,153,70,1
The Sopranos,N/A,HBO,8,8,30,30,0,0,30,15,0,,162,90,1
The Devil,N/A,KBS2,8,8,30,30,0,0,24,11,0,,105,54,1
Vikings,N/A,BBC Two,8,8,29,29,0,0,20,16,0,,126,64,1
Thriller,N/A,ITV1,8,8,21,21,0,0,27,12,0,,153,59,1
Believe,N/A,NBC,8,8,19,19,0,0,36,18,2,20-01-2023,179,75,1
Band of Brothers,N/A,HBO,8,7,9,6,0,0,13,10,0,,41,29,1
Ella,N/A,VTM,7,2,77,18,0,0,32,5,1,20-01-2023,194,-12,1
