name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Doom Patrol,N/A,Cartoon Network,7,7,27,27,0,0,14,7,0,,57,27,1
Rogue,N/A,Audience Network,7,7,26,26,0,0,20,7,0,,78,26,1
Cult,N/A,The CW,7,3,26,39,0,0,24,3,0,14-01-2023,98,39,1
Anne,N/A,ITV1,7,2,24,16,0,0,19,2,0,,102,16,1
Velma,HBO Max,,7,6,24,23,0,0,10,6,0,,44,23,1
Today,N/A,NBC,7,6,23,21,0,0,19,6,0,,110,21,1
Yellowstone,N/A,Paramount Network,7,7,23,23,0,0,43,7,0,14-01-2023,170,23,1
Popular,N/A,The WB,7,6,21,20,0,0,19,6,0,,69,20,1
Twin Peaks,N/A,Showtime,7,7,18,18,0,0,7,7,0,,18,18,1
Twin,NRK TV,,7,7,18,18,0,0,7,7,0,,18,18,1
Mr Inbetween,N/A,FX,6,3,130,68,0,0,28,3,0,,291,68,1
The InBetween,N/A,NBC,6,6,130,130,0,0,15,6,0,,219,130,1
This is Going to Hurt,BBC iPlayer,,6,5,77,58,0,0,10,5,0,,108,58,1
For All Mankind,Apple TV+,,6,5,73,62,0,0,27,5,0,,168,62,1
Sold,N/A,ITV1,6,1,54,11,0,0,9,1,0,,89,11,1
Major,N/A,NHK,6,5,32,33,0,0,20,5,0,,84,33,1
House of the Dragon,N/A,HBO,6,2,32,14,0,0,24,2,0,,169,14,1
The Thing,N/A,NBC,6,5,31,21,0,0,10,5,0,,43,21,1
The British,N/A,Sky Atlantic,6,6,29,29,0,0,20,6,0,14-01-2023,83,29,1
The Glory,Netflix,,6,6,28,28,0,0,16,6,0,,89,28,1
Kingdom,N/A,Mnet,6,5,27,24,0,0,11,5,0,,52,24,1
Succession,N/A,HBO,6,6,27,27,0,0,38,6,0,14-01-2023,252,27,1
Paris,N/A,Channel 4,6,0,27,0,0,0,15,0,0,,77,0,1
Caught,N/A,CBC,6,6,26,26,0,0,17,6,0,,64,26,1
The Capture,BBC iPlayer,,6,4,26,12,0,0,19,4,0,,65,12,1
The Leftovers,N/A,HBO,6,6,25,25,0,0,16,6,0,,82,25,1
Touch,N/A,FOX,6,2,25,9,0,0,15,2,0,,84,9,1
Atlanta,N/A,FX,6,6,24,24,0,0,15,6,0,,79,24,1
Return,N/A,SBS,6,5,23,21,0,0,12,5,0,,61,21,1
Fortuna,N/A,NRK1,6,0,23,0,0,0,17,0,0,,58,0,1
The Premise,Hulu,,6,6,21,21,0,0,15,6,0,,58,21,1
The Rehearsal,N/A,HBO,6,6,18,18,0,0,13,6,0,,58,18,1
The Challenge,N/A,MTV,6,1,14,1,0,0,7,1,0,,19,1,1
The Writer,N/A,MBC Drama,6,1,14,2,0,0,17,1,0,,73,2,1
Gone,N/A,Investigation Discovery,6,6,13,13,0,0,14,6,0,,30,13,1
Rising,Hill.TV,,6,2,13,3,0,0,21,2,0,,149,3,1
Coming Up,N/A,Channel 4,6,6,11,11,0,0,6,6,0,,11,11,1
Halfway,N/A,BBC Two Wales,5,5,49,49,0,0,13,5,0,,112,49,1
Drive,N/A,FOX,5,1,46,7,0,0,13,1,0,,77,7,1
Anna,N/A,Sky Atlantic,5,4,45,42,0,0,16,4,0,,140,42,1
Foundation,Apple TV+,,5,4,32,30,0,0,11,4,0,,55,30,1
The Foundation,N/A,Showcase,5,4,32,30,0,0,6,4,0,,33,30,1
Harley Quinn,HBO Max,,5,4,30,29,0,0,6,4,0,,38,29,1
Riot,N/A,FOX,5,5,29,29,0,0,15,5,0,,49,29,1
Patriot,Prime Video,,5,5,29,29,0,0,15,5,0,,49,29,1
Class,BBC Three,,5,2,29,15,0,0,27,2,0,14-01-2023,152,15,1
Mythic Quest,Apple TV+,,5,5,29,29,0,0,22,5,0,,139,29,1
Crash,N/A,STARZ,5,5,28,28,0,0,9,5,0,,56,28,1
Bizarre,N/A,CTV,5,5,28,28,0,0,13,5,0,,77,28,1
Brot,N/A,Ríkisútvarpið,5,0,25,0,0,0,16,0,0,,130,0,1
Good Job,N/A,ENA,5,5,25,25,0,0,6,5,0,,30,25,1
Aspe,N/A,VTM,5,0,24,0,0,0,17,0,0,,89,0,1
SAS: Rogue Heroes,BBC iPlayer,,5,1,24,3,0,0,17,1,0,,75,3,1
Train,N/A,OCN,5,3,24,8,0,0,9,3,0,,59,8,1
Money,N/A,BBC Two,5,5,23,23,0,0,12,5,0,,62,23,1
Beat,Prime Video,,5,3,22,14,0,0,10,3,0,,40,14,1
1883,Paramount+,,5,5,22,22,0,0,29,5,0,,112,22,1
