name,streaming,network,mentions,score,week added,largest week,largest week amt
Money,N/A,BBC Two,237,1262,1,20,17
The Middle,N/A,ABC,236,1449,1,7,10
The Writer,N/A,MBC Drama,233,1203,1,19,9
Lore,Prime Video,,232,1472,1,18,11
Liar,N/A,ITV1,231,1464,1,29,13
Return,N/A,SBS,231,1438,1,1,10
Major,N/A,NHK,231,1042,1,41,11
Stupid,N/A,BBC One,230,978,1,32,12
Mad Men,N/A,AMC,229,1243,1,17,12
Out There,N/A,IFC,228,1201,1,6,8
Fortuna,N/A,NRK1,228,831,1,23,10
Dogs,Netflix,,224,1515,1,37,16
Gran,N/A,BBC One,223,1054,1,32,12
Shadows,N/A,ITV1,221,1501,1,26,15
Tonight,N/A,ITV1,221,1469,1,3,10
Medic,N/A,NBC,221,1373,1,18,11
Phenom,N/A,ABC,220,1980,1,16,10
Queen,MX Player,,220,1155,1,42,25
Pachinko,Apple TV+,,219,2093,11,14,33
The Old Man,N/A,FX,219,1854,3,23,33
Epic,N/A,Destination America,219,1258,1,33,12
Working,N/A,NBC,218,1545,1,20,11
David,N/A,TNT,218,1169,1,18,10
Hack,N/A,CBS,216,1457,1,20,30
Arcane,Netflix,,216,1263,1,35,16
Rush,N/A,Network 10,216,1150,1,33,11
Dude,Prime Video,,214,999,1,24,12
Peaky Blinders,N/A,BBC One,214,954,1,10,13
With You,iQIYI,,214,766,1,29,9
Peacock,BBC iPlayer,,213,951,1,36,12
Bad Sisters,Apple TV+,,212,2044,31,37,28
True Detective,N/A,HBO,212,1352,1,26,13
Five,N/A,Fuji TV,210,1513,1,32,14
Drive,N/A,FOX,209,1015,1,11,10
Welcome,N/A,KBS2,207,1159,1,32,11
Zero,Netflix,,207,920,1,3,8
Flag,N/A,Sky PerfecTV,206,1559,3,11,21
Connect,Disney+,,206,1112,1,31,9
What We Do in the Shadows,N/A,FX,205,1430,1,33,14
Supernatural,N/A,BBC One,205,940,1,40,14
Justified,N/A,FX,204,1062,1,3,11
Limit,N/A,TV Tokyo,199,1195,1,10,9
Banshee,N/A,Cinemax,199,981,1,33,14
STEVE,N/A,Syndication,198,1217,1,36,10
All In,N/A,SBS,197,1222,1,40,13
Community,Yahoo! View,,195,972,1,4,9
Wednesday,Netflix,,194,1392,1,45,61
Stuck,N/A,TLC,194,1290,1,3,9
Cobra,N/A,Syndication,193,1426,1,1,42
COBRA,Sky Go,,193,1426,1,1,42
Ghost,N/A,SBS,193,932,1,41,12
The Scene,YouTube,,192,1007,1,21,9
Push,N/A,ABC,191,891,1,14,9
The Rehearsal,N/A,HBO,190,2118,26,26,29
Abbott Elementary,N/A,ABC,190,1246,1,15,10
Random,YouTube,,188,910,1,3,8
Romance,N/A,France 2,187,895,1,45,11
Cobra Kai,Netflix,,186,1416,1,1,40
Chernobyl,N/A,HBO,185,1076,1,31,15
Train,N/A,OCN,185,973,1,6,11
Monk,N/A,USA Network,185,864,1,10,17
Winning Time: The Rise of the Lakers Dynasty,N/A,HBO,184,1581,10,12,21
Soap,N/A,ABC,182,842,1,49,10
Dexter,N/A,Showtime,181,1069,1,2,28
Black Sails,N/A,STARZ,181,904,1,11,10
Player,N/A,OCN,180,1096,1,22,14
Mental,France tv slash,,180,791,1,29,9
Dope,Netflix,,179,1214,1,29,12
100%,N/A,Channel 5,179,804,1,8,7
Rome,N/A,HBO,179,757,1,30,7
She-Hulk: Attorney at Law,Disney+,,178,1594,18,32,24
Hacks,HBO Max,,178,1296,2,20,29
Halo,Paramount+,,178,1007,1,14,29
Slow Burn,N/A,EPIX,178,969,1,15,13
Mani,Brat,,177,1000,1,41,11
Psycho,N/A,ARTE,177,944,1,10,10
Paris,N/A,Channel 4,177,877,1,2,13
Homeland,N/A,Showtime,177,719,1,24,13
Reservation Dogs,Hulu,,174,1351,1,34,15
Empire,N/A,CBS,174,1064,1,39,14
Riot,N/A,FOX,174,973,1,49,19
Beat,Prime Video,,173,879,1,15,9
Camp,N/A,NBC,173,874,1,11,10
Moon Knight,Disney+,,172,1080,3,14,31
Mother,N/A,tvN,172,929,1,44,11
The Premise,Hulu,,172,901,1,14,9
Brain,N/A,KBS2,172,894,1,12,10
Brothers,N/A,Showtime,171,1031,1,3,9
Legend,N/A,UPN,171,951,1,6,12
Ramo,N/A,Show TV,171,886,1,15,9
Deadwood,N/A,HBO,171,804,1,3,11
Twin,NRK TV,,170,879,1,16,12
We Own This City,N/A,HBO,169,1436,8,18,29
The Patient,Hulu,,169,1243,9,33,22
Extra,N/A,Syndication,168,1109,1,33,8
GOLD,N/A,Fuji TV,167,1079,1,6,7
ReBoot,N/A,YTV,167,858,1,36,19
Reboot,Hulu,,167,858,1,36,19
Voice,N/A,OCN,167,770,1,2,17
The Mandalorian,Disney+,,165,905,1,2,14
