name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Band of Brothers,N/A,HBO,7,6,34,31,0,0,63,55,0,,316,264,1
Severance,Apple TV+,,7,6,32,25,0,0,388,313,19,,2452,2012,1
Agent,TV2 Play,,7,7,27,27,0,0,196,165,6,,1242,1075,1
Lost,N/A,jTBC,7,6,26,22,0,0,463,433,25,05-08-2023,2498,2339,1
Easy,Netflix,,7,7,26,26,0,0,248,232,8,,1658,1591,1
100%,N/A,Channel 5,7,7,15,15,0,0,108,97,0,,620,586,1
How To with John Wilson,N/A,HBO,6,6,64,64,0,0,25,22,0,,224,197,1
Finally,N/A,MBC,6,6,58,58,0,0,215,214,11,05-08-2023,1916,1894,14
This Week,N/A,BBC One,6,5,56,50,0,0,376,266,22,05-08-2023,3130,2317,1
The Crossover,Disney+,,6,5,56,44,0,0,27,21,0,,142,113,9
Amazon,N/A,Syndication,6,6,50,50,0,0,282,259,12,,2062,1930,1
Aile,N/A,Show TV,6,0,48,0,0,0,262,0,12,05-08-2023,1316,0,4
Popular,N/A,The WB,6,6,43,43,0,0,162,139,0,,788,680,1
Space,N/A,CBS,6,4,41,37,0,0,178,138,1,,892,737,1
Move,Netflix,,6,3,36,7,0,0,320,94,13,,1338,485,1
Primeval,N/A,W,6,6,35,35,0,0,54,50,2,05-08-2023,361,337,1
Barry,N/A,HBO,6,5,35,32,0,0,498,461,15,,4170,3905,1
The Musical,N/A,SBS,6,5,33,30,0,0,56,42,0,,354,284,1
Review,N/A,Comedy Central,6,0,29,0,0,0,297,71,12,,1564,369,1
Banshee,N/A,Cinemax,6,6,28,28,0,0,154,133,3,,802,667,1
Missing,N/A,BBC One,6,6,27,27,0,0,165,150,2,,924,839,1
The Missing,N/A,Discovery Channel,6,6,27,27,0,0,160,150,2,,899,839,1
Sent,N/A,HBO Asia,6,2,27,2,0,0,288,110,9,,1582,650,1
Ted Lasso,Apple TV+,,6,4,25,21,0,0,540,488,23,,4314,3974,1
Peacemaker,Max,,6,6,24,24,0,0,29,20,0,,135,65,1
Sweet Tooth,Netflix,,6,6,24,24,0,0,64,63,2,,473,472,1
Zero,Netflix,,6,5,22,15,0,0,109,93,2,,606,542,1
The Good Place,N/A,NBC,6,5,21,14,0,0,60,51,0,,238,200,1
Class,Netflix,,6,5,20,19,0,0,311,163,11,,2147,1155,1
