name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Will,N/A,TNT,43,41,161,152,25,9,1218,1154,25,,6039,5699,7
Better,BBC iPlayer,,40,36,242,221,25,-8,1277,1243,25,,6623,6496,7
Foundation,Apple TV+,,26,23,144,141,1,17,144,131,3,26-07-2023,976,934,1
The Foundation,N/A,Showcase,26,23,144,141,1,17,139,131,3,26-07-2023,954,934,1
Twisted,JioCinema,,25,25,229,229,1,19,47,47,1,,366,366,1
Twisted Metal,Peacock,,24,23,225,222,1,19,33,32,1,,277,274,18
Hijack,Apple TV+,,24,20,213,184,6,0,154,136,6,,1167,1071,13
The Bear,Hulu,,20,20,222,222,7,1,319,281,9,,2907,2685,1
Silo,Apple TV+,,19,15,137,125,1,13,547,518,12,26-07-2023,4757,4606,8
Justified,N/A,FX,16,16,100,100,3,-11,214,206,7,,1184,1137,1
Lost,N/A,jTBC,16,14,75,71,18,6,456,427,25,,2472,2317,1
The Righteous Gemstones,N/A,HBO,15,15,131,131,1,7,120,114,5,26-07-2023,1127,1078,1
Good Omens,Prime Video,,14,14,114,114,1,10,34,32,1,,259,249,1
The Witcher,Netflix,,14,11,52,38,1,9,80,68,2,,375,315,1
This Fool,Hulu,,13,13,118,118,1,8,28,26,1,,198,187,1
Case,N/A,Stöð 2,13,13,76,76,1,6,282,229,11,,1509,1233,1
Trying,Apple TV+,,13,13,53,53,4,1,461,432,29,,2360,2234,1
Crowded,N/A,NBC,12,12,92,92,1,6,91,91,4,26-07-2023,578,578,1
The Crowded Room,Apple TV+,,12,12,92,92,1,6,86,83,4,26-07-2023,536,523,1
Aile,N/A,Show TV,12,0,81,0,1,6,256,0,12,26-07-2023,1268,0,4
Primeval,N/A,W,12,11,80,74,2,-3,48,44,2,,326,302,1
Warrior,Max,,12,10,70,67,7,0,189,156,7,,1483,1281,1
Ante,N/A,NRK1,12,1,59,9,1,7,45,2,2,,194,18,28
Finally,N/A,MBC,11,11,96,96,1,4,209,208,11,,1858,1836,14
Thriller,N/A,ITV1,11,8,83,38,1,5,228,178,6,26-07-2023,1372,991,1
Shadow,Netflix,,11,1,80,4,3,-1,171,86,7,,1115,527,1
This Week,N/A,BBC One,11,11,74,74,1,6,370,261,22,26-07-2023,3074,2267,1
The Act,Hulu,,11,0,72,0,1,5,452,1,27,26-07-2023,2861,7,1
STAT,N/A,ICI Radio-Canada Télé,11,0,43,0,1,4,262,6,14,,1534,31,6
The After,Prime Video,,10,1,102,5,1,2,74,6,2,26-07-2023,553,32,1
The Afterparty,Apple TV+,,10,10,101,101,1,2,58,53,2,26-07-2023,416,396,1
Shadows,N/A,ITV1,10,9,76,73,1,2,64,55,2,26-07-2023,441,398,1
What We Do in the Shadows,N/A,FX,10,9,76,73,1,2,60,53,2,26-07-2023,424,398,1
Invasion,Apple TV+,,10,10,51,51,7,-5,115,105,7,,867,742,1
Terror,N/A,Viceland,10,5,48,17,1,7,60,34,1,,349,203,1
