name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Will,N/A,TNT,60,57,288,269,14,9,732,688,14,,3707,3454,7
Succession,N/A,HBO,56,53,456,452,12,23,530,471,15,,5189,4713,1
Better,BBC iPlayer,,51,49,275,270,14,10,751,733,14,,3850,3785,7
Silo,Apple TV+,,45,45,495,495,2,-24,121,118,2,,1509,1451,8
Barry,N/A,HBO,34,33,307,306,7,-6,293,268,9,,2640,2451,1
Ted Lasso,Apple TV+,,26,25,194,186,10,6,370,328,17,,3085,2784,1
Power,N/A,STARZ,21,17,65,53,1,12,233,139,9,06-05-2023,1486,757,1
Yellowjackets,N/A,Showtime,19,18,147,134,8,-8,228,198,8,,2416,2223,1
House,N/A,FOX,18,16,79,82,4,7,239,184,12,,1192,908,1
Class,Netflix,,17,11,109,76,3,6,177,88,5,,1286,677,1
Lost,N/A,jTBC,17,16,81,80,7,-16,254,234,14,,1302,1185,1
Amazon,N/A,Syndication,16,16,138,138,1,10,188,166,9,06-05-2023,1352,1231,1
Loving,N/A,ABC,16,16,113,113,9,6,223,209,13,,1783,1692,1
The Leftovers,N/A,HBO,16,15,63,56,3,0,172,151,7,,869,748,1
The Great,Hulu,,15,14,119,115,1,8,133,68,3,,685,407,1
The Act,Hulu,,15,0,118,0,9,-5,297,1,17,,1919,7,1
Sona,YouTube,,15,0,64,0,8,4,304,4,19,,1580,32,1
Severance,Apple TV+,,14,14,97,97,2,-9,273,208,14,,1878,1481,1
STAT,N/A,ICI Radio-Canada Télé,14,0,60,0,10,-4,185,2,11,,1063,4,6
Believe,N/A,NBC,13,13,103,103,3,3,168,137,8,,826,694,1
Trying,Apple TV+,,13,13,77,77,3,1,314,287,19,,1611,1494,1
Persona,Netflix,,13,0,54,0,1,4,257,4,14,06-05-2023,1342,32,1
Catch,N/A,NPO 3,12,10,136,131,3,1,180,125,7,,1333,989,1
Stupid,N/A,BBC One,12,10,114,63,1,7,108,81,1,,454,289,1
Monk,N/A,USA Network,12,2,74,6,1,10,72,15,1,,345,56,1
The Power,Prime Video,,12,11,50,45,1,9,49,47,2,,350,344,1
Black,N/A,OCN,12,8,49,37,2,-4,314,243,18,,1769,1406,1
Family,N/A,ITV1,12,12,43,43,1,7,209,178,11,06-05-2023,1126,923,1
BEEF,Netflix,,11,11,133,133,6,1,242,234,6,,2966,2855,16
Pose,N/A,FX,11,6,83,51,1,3,208,53,10,,830,177,1
Mrs. Davis,Peacock,,10,9,138,122,2,0,41,39,2,,476,459,1
DAVE,N/A,ORF 1,10,9,117,104,1,3,66,55,3,06-05-2023,426,363,1
Sent,N/A,HBO Asia,10,4,105,55,1,1,197,72,7,06-05-2023,1179,468,1
The Premise,Hulu,,10,10,84,84,1,2,169,156,8,06-05-2023,1129,1076,1
Norm,N/A,ABC,10,1,76,17,1,6,130,5,2,06-05-2023,756,32,1
Huge,N/A,Freeform,10,10,69,69,1,5,140,128,5,06-05-2023,833,797,1
12 Monkeys,N/A,Syfy,10,10,68,68,1,10,55,44,1,,287,239,1
Monkey,N/A,NTV,10,0,68,0,1,10,57,3,1,,289,12,1
Keys,YouTube,,10,10,68,68,1,10,57,44,1,,304,248,1
Wanted,N/A,SBS,10,10,55,55,1,3,177,153,8,,899,685,1
rage,N/A,ABC,10,8,51,49,2,-1,147,99,4,,737,539,1
