name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Spy/Master,Max,,5,5,31,31,0,0,5,5,0,,31,31,16
Cold,go90,,5,5,27,27,0,0,34,31,0,,199,189,1
For All Mankind,Apple TV+,,5,4,25,23,0,0,68,44,1,,434,315,1
The Power,Prime Video,,5,5,25,25,0,0,54,52,2,20-05-2023,375,369,1
Release,Topic,,5,3,25,7,0,0,189,56,7,,1009,277,1
Patriot,Prime Video,,5,3,24,20,0,0,90,72,1,,511,474,1
Legend,N/A,UPN,5,3,24,16,0,0,64,42,1,,408,253,1
Mother,N/A,tvN,5,3,23,19,0,0,50,26,0,,243,112,1
Banshee,N/A,Cinemax,5,4,22,12,0,0,107,91,2,,558,442,1
Gate,N/A,Tokyo MX,5,4,22,15,0,0,70,47,0,,371,228,1
The Building,N/A,CBS,5,5,21,21,0,0,118,102,1,,757,657,1
Blind,TVING,tvN,5,0,21,0,0,0,100,35,3,,592,249,1
Sunday,N/A,See,5,3,20,16,0,0,48,36,0,,490,383,1
Peaking,Red Bull TV,,5,5,19,19,0,0,33,29,0,,120,120,1
David,N/A,TNT,5,5,17,17,0,0,89,75,1,,482,425,1
Medic,N/A,NBC,5,3,17,11,0,0,98,60,1,,573,386,1
Bizarre,N/A,CTV,5,5,16,16,0,0,45,36,0,,222,172,1
Normal People,BBC Three,,5,4,16,12,0,0,27,22,0,,137,119,1
Aspe,N/A,VTM,5,0,15,0,0,0,107,0,0,,620,0,1
Sisters,N/A,Network 10,5,2,15,4,0,0,90,64,1,,618,448,1
Alif,N/A,Geo Entertainment,5,0,15,0,0,0,41,0,0,,155,0,1
Bad Sisters,Apple TV+,,5,2,15,4,0,0,84,61,1,,593,442,1
SisterS,RTÉ Player,,5,2,15,4,0,0,7,4,0,,24,13,18
The Answers,N/A,FX,5,4,15,4,0,0,50,46,0,,245,209,1
Played,N/A,CTV,5,5,13,13,0,0,188,173,6,,1071,949,1
Addict,N/A,TF1,5,2,13,6,0,0,49,6,0,,327,39,1
Dexter,N/A,Showtime,5,3,11,7,0,0,50,46,0,,229,223,1
The Bridge,N/A,Channel 4,5,0,7,0,0,0,11,5,0,,40,28,1
Psycho,N/A,ARTE,5,2,0,-7,0,0,71,14,0,,378,34,1
