name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Will,N/A,TNT,64,60,317,298,12,14,621,584,12,,3111,2891,7
Better,BBC iPlayer,,49,46,367,345,12,7,659,646,12,,3362,3311,7
Succession,N/A,HBO,46,46,519,519,10,-4,441,387,13,,4355,3915,1
The Diplomat,Netflix,,38,38,374,374,2,0,83,82,2,,840,815,1
Barry,N/A,HBO,36,36,373,373,5,-1,219,196,7,,1898,1733,1
Ted Lasso,Apple TV+,,26,23,217,189,8,0,324,284,15,,2657,2387,1
BEEF,Netflix,,23,23,216,216,4,-6,221,213,4,,2717,2606,16
Trying,Apple TV+,,22,21,187,172,1,15,289,262,17,22-04-2023,1473,1356,1
Yellowjackets,N/A,Showtime,20,20,247,247,6,-2,182,154,6,,2007,1845,1
Sona,YouTube,,19,0,88,0,6,2,278,4,17,,1460,32,1
The Leftovers,N/A,HBO,19,19,66,66,1,16,140,122,5,22-04-2023,723,617,1
This Week,N/A,BBC One,18,14,193,169,7,1,226,158,14,,1929,1445,1
Finally,N/A,MBC,18,18,126,126,3,5,63,63,3,,516,516,14
The Citadel,N/A,BBC One,16,16,169,169,1,11,25,24,1,,208,205,1
Citadel,Prime Video,,16,16,169,169,1,11,25,24,1,,208,205,1
Lost,N/A,jTBC,16,15,141,103,5,-3,204,186,12,,1019,910,1
Persona,Netflix,,16,0,70,0,6,1,235,4,13,,1240,32,1
Amazon,N/A,Syndication,15,13,163,159,1,9,166,144,8,,1149,1028,1
Away,Netflix,,15,11,69,55,1,6,194,162,13,,1245,1095,1
Power,N/A,STARZ,14,11,150,81,1,5,203,116,8,22-04-2023,1362,637,1
Catch,N/A,NPO 3,14,9,97,84,1,5,157,107,5,,1116,798,1
Breaking Bad,N/A,AMC,14,14,88,88,1,10,142,123,5,22-04-2023,766,686,1
Agent,Netflix,,14,13,58,57,6,3,145,121,6,,929,799,1
The Plot,Disney+,,13,12,132,128,1,4,185,146,6,22-04-2023,1120,885,1
Loving,N/A,ABC,13,13,98,98,7,-1,197,183,11,,1595,1504,1
Family,N/A,ITV1,13,13,84,84,3,0,192,161,10,,1052,849,1
Rabbit Hole,Paramount+,,13,12,84,83,1,6,79,72,5,22-04-2023,586,547,1
Love & Death,HBO Max,,13,13,71,71,1,10,17,17,1,,106,106,7
Happy,N/A,NBC,13,13,58,58,4,0,239,212,14,,1390,1195,1
The Sopranos,N/A,HBO,13,13,52,52,1,10,142,123,7,22-04-2023,761,669,1
The Act,Hulu,,12,0,139,0,7,-9,262,1,15,,1650,7,1
Sent,N/A,HBO Asia,12,4,77,27,1,7,178,64,6,22-04-2023,1017,393,1
House,N/A,FOX,12,9,63,50,2,-5,210,157,10,,1053,766,1
Aile,N/A,Show TV,12,0,41,0,2,1,138,0,7,,678,0,4
Trop,ICI Tou.tv,,12,0,33,0,1,7,92,0,2,,402,0,1
Believe,N/A,NBC,12,12,24,24,1,7,145,114,6,,691,559,1
