name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Strike,BBC iPlayer,,7,5,42,33,0,0,113,94,0,,482,425,1
Woman,N/A,NTV,7,7,40,40,0,0,115,96,0,,563,475,1
Working,N/A,NBC,7,7,38,38,0,0,127,117,1,,767,704,1
The Diplomat,Netflix,,7,7,36,36,0,0,130,126,3,,1157,1120,1
Persona,Netflix,,7,0,35,0,0,0,350,5,18,,1725,35,1
rage,N/A,ABC,7,5,34,24,0,0,210,145,5,,1001,718,1
Boardwalk Empire,N/A,HBO,7,4,30,5,0,0,72,59,1,,371,270,1
Banshee,N/A,Cinemax,7,6,30,25,0,0,140,119,3,01-08-2023,742,607,1
Wanted,N/A,SBS,7,7,28,28,0,0,253,229,11,,1356,1142,1
Fleabag,BBC Three,,7,5,28,22,0,0,75,60,0,,505,369,1
Pose,N/A,FX,7,5,28,16,0,0,292,93,13,,1228,364,1
The Americans,N/A,NBC,7,6,25,20,0,0,211,187,8,,1487,1372,1
Better Call Saul,N/A,AMC,7,4,24,15,0,0,196,128,6,,994,682,1
Trop,ICI Tou.tv,,7,0,23,0,0,0,137,0,2,,625,0,1
Halt and Catch Fire,N/A,AMC,7,6,19,14,0,0,78,67,1,,558,497,1
Mood,BBC iPlayer,,6,6,68,68,0,0,78,65,0,,380,341,1
Hack,N/A,CBS,6,1,64,6,0,0,42,8,0,,288,80,1
Halfway,N/A,BBC Two Wales,6,6,49,49,0,0,135,127,0,,904,841,1
School,N/A,BBC Two,6,5,47,33,0,0,159,133,5,01-08-2023,872,756,1
Chance,Hulu,,6,6,41,41,0,0,188,155,7,01-08-2023,979,842,1
Brot,N/A,Ríkisútvarpið,6,0,40,0,0,0,174,0,2,,922,0,1
Today,N/A,NBC,6,5,39,38,0,0,182,159,3,,1187,1065,1
The Wire,N/A,HBO,6,5,38,33,0,0,264,240,11,,1369,1190,1
Mad Men,N/A,AMC,6,5,32,27,0,0,118,109,2,,723,666,1
Kept,N/A,VH1,6,6,28,28,0,0,196,169,3,,1085,939,1
Psych,N/A,USA Network,6,4,25,11,0,0,142,32,1,,701,130,1
The British,N/A,Sky Atlantic,6,6,25,25,0,0,209,192,6,,1135,1054,1
Sisters,N/A,Network 10,6,5,21,18,0,0,115,84,1,,759,567,1
SisterS,RTÉ Player,,6,5,21,18,0,0,32,24,0,,165,132,18
Lore,Prime Video,,6,4,19,12,0,0,109,57,0,,603,307,1
Addict,N/A,TF1,6,1,17,2,0,0,63,7,0,,417,41,1
The One,Netflix,,6,5,13,10,0,0,187,131,6,01-08-2023,949,759,1
Blood,N/A,Virgin Media One,6,2,10,6,0,0,140,81,4,,706,295,1
Evil,Paramount+,,6,2,10,3,0,0,205,146,5,,931,647,1
Treme,N/A,HBO,5,3,46,35,0,0,168,29,2,,956,148,1
Primeval,N/A,W,5,5,42,42,0,0,21,18,0,,147,129,1
Phenom,N/A,ABC,5,0,40,0,0,0,111,1,0,,1077,1,1
The Other Two,Max,,5,4,38,35,0,0,112,103,2,,828,784,1
Medic,N/A,NBC,5,4,37,33,0,0,128,84,1,,751,521,1
Chernobyl,N/A,HBO,5,4,35,25,0,0,71,60,0,,425,347,1
The Capture,BBC iPlayer,,5,3,33,11,0,0,113,72,0,,515,300,1
Happy Valley,N/A,BBC One,5,5,31,31,0,0,184,167,7,01-08-2023,1184,1066,1
Ella,N/A,VTM,5,1,29,7,0,0,159,57,3,,889,268,1
Sunny,Apple TV+,,5,5,29,29,0,0,62,57,0,,407,383,1
A Small Light,N/A,National Geographic Channel,5,3,28,10,0,0,22,18,0,,191,163,1
The Great,Hulu,,5,2,27,9,0,0,210,116,7,,1160,724,1
Line of Duty,N/A,BBC One,5,5,26,26,0,0,63,58,0,,369,345,1
The Deuce,N/A,HBO,5,5,26,26,0,0,21,17,0,,111,89,1
Slow Horses,Apple TV+,,5,4,26,23,0,0,197,132,5,,1548,991,1
Joe Pickett,Paramount+,,5,4,26,18,0,0,33,28,0,,157,131,1
The Kitchen,N/A,Food Network,5,4,25,22,0,0,25,22,0,,214,209,1
