name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Silo,Apple TV+,,58,57,325,333,9,4,470,450,9,,4249,4135,8
Better,BBC iPlayer,,51,48,212,206,21,0,1112,1085,21,,5728,5636,7
The Bear,Hulu,,40,36,270,248,3,-39,235,202,5,,2219,2039,1
Will,N/A,TNT,40,38,219,203,21,-9,1059,1000,21,,5375,5052,7
Hijack,Apple TV+,,32,30,257,253,2,19,47,43,2,,354,333,13
Lost,N/A,jTBC,26,23,111,100,14,10,401,375,21,,2198,2051,1
The Witcher,Netflix,,23,22,118,116,1,15,50,42,1,,231,196,1
Warrior,Max,,21,19,291,277,3,7,124,97,3,,1021,851,1
Black,N/A,OCN,18,18,128,128,9,-8,489,404,25,,2814,2375,1
Thriller,N/A,ITV1,16,15,152,151,1,11,194,151,4,,1163,850,1
Idol,N/A,TV4,14,14,121,121,1,11,44,42,1,,307,305,1
Black Mirror,Netflix,,14,13,113,98,4,-5,131,120,4,,909,851,1
Severance,Apple TV+,,14,13,60,52,1,5,341,271,17,,2238,1823,1
The Answers,N/A,FX,14,14,40,40,1,8,93,89,1,,423,387,1
The Righteous Gemstones,N/A,HBO,13,11,112,96,2,-3,62,56,2,,658,609,1
The Idol,N/A,HBO,13,13,68,68,1,12,36,36,1,,213,213,1
Strange,N/A,BBC One,13,10,58,53,3,-7,222,149,8,,1104,816,1
Amazon,N/A,Syndication,12,12,191,191,1,5,257,235,12,,1922,1801,1
The Act,Hulu,,12,0,90,0,16,0,397,1,24,,2579,7,1
Invasion,Apple TV+,,12,12,73,73,3,-7,63,56,3,,483,420,1
Secret Invasion,Disney+,,12,12,73,73,3,-6,51,46,3,,423,365,1
Anne,N/A,ITV1,11,1,67,5,1,7,205,32,7,25-06-2023,1130,205,1
Home,Apple TV+,,11,7,49,30,1,4,217,102,5,,1132,566,1
Family,N/A,ITV1,11,11,46,46,8,-7,308,273,18,,1646,1418,1
Extra,N/A,Syndication,11,1,34,2,1,4,275,36,12,25-06-2023,2087,185,1
Ante,N/A,NRK1,11,0,23,0,1,11,11,0,1,,23,0,28
The Rig,Prime Video,,10,2,112,19,2,-5,150,13,4,,960,61,1
Finally,N/A,MBC,10,10,78,78,7,-4,175,174,10,,1521,1499,14
