name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
The Bear,Hulu,,79,75,1129,1101,2,57,195,166,4,,1949,1791,1
Silo,Apple TV+,,54,51,392,384,8,12,412,393,8,,3924,3802,8
Better,BBC iPlayer,,51,50,413,408,20,3,1061,1037,20,,5516,5430,7
Will,N/A,TNT,49,47,236,220,20,-8,1019,962,20,,5156,4849,7
Black,N/A,OCN,26,25,156,153,8,-37,471,386,24,,2686,2247,1
Succession,N/A,HBO,25,25,250,250,18,15,761,694,21,,7373,6859,1
Class,Netflix,,23,11,199,69,2,7,268,144,10,,1922,1068,1
Strange,N/A,BBC One,20,19,194,193,2,1,209,139,7,,1046,763,1
Invasion,Apple TV+,,19,17,171,148,2,9,51,44,2,,410,347,1
Black Mirror,Netflix,,19,19,131,131,3,-26,117,107,3,,796,753,1
Secret Invasion,Disney+,,18,16,166,143,2,8,39,34,2,,350,292,1
Family,N/A,ITV1,18,16,115,103,7,6,297,262,17,,1600,1372,1
Sona,YouTube,,17,0,75,0,2,-1,392,5,24,,1981,35,1
The Righteous Gemstones,N/A,HBO,16,14,162,139,1,10,49,45,1,,546,513,1
Lost,N/A,jTBC,16,16,77,77,13,-3,375,352,20,,2087,1951,1
The Rig,Prime Video,,15,0,111,0,1,6,140,11,3,,848,42,1
Trying,Apple TV+,,15,15,95,95,9,-2,398,371,25,,2021,1904,1
The Wire,N/A,HBO,15,15,94,94,2,-4,253,230,11,,1315,1141,1
Warrior,Max,,14,12,164,131,2,2,103,78,2,,730,574,1
Finally,N/A,MBC,14,14,129,129,6,-2,165,164,9,,1443,1421,14
Away,Netflix,,14,14,120,120,2,2,273,239,18,,1736,1571,1
This Week,N/A,BBC One,14,8,114,54,6,-2,333,231,20,,2867,2102,1
The Americans,N/A,NBC,14,13,100,94,1,10,194,171,8,,1401,1291,1
Persona,Netflix,,14,0,40,0,2,-3,329,5,18,,1639,35,1
Platonic,Apple TV+,,13,12,112,106,5,3,70,65,5,,503,475,13
Hijack,Apple TV+,,13,11,89,72,1,11,15,13,1,,97,80,13
Sign,N/A,TV Asahi,13,5,80,28,1,7,153,62,3,,852,380,1
Review,N/A,Comedy Central,13,5,75,11,1,6,253,59,12,19-06-2023,1214,279,1
Delete,Netflix,,13,0,29,0,1,5,173,4,5,,368,13,1
The Deleted,fullscreen,,13,13,29,29,1,5,159,148,4,,347,328,1
The Act,Hulu,,12,0,83,0,15,-6,385,1,23,,2489,7,1
