name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Silo,Apple TV+,,42,39,340,325,6,-10,316,300,6,,3180,3066,8
Will,N/A,TNT,38,36,208,202,18,-6,913,860,18,,4675,4387,7
Better,BBC iPlayer,,33,33,133,133,18,-32,962,939,18,,4849,4768,7
Lost,N/A,jTBC,22,21,155,149,11,0,340,317,18,,1845,1709,1
Black,N/A,OCN,20,15,162,127,6,9,382,300,22,,2202,1768,1
Family,N/A,ITV1,18,18,65,65,5,4,267,234,15,,1451,1235,1
Succession,N/A,HBO,17,17,180,180,16,-14,726,659,19,,7040,6526,1
Happy,N/A,NBC,17,17,99,99,3,5,306,279,18,,1830,1635,1
Never Have I Ever,Netflix,,16,16,98,98,1,15,25,23,1,,139,132,1
Crowded,N/A,NBC,16,16,69,69,1,14,23,23,1,,141,141,1
The Crowded Room,Apple TV+,,16,16,69,69,1,14,21,21,1,,105,105,1
Ted Lasso,Apple TV+,,15,15,102,102,14,-4,473,429,21,,3920,3605,1
The Act,Hulu,,14,0,84,0,13,-4,355,1,21,,2258,7,1
This Week,N/A,BBC One,14,10,81,66,4,0,303,216,18,,2629,1989,1
Platonic,Apple TV+,,13,11,130,122,3,1,47,44,3,,295,281,13
Finally,N/A,MBC,13,13,80,80,4,-2,135,135,7,,1140,1140,14
STAT,N/A,ICI Radio-Canada Télé,12,0,126,0,2,2,214,2,13,,1285,4,6
Barry,N/A,HBO,12,12,101,101,11,-15,440,410,13,,3822,3589,1
House,N/A,FOX,12,12,58,58,8,-6,298,237,16,,1511,1192,1
Black Mirror,Netflix,,11,10,111,99,1,9,53,44,1,,365,325,1
DAVE,N/A,ORF 1,11,9,84,45,2,1,102,88,5,,689,579,1
Trying,Apple TV+,,11,11,60,60,7,0,366,339,23,,1876,1759,1
Aile,N/A,Show TV,11,0,41,0,1,2,197,0,10,03-06-2023,944,0,4
Home,Apple TV+,,11,1,38,3,1,3,192,85,4,,1036,501,1
The Bureau,N/A,Investigation Discovery,11,8,36,31,1,4,75,59,1,,304,261,1
True Story,Netflix,,10,9,75,73,1,9,42,34,1,,290,229,1
Based on a True Story,Peacock,,10,9,75,73,1,9,20,18,1,,128,123,1
