name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,65,62,325,314,17,-6,929,906,17,,4716,4635,7
Silo,Apple TV+,,52,49,426,418,5,-2,274,261,5,,2840,2741,8
Will,N/A,TNT,44,43,220,218,17,-17,875,824,17,,4467,4185,7
Succession,N/A,HBO,31,31,277,277,15,-46,709,642,18,,6860,6346,1
Barry,N/A,HBO,27,27,228,228,10,-41,428,398,12,,3721,3488,1
Lost,N/A,jTBC,22,22,182,182,10,5,318,296,17,,1690,1560,1
Sona,YouTube,,20,0,111,0,11,4,350,4,22,,1802,32,1
Ted Lasso,Apple TV+,,19,19,131,131,13,-13,458,414,20,,3818,3503,1
Persona,Netflix,,19,0,96,0,2,7,294,4,16,,1514,32,1
Mani,YouTube,,19,0,69,0,1,10,97,0,1,,501,0,1
Yellowjackets,Showtime on Demand,,18,17,183,182,11,-10,304,270,11,,3206,3000,1
House,N/A,FOX,18,14,104,79,7,1,286,225,15,,1453,1134,1
The Act,Hulu,,18,0,89,0,12,6,341,1,20,,2174,7,1
Breaking Bad,N/A,AMC,17,17,170,170,2,5,187,165,7,,1078,979,1
Pose,N/A,FX,17,6,81,28,2,7,244,68,12,,1049,261,1
The British,N/A,Sky Atlantic,16,16,88,88,2,3,178,161,6,,998,917,1
Drops of God,Apple TV+,,15,15,146,146,3,2,69,68,3,,571,570,4
Finally,N/A,MBC,15,15,121,121,3,-3,122,122,6,,1060,1060,14
Huge,N/A,Freeform,15,15,52,52,1,12,164,151,6,,929,891,1
Manifest,Netflix,,15,14,52,51,1,12,28,24,1,,105,72,1
This Week,N/A,BBC One,14,7,149,70,3,-7,289,206,17,,2548,1923,1
Family,N/A,ITV1,14,14,89,89,4,3,249,216,14,,1386,1170,1
Move,Netflix,,14,0,63,0,2,2,237,65,11,,1046,348,1
Class,Netflix,,13,9,76,47,6,-6,221,119,8,,1572,905,1
The Building,N/A,CBS,13,13,38,38,1,4,140,123,2,,845,736,1
Wanted,N/A,SBS,12,12,104,104,2,-1,209,185,10,,1153,939,1
Platonic,Apple TV+,,12,12,80,80,2,-6,34,33,2,,165,159,13
Catch,N/A,NPO 3,12,9,69,53,2,-4,216,155,9,,1574,1202,1
Happy,N/A,NBC,12,12,60,60,2,-1,289,262,17,,1731,1536,1
The Great,Hulu,,12,10,54,51,4,2,170,90,6,,949,584,1
Rain,MX Player,,12,9,41,32,3,2,211,144,12,,1301,803,1
Trying,Apple TV+,,11,11,76,76,6,-4,355,328,22,,1816,1699,1
Away,Netflix,,11,11,55,55,2,-2,240,208,16,,1495,1345,1
Amazon,N/A,Syndication,11,11,48,48,2,-2,221,199,11,,1560,1439,1
Black,N/A,OCN,11,9,41,39,5,-8,362,285,21,,2040,1641,1
Better Call Saul,N/A,AMC,10,7,111,66,1,1,157,99,5,,779,493,1
DAVE,N/A,ORF 1,10,9,66,58,1,2,91,79,4,,605,534,1
STAT,N/A,ICI Radio-Canada Télé,10,0,54,0,1,7,202,2,12,,1159,4,6
Cult,N/A,The CW,10,5,51,38,1,5,135,59,1,,845,395,1
Case,N/A,Stöð 2,10,10,38,38,2,-4,221,173,9,,1174,921,1
The Sopranos,N/A,HBO,9,9,106,106,0,0,178,157,8,03-06-2023,1047,944,1
Strange,N/A,BBC One,9,7,56,49,0,0,163,97,5,,707,433,1
Idol,N/A,TV4,9,9,48,48,0,0,18,16,0,,96,94,1
Aile,N/A,Show TV,9,0,48,0,0,0,186,0,9,03-06-2023,903,0,4
Sent,N/A,HBO Asia,9,1,42,3,0,0,228,80,8,03-06-2023,1313,511,1
The Wire,N/A,HBO,9,9,38,38,0,0,216,196,9,03-06-2023,1158,987,1
rage,N/A,ABC,9,6,37,27,0,0,173,118,5,03-06-2023,865,623,1
Review,N/A,Comedy Central,9,2,29,7,0,0,223,50,10,03-06-2023,1008,250,1
Easy,Netflix,,9,9,28,28,0,0,184,168,6,,1262,1195,1
Shrink,Seeso,,9,0,25,0,0,0,280,3,15,03-06-2023,2348,35,1
Shrinking,Apple TV+,,9,8,25,24,0,0,277,259,15,03-06-2023,2335,2187,1
Popular,N/A,The WB,9,8,17,2,0,0,132,110,0,,592,487,1
The Leftovers,N/A,HBO,8,7,95,95,0,0,217,191,8,03-06-2023,1178,1029,1
Today,N/A,NBC,8,7,77,71,0,0,147,126,2,,931,813,1
Gone,N/A,Investigation Discovery,8,8,72,72,0,0,97,87,0,,575,554,1
Ride,N/A,Hallmark Channel,8,8,68,68,0,0,69,67,1,,565,543,16
Friends,N/A,ABC,8,7,63,55,0,0,157,111,3,03-06-2023,920,573,1
The Premise,Hulu,,8,8,51,51,0,0,198,185,10,03-06-2023,1268,1215,1
The Middle,N/A,ABC,8,8,50,50,0,0,108,94,0,,646,537,1
Drive,N/A,FOX,8,4,47,20,0,0,94,38,0,,540,244,1
Cross,Prime Video,,8,8,47,47,0,0,141,81,4,03-06-2023,717,395,1
The Idol,N/A,HBO,8,8,45,45,0,0,13,13,0,,73,73,1
Punch,N/A,SBS,8,4,44,51,0,0,39,20,0,,197,100,1
Strike,BBC iPlayer,,8,8,44,44,0,0,86,71,0,,339,298,1
Home,Apple TV+,,8,4,44,17,0,0,181,84,3,,998,498,1
Anne,N/A,ITV1,8,3,31,4,0,0,174,27,5,,993,194,1
Believe,N/A,NBC,8,7,23,15,0,0,189,157,8,,910,770,1
Not Even,Sky Go,,8,8,14,14,0,0,59,58,0,,243,238,7
The One,Netflix,,8,5,-9,17,0,0,147,103,5,,711,597,1
Jury Duty,Amazon Freevee,,7,7,83,83,0,0,21,21,0,,160,160,21
Somebody,N/A,Mnet,7,7,77,77,0,0,77,75,2,03-06-2023,533,515,1
Sort Of,CBC Gem,,7,7,70,70,0,0,176,162,4,,943,878,1
Monk,N/A,USA Network,7,1,60,9,0,0,89,20,1,,446,81,1
The Writer,N/A,MBC Drama,7,3,50,12,0,0,115,24,0,,557,133,1
Working,N/A,NBC,7,6,42,25,0,0,96,86,1,,587,524,1
Mother,N/A,tvN,7,3,38,23,0,0,61,31,0,,325,173,1
The Other Two,Max,,7,6,32,31,0,0,63,58,1,,471,447,1
Murder,N/A,BBC Two,7,3,32,6,0,0,222,113,7,,1325,724,1
Peep Show,N/A,Channel 4,7,7,30,30,0,0,31,25,0,,210,143,1
STEVE,N/A,Syndication,7,3,29,13,0,0,88,23,1,,885,116,1
Psych,N/A,USA Network,7,1,27,9,0,0,114,22,1,,568,92,1
Psycho,N/A,ARTE,7,0,27,0,0,0,79,14,0,,406,34,1
The Bureau,N/A,Investigation Discovery,7,7,25,25,0,0,64,51,0,,268,230,1
Train,N/A,OCN,7,5,22,14,0,0,73,45,0,,517,283,1
Release,Topic,,7,3,21,12,0,0,207,62,8,03-06-2023,1090,307,1
Limit,N/A,TV Tokyo,7,0,10,0,0,0,106,8,1,,466,34,1
Severance,Apple TV+,,7,6,-11,-12,0,0,307,238,16,03-06-2023,2032,1625,1
Alone,N/A,History,6,5,111,102,0,0,102,84,1,,490,421,1
Rome,N/A,HBO,6,5,103,102,0,0,73,58,1,03-06-2023,444,368,1
Somebody Somewhere,N/A,HBO,6,6,76,76,0,0,62,56,1,03-06-2023,380,347,1
Out There,N/A,IFC,6,6,58,58,0,0,71,60,0,,403,362,1
Monkey,N/A,NTV,6,0,51,0,0,0,69,6,1,,365,18,1
Trust,N/A,BBC One,6,4,47,35,0,0,52,34,0,,377,228,1
Caught,N/A,CBC,6,6,46,46,0,0,138,126,2,,975,935,1
Jesse,N/A,NBC,6,6,41,41,0,0,23,22,0,,173,168,1
Industry,Max,,6,6,41,41,0,0,34,32,0,,230,223,1
Community,Yahoo! View,,6,6,39,39,0,0,69,59,0,,339,294,1
Riot,N/A,FOX,6,5,36,35,0,0,120,93,3,03-06-2023,647,583,1
Patriot,Prime Video,,6,5,36,35,0,0,106,87,2,03-06-2023,592,554,1
Justified,N/A,FX,6,6,35,35,0,0,125,122,4,03-06-2023,675,662,1
The Citadel,N/A,BBC One,6,6,32,32,0,0,68,67,3,03-06-2023,528,525,1
Citadel,Prime Video,,6,6,32,32,0,0,68,67,3,03-06-2023,528,525,1
Norm,N/A,ABC,6,1,30,1,0,0,156,6,3,03-06-2023,839,33,1
Survivor,N/A,ΣΚΑΪ Τηλεόραση,6,6,22,22,0,0,53,50,0,,348,336,1
Narcos,Netflix,,6,6,21,21,0,0,40,34,0,,203,172,1
Kept,N/A,VH1,6,6,21,21,0,0,156,133,3,,866,753,1
Deadwood,N/A,HBO,6,6,20,20,0,0,65,61,0,,306,289,1
Baki,Netflix,,6,0,20,0,0,0,12,1,0,,33,-10,1
Mystery Box,Shahid,,6,6,20,20,0,0,21,19,0,,107,89,16
Sign,N/A,TV Asahi,6,3,16,8,0,0,128,55,2,,703,343,1
Treme,N/A,HBO,6,0,13,0,0,0,144,21,2,,805,97,1
Epic,N/A,Destination America,6,1,10,9,0,0,62,27,0,,388,162,1
Phenom,N/A,ABC,5,1,51,1,0,0,94,1,0,,923,1,1
12 Monkeys,N/A,Syfy,5,5,49,49,0,0,63,52,1,,355,307,1
Five,N/A,Fuji TV,5,5,49,49,0,0,86,74,0,,455,412,1
Keys,YouTube,,5,5,49,49,0,0,65,51,1,,372,307,1
FUBAR,Netflix,,5,5,45,45,0,0,25,25,0,,161,161,11
Mars,N/A,GTV,5,5,41,41,0,0,65,35,0,,422,184,1
MARS,N/A,National Geographic Channel,5,5,41,41,0,0,65,35,0,,422,184,1
Loving,N/A,ABC,5,5,39,39,0,0,250,236,15,03-06-2023,1984,1893,1
All In,N/A,SBS,5,4,37,31,0,0,95,67,1,,604,450,1
The Universe,N/A,H2,5,5,34,34,0,0,61,55,0,,308,299,1
ReBoot,N/A,YTV,5,5,34,34,0,0,53,46,0,,247,217,1
White House Plumbers,N/A,HBO,5,5,34,34,0,0,35,33,0,,237,232,1
Reboot,Hulu,,5,5,34,34,0,0,53,46,0,,247,217,1
Universe,N/A,BBC Two,5,5,34,34,0,0,65,55,0,,323,299,1
Ella,N/A,VTM,5,2,33,10,0,0,127,44,3,,704,204,1
Fortuna,N/A,NRK1,5,0,33,0,0,0,110,0,0,,503,0,1
Reign,N/A,The CW,5,5,31,31,0,0,49,44,0,,200,178,1
The Thick of It,N/A,BBC Four,5,5,29,29,0,0,15,14,0,,91,90,1
The Killing,Shahid,,5,5,28,28,0,0,90,84,1,,549,529,1
American Born Chinese,Disney+,,5,4,28,25,0,0,21,19,1,03-06-2023,125,120,1
