name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
The Other Two,Max,,8,8,73,73,0,0,56,52,1,,439,416,1
Boardwalk Empire,N/A,HBO,8,6,68,55,0,0,59,51,1,,316,251,1
DAVE,N/A,ORF 1,8,8,61,61,0,0,81,70,3,,539,476,1
City on Fire,Apple TV+,,8,8,61,61,0,0,15,14,0,,99,93,3
Ares,Netflix,,8,8,46,46,0,0,47,36,0,,248,207,1
Anne,N/A,ITV1,8,3,43,15,0,0,166,24,5,27-05-2023,962,190,1
Shadow,Netflix,,8,4,22,15,0,0,119,76,4,,744,479,1
Treme,N/A,HBO,8,3,21,2,0,0,138,21,2,,792,97,1
The Bureau,N/A,Investigation Discovery,8,8,21,21,0,0,57,44,0,,243,205,1
Ride,N/A,Hallmark Channel,7,7,89,89,0,0,61,59,1,,497,475,16
The InBetween,N/A,NBC,7,7,73,73,0,0,117,90,2,,855,656,1
Warrior,Max,,7,4,50,33,0,0,66,50,0,,435,339,1
Caught,N/A,CBC,7,7,47,47,0,0,132,120,2,,929,889,1
Halt and Catch Fire,N/A,AMC,7,6,45,34,0,0,63,54,1,,504,450,1
Major,N/A,NHK,7,5,39,23,0,0,115,82,1,,556,427,1
Released,N/A,Oprah Winfrey Network,7,7,36,36,0,0,121,105,0,,635,566,1
Five,N/A,Fuji TV,7,7,32,32,0,0,81,69,0,,406,363,1
Rita,N/A,TV2,7,4,29,7,0,0,72,14,0,,428,38,1
Halfway,N/A,BBC Two Wales,7,7,26,26,0,0,104,96,0,,689,626,1
Mood,BBC iPlayer,,7,5,24,16,0,0,59,47,0,,269,233,1
Strange,N/A,BBC One,7,4,18,15,0,0,154,90,5,,651,384,1
The English,BBC iPlayer,,7,7,13,13,0,0,112,89,3,,540,390,1
Kept,N/A,VH1,7,7,12,12,0,0,150,127,3,,845,732,1
Mr Inbetween,N/A,FX,6,5,66,48,0,0,125,61,3,,906,381,1
White House Plumbers,N/A,HBO,6,6,60,60,0,0,30,28,0,,203,198,1
Today,N/A,NBC,6,6,44,44,0,0,139,119,2,27-05-2023,854,742,1
Lore,Prime Video,,6,3,40,20,0,0,79,44,0,,448,249,1
Human,Disney+ Hotstar,,6,4,37,21,0,0,106,64,1,,508,275,1
The Good Wife,N/A,tvN,6,6,33,33,0,0,15,14,0,,75,72,1
Trop,ICI Tou.tv,,6,0,33,0,0,0,111,0,2,,501,0,1
Ramo,N/A,Show TV,6,0,33,0,0,0,80,0,0,,437,0,1
Power,N/A,STARZ,6,4,32,28,0,0,249,152,10,27-05-2023,1583,849,1
Extra,N/A,Syndication,6,1,32,2,0,0,233,22,10,27-05-2023,1887,109,1
The Expecting,Quibi,,6,6,31,31,0,0,98,91,1,,785,688,1
The Answers,N/A,FX,6,6,30,30,0,0,56,52,0,,275,239,1
Black Sails,N/A,STARZ,6,5,29,18,0,0,55,44,0,,325,263,1
Money,N/A,BBC Two,6,6,29,29,0,0,77,69,0,,499,459,1
Medic,N/A,NBC,6,5,27,18,0,0,104,65,1,,600,404,1
Dogs,Netflix,,6,5,27,26,0,0,107,83,1,,653,505,1
Random,YouTube,,6,4,24,8,0,0,96,61,0,,394,224,1
Jury Duty,Amazon Freevee,,6,6,24,24,0,0,14,14,0,,77,77,21
Aspe,N/A,VTM,6,0,22,0,0,0,113,0,0,,642,0,1
All That,N/A,Nickelodeon,6,6,19,19,0,0,64,60,0,,259,244,1
Home,Apple TV+,,6,4,17,6,0,0,173,80,3,,954,481,1
Deadwood,N/A,HBO,6,6,16,16,0,0,59,55,0,,286,269,1
Push,N/A,ABC,6,3,16,10,0,0,96,38,0,,505,169,1
Peaky Blinders,N/A,BBC One,6,6,15,15,0,0,51,41,0,,297,226,1
Evil,Paramount+,,6,6,15,15,0,0,177,126,5,,872,600,1
Blind,TVING,tvN,6,0,15,0,0,0,106,35,3,,607,249,1
Dispatches,N/A,Channel 4,6,6,14,14,0,0,15,15,0,,64,64,1
Dispatches from Elsewhere,N/A,AMC,6,2,14,7,0,0,15,8,0,,64,50,1
The Platform,Netflix,,6,3,14,7,0,0,37,20,0,,174,152,1
With You,iQIYI,,6,5,13,11,0,0,92,55,1,,287,142,1
This Way Up,Channel 4,,6,5,13,12,0,0,20,13,0,,100,50,1
Chance,Hulu,,6,5,12,10,0,0,144,113,6,,723,589,1
Game of Thrones,N/A,HBO,6,6,11,11,0,0,72,66,0,,328,283,1
Woke,Hulu,,6,6,-22,-22,0,0,17,14,0,,-31,-22,1
Happy Valley,N/A,BBC One,5,5,79,79,0,0,129,113,4,,783,667,1
The Middle,N/A,ABC,5,5,58,58,0,0,100,86,0,,596,487,1
A Small Light,N/A,National Geographic Channel,5,4,40,34,0,0,12,11,0,,115,109,1
All In,N/A,SBS,5,3,38,31,0,0,90,63,1,,567,419,1
Ghost,N/A,SBS,5,1,35,8,0,0,120,40,3,,606,168,1
The Newsroom,N/A,CBC,5,5,34,34,0,0,16,15,0,,154,151,1
Sign,N/A,TV Asahi,5,2,34,18,0,0,122,52,2,,687,335,1
Mille,N/A,DR1,5,4,32,24,0,0,20,7,0,,150,41,1
Catastrophe,N/A,Super Écran,5,5,30,30,0,0,26,24,0,,131,119,1
Trauma,N/A,ICI Radio-Canada Télé,5,1,30,1,0,0,39,21,0,,291,168,1
Extraordinary,Disney+,,5,4,30,29,0,0,152,134,6,,1288,1149,1
Vinland Saga,N/A,NHK,5,5,29,29,0,0,34,29,0,,261,192,1
Twin Peaks,N/A,Showtime,5,5,27,27,0,0,58,55,0,,246,223,1
Twin,NRK TV,,5,5,27,27,0,0,74,60,0,,366,258,1
Murder,N/A,BBC Two,5,1,27,1,0,0,215,110,7,,1293,718,1
Queen,MX Player,,5,3,26,15,0,0,69,49,0,,402,267,1
Limit,N/A,TV Tokyo,5,0,25,0,0,0,99,8,1,,456,34,1
Fortuna,N/A,NRK1,5,0,23,0,0,0,105,0,0,,470,0,1
Bunheads,N/A,Freeform,5,5,21,21,0,0,10,10,0,,41,41,1
No Escape,Paramount+,,5,5,21,21,0,0,6,6,0,,24,24,21
Mr. Robot,N/A,USA Network,5,0,20,0,0,0,90,36,2,,591,314,1
Legit,N/A,BBC One,5,4,20,19,0,0,35,29,0,,205,183,1
Switch,N/A,ITV2,5,2,19,7,0,0,50,23,0,,258,134,1
Cult,N/A,The CW,5,2,18,10,0,0,125,54,0,,794,357,1
Bling,N/A,ITV1,5,3,18,3,0,0,31,23,0,,181,105,1
Demons,N/A,ITV1,5,3,9,6,0,0,19,8,0,,111,64,1
Gary and His Demons,Prime Video,,5,3,9,6,0,0,10,7,0,,63,58,1
House of the Dragon,N/A,HBO,5,3,8,4,0,0,81,32,1,,494,146,1
Brot,N/A,Ríkisútvarpið,5,0,8,0,0,0,142,0,2,,731,0,1
