,mentions,score,network,streaming
Dope,8,107,,Netflix
Rex,8,92,Televízia Markíza,N/A
Welcome to Wrexham,8,92,FX,Hulu
The Plot,8,56,,Disney+
Itch,8,52,ABC ME,N/A
Barry,8,47,HBO,N/A
Norm,8,43,ABC,N/A
Ray,8,34,,Netflix
Gran,8,25,BBC One,N/A
Monster,8,24,NRK1,N/A
The One,8,19,,Netflix
Out There,8,10,IFC,N/A
The Bear,7,77,,Hulu
Shadow,7,75,,Netflix
Bad Sisters,7,74,,Apple TV+
Thriller,7,69,ITV,N/A
Legit,7,64,BBC One,N/A
Raw,7,57,RTÉ ONE,N/A
Harley Quinn,7,54,,HBO Max
Working,7,52,NBC,N/A
Rush,7,44,Network 10,N/A
Industry,7,41,,HBO Max
Stranger Things,7,39,,Netflix
Pose,7,39,FX,N/A
Stranger,7,39,tvN,N/A
Black Sails,7,38,STARZ,N/A
Lace,7,38,,ALLBLK
Sex,7,37,TV2,N/A
Supernatural,7,36,BBC One,N/A
Elementary,7,36,CBS,N/A
Murder,7,35,BBC Two,N/A
Ghost,7,31,SBS,N/A
Detective,7,31,Lifetime,N/A
Brot,7,20,Ríkisútvarpið,N/A
The Last Kingdom,7,13,,Netflix
49,7,12,NTV,N/A
Five Days,6,125,BBC One,N/A
Five Days at Memorial,6,125,,Apple TV+
Dopesick,6,98,,Hulu
Shadows,6,74,ITV,N/A
The Handmaid's Tale,6,72,,Hulu
Arrow,6,68,The CW,N/A
Castle,6,56,ABC,N/A
The Expanse,6,51,,Prime Video
Played,6,51,CTV,N/A
For All Mankind,6,46,,Apple TV+
Heartbreak High,6,45,,Netflix
Black Bird,6,39,,Apple TV+
Person of Interest,6,37,CBS,N/A
Money,6,36,BBC Two,N/A
18,6,34,Antena 3,N/A
Dive,6,33,BBC Two,N/A
Epic,6,26,Destination America,N/A
Mother,6,25,tvN,N/A
Psych,6,23,USA Network,N/A
TBH,6,14,Czechoslovak Television,N/A
School,6,5,BBC Two,N/A
What We Do in the Shadows,5,63,FX,N/A
The Americans,5,58,NBC,N/A
The Sopranos,5,53,HBO,N/A
Extra,5,49,Syndication,N/A
Castlevania,5,46,,Netflix
Mr. Robot,5,41,USA Network,N/A
Ella,5,38,VTM,N/A
House of Drag,5,37,,TVNZ OnDemand
Cos,5,33,ABC,N/A
Toon,5,32,,KPN Presenteert
Baby,5,32,,Netflix
Soap,5,31,ABC,N/A
Archer,5,29,NBC,N/A
Abbott Elementary,5,29,ABC,N/A
Killing It,5,28,,Peacock
Treme,5,26,HBO,N/A
Major,5,25,NHK,N/A
The Imperfects,5,25,,Netflix
Luck,5,23,HBO,N/A
Punch,5,23,SBS,N/A
The Boys,5,23,,Prime Video
Rain,5,23,,MX Player
SIX,5,21,History,N/A
Rising,5,21,,Hill.TV
Six,5,21,,Hoichoi
Homeland,5,20,Showtime,N/A
Justice,5,20,ITV,N/A
Aspe,5,20,VTM,N/A
Ghosts,5,20,CBS,N/A
The Game,5,19,,Paramount+
All That,5,19,Nickelodeon,N/A
Boj,5,19,CBeebies,N/A
Chernobyl,5,19,HBO,N/A
Related,5,18,The WB,N/A
Lodge 49,5,18,AMC,AMC Premiere
Grand,5,18,NBC,N/A
Sent,5,18,HBO Asia,N/A
Wanted,5,17,SBS,N/A
Random,5,17,,YouTube
Ben,5,15,La Une,N/A
Dude,5,14,,JioCinema
Eyes,5,13,ABC,N/A
Grimm,5,12,NBC,N/A
Rome,5,12,HBO,N/A
Stupid,5,12,BBC One,N/A
24,5,11,Colors,N/A
Superstore,5,11,NBC,N/A
Fringe,5,9,FOX,N/A
Chance,5,7,,Hulu
Medium,5,-4,CBS,N/A
Halt and Catch Fire,4,55,AMC,N/A
Blown Away,4,38,,Netflix
Today,4,37,NBC,N/A
Yellowjackets,4,35,Showtime,N/A
Taken,4,30,NBC,N/A
Trop,4,29,,ICI Tou.tv
Ramo,4,29,Show TV,N/A
Ted Lasso,4,27,,Apple TV+
Station Eleven,4,26,,HBO Max
Alien,4,26,FX,Hulu
Drive,4,25,FOX,N/A
Gone,4,25,Investigation Discovery,N/A
Hannibal,4,24,NBC,N/A
Missing,4,24,BBC One,N/A
Limit,4,22,TV Tokyo,N/A
Class,4,21,,BBC Three
Line of Duty,4,20,BBC One,N/A
Blood,4,20,Virgin Media One,N/A
Sky,4,20,ITV,N/A
Pure,4,20,Channel 4,N/A
Broke,4,20,CBS,N/A
Psycho,4,20,ARTE,N/A
Deadwood,4,19,HBO,N/A
Justified,4,18,FX,N/A
Mental,4,17,,France tv slash
The Others,4,17,NBC,N/A
Sort Of,4,17,,CBC Gem
Attack on Titan,4,16,NHK,N/A
Big Fan,4,16,ABC,N/A
Paper Girls,4,16,,Prime Video
Over the Top,4,15,ABC,N/A
Easy,4,14,,Netflix
BIA,4,14,Disney Channel,N/A
Thea,4,14,ABC,N/A
Younger,4,13,,Paramount+
Burn Notice,4,13,USA Network,N/A
The Case,4,10,BBC One,N/A
Zero,4,10,,Netflix
Medic,4,9,NBC,N/A
Brothers,4,8,Showtime,N/A
Stone,4,8,ABC,N/A
Angel,4,7,CBS,N/A
Alif,4,7,Geo Entertainment,N/A
Empire,4,6,CBS,N/A
Poldark,4,6,BBC One,N/A
Boss,4,5,STARZ,N/A
Gate,4,5,Tokyo MX,N/A
BOSS,4,5,Fuji TV,N/A
Changi,4,4,ABC,N/A
Torn,3,75,ITV,N/A
Harrow,3,59,ABC,N/A
Conspiracy,3,57,Channel 5,N/A
The After,3,54,,Prime Video
Aftermath,3,54,,Naver TVCast
Cross,3,47,tvN,N/A
The House,3,46,,Netflix
Mr Inbetween,3,35,FX,N/A
Holy Shit,3,35,,Prime Video
The Stand,3,32,,Paramount+
Uro,3,31,NRK1,NRK TV
Unbelievable,3,30,,Netflix
Jes,3,28,VTM,N/A
Banshee,3,27,Cinemax,N/A
Sex Education,3,27,,Netflix
Threads,3,27,,go90
Voice,3,26,OCN,N/A
Glee,3,25,FOX,N/A
Watcher,3,25,OCN,N/A
Never Have I Ever,3,25,,Netflix
Star Trek,3,24,NBC,N/A
The Old Man,3,24,FX,N/A
Dexter,3,23,Showtime,N/A
Genius,3,23,National Geographic Channel,N/A
The Event,3,22,,HBO Max
Spy,3,22,KBS2,N/A
Euphoria,3,22,HOT3,N/A
Forever,3,21,,Prime Video
The Building,3,20,CBS,N/A
Resident Alien,3,20,Syfy,N/A
Paris,3,20,ARTE,N/A
Only Murders in the Building,3,20,,Hulu
GOLD,3,19,Fuji TV,N/A
Fargo,3,18,FX,N/A
Dig,3,18,USA Network,N/A
Lore,3,18,,Prime Video
With You,3,18,,iQIYI
This is Going to Hurt,3,18,,BBC iPlayer
NOVA,3,17,PBS,N/A
Halfway,3,17,BBC Two Wales,N/A
Popular,3,16,The WB,N/A
BoJack Horseman,3,15,,Netflix
Hero,3,15,MBC,N/A
The Mandalorian,3,15,,Disney+
Sins,3,15,CBS,N/A
The View,3,14,ABC,N/A
Return,3,14,SBS,N/A
Regret,3,14,,Shahid
Touch,3,13,FOX,N/A
Broken,3,13,,Netflix
Loaded,3,13,The Weather Channel,N/A
Island,3,13,Tokyo MX,N/A
Mare of Easttown,3,13,HBO,N/A
Vikings,3,12,BBC Two,N/A
The Office,3,12,,Disney+ Hotstar
Kings,3,12,NBC,N/A
About Time,3,12,tvN,N/A
The Vampire Diaries,3,11,The CW,N/A
Outland,3,11,ABC,N/A
Too Old to Die Young,3,11,,Prime Video
Vampire Academy,3,11,,Peacock
Hart of Dixie,3,10,The CW,N/A
White Collar,3,10,USA Network,N/A
Sherlock,3,10,BBC One,N/A
Surface,3,10,,Apple TV+
Sneaky Pete,3,10,,Prime Video
Sherlock Holmes,3,10,Syndication,N/A
It's a Sin,3,10,,All 4
Clark,3,10,,Netflix
Anna,3,10,Sky Atlantic,N/A
Clarkson's Farm,3,10,,Prime Video
The Premise,3,10,,Hulu
Wanna,3,10,,Netflix
Downton Abbey,3,9,ITV,N/A
Casual,3,9,,Hulu
Guilt,3,9,,BBC iPlayer
Reset,3,9,OCN,N/A
Target,3,9,BBC One,N/A
Scandal,3,8,ABC,N/A
Maids,3,8,jTBC,N/A
POV,3,8,PBS,N/A
The Originals,3,7,The CW,N/A
Broadchurch,3,7,ITV,N/A
Six Feet Under,3,7,HBO,N/A
Quantum Leap,3,7,NBC,N/A
Hidden,3,7,BBC One,N/A
Jam,3,7,Channel 4,N/A
The Bay,3,7,,ITV Hub
Buck,3,7,Ketnet,N/A
Grant,3,7,History,N/A
Upload,3,6,,Prime Video
Californication,3,5,Showtime,N/A
Utopia,3,5,,Prime Video
Firefly,3,5,FOX,N/A
Triangle,3,5,BBC One,N/A
Crash,3,4,STARZ,N/A
River,3,4,BBC One,N/A
The Family,3,4,,Netflix
Rita,3,3,TV2,N/A
Amen,3,3,NBC,N/A
Massive,3,3,BBC Three,N/A
Woman,3,2,NTV,N/A
64,3,-3,NHK,N/A
Stuck,2,45,TLC,N/A
P-Valley,2,32,STARZ,N/A
Extraordinary Attorney Woo,2,31,ENA,N/A
All Around,2,29,,Olympic Channel
Stella,2,27,Comedy Central,N/A
Grace,2,26,HBO Asia,N/A
Priest,2,25,OCN,N/A
Faith,2,24,ITV,N/A
True Detective,2,22,HBO,N/A
The Critic,2,21,FOX,N/A
The Devil,2,21,KBS2,N/A
Phenom,2,21,ABC,N/A
True Story,2,21,,Netflix
Wedding Season,2,21,,Disney+
Slow Burn,2,19,EPIX,N/A
