name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,91,474,0,0,0,0,,0,1
Station Eleven,HBO Max,,48,355,0,0,0,0,,0,1
Cobra,N/A,Syndication,42,279,0,0,0,0,,0,1
COBRA,Sky Go,,42,279,0,0,0,0,,0,1
Cobra Kai,Netflix,,40,271,0,0,0,0,,0,1
Itch,N/A,ABC ME,38,227,0,0,0,0,,0,1
Succession,N/A,HBO,35,246,0,0,0,0,,0,1
Stone,N/A,ABC,32,156,0,0,0,0,,0,1
1883,Paramount+,,30,160,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,28,151,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,24,308,0,0,0,0,,0,1
Delete,N/A,REELZ,24,80,0,0,0,0,,0,1
Dexter,N/A,Showtime,21,185,0,0,0,0,,0,1
The Witcher,Netflix,,21,130,0,0,0,0,,0,1
The Expanse,Prime Video,,20,115,0,0,0,0,,0,1
Kings,N/A,NBC,18,108,0,0,0,0,,0,1
Evil,Paramount+,,18,94,0,0,0,0,,0,1
Amazon,N/A,Syndication,17,68,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,16,143,0,0,0,0,,0,1
Release,Topic,,16,53,0,0,0,0,,0,1
The Act,Hulu,,16,45,0,0,0,0,,0,1
Trying,Apple TV+,,15,74,0,0,0,0,,0,1
Dark,Netflix,,15,69,0,0,0,0,,0,1
Cane,N/A,CBS,14,88,0,0,0,0,,0,1
Arcane,Netflix,,14,88,0,0,0,0,,0,1
Television,N/A,ITV1,14,79,0,0,0,0,,0,1
Mayo,N/A,BBC One,13,98,0,0,0,0,,0,1
Black,N/A,OCN,13,58,0,0,0,0,,0,1
Sona,YouTube,,13,50,0,0,0,0,,0,1
rage,N/A,ABC,13,47,0,0,0,0,,0,1
Rain,MX Player,,13,37,0,0,0,0,,0,1
Sent,N/A,HBO Asia,12,140,0,0,0,0,,0,1
New Blood,N/A,BBC One,12,122,0,0,0,0,,0,1
